 	o	n	g	ó	n	d	z	a	ó	y	u	b	h	u	ó	t	s	ω	m	í	d	z	w	a	o	y	a	m	b	á	l	ó	k	o	n	d	z	i	</S>
tous	0.00999948	0.0138939	0.022852	0.0249953	0.0268057	0.0214624	0.0245554	0.037203	0.0416067	0.0425988	0.0555206	0.0624364	0.0608154	0.059107	0.0905517	0.0528284	0.0246027	0.0131022	0.015874	0.0152345	0.0163244	0.0226936	0.0183399	0.0211453	0.0166048	0.0127232	0.0131129	0.0119935	0.00955684	0.0107544	0.0109211	0.00866296	0.0108255	0.0171437	0.0155002	0.0137629	0.0148322	0.0168943	0.022163
les	0.0506361	0.0935257	0.0362109	0.0450786	0.0432453	0.0296605	0.0272453	0.0305402	0.0290344	0.0563159	0.0511458	0.0219814	0.0137295	0.020757	0.0266037	0.0266842	0.018012	0.0427658	0.0455734	0.0537709	0.0448886	0.0364318	0.00561899	0.00448983	0.00656852	0.00726561	0.00904641	0.0130692	0.0134318	0.00834642	0.00876528	0.016033	0.00827668	0.00998554	0.0124882	0.00674823	0.00505165	0.00607348	0.0149042
habitants	0.0353549	0.0320294	0.0326186	0.0469258	0.0540574	0.0496536	0.0613926	0.0479534	0.0479546	0.0528132	0.0350481	0.0184468	0.0157662	0.0286208	0.0335373	0.0426864	0.0347691	0.0269461	0.0288691	0.0103864	0.00775782	0.0107562	0.0110235	0.0116087	0.0151965	0.0125422	0.0142543	0.0134192	0.0183012	0.0153646	0.0148081	0.0148755	0.0187098	0.0193307	0.0168295	0.0175153	0.0149815	0.0121625	0.00473321
d'	0.00843818	0.00960211	0.0190136	0.0239347	0.0282725	0.0270967	0.0208195	0.0158329	0.0133463	0.016028	0.0142112	0.0148872	0.0151202	0.0208703	0.0339765	0.0455759	0.0426431	0.0296869	0.0303786	0.0314454	0.035243	0.0468985	0.0380029	0.0493057	0.0263203	0.0451802	0.0294099	0.0153662	0.0460737	0.0217384	0.0226486	0.0141103	0.0243828	0.0189328	0.0195301	0.0205523	0.021783	0.020164	0.0231773
ongondza	0.00703914	0.0133505	0.0191063	0.0211288	0.0254908	0.026134	0.0303016	0.0269725	0.018888	0.0182907	0.0177757	0.019679	0.020883	0.0238682	0.0437651	0.0897342	0.0683495	0.0452147	0.0491529	0.0269546	0.0294753	0.0294188	0.0264994	0.0217114	0.0180442	0.0186105	0.020579	0.0183123	0.0165924	0.0150348	0.00982947	0.0087903	0.00791869	0.0141149	0.00653881	0.0140803	0.0240317	0.0418417	0.0464972
se	0.00600708	0.00843463	0.0130474	0.0156719	0.0153609	0.0234672	0.0239126	0.0310204	0.0272797	0.0303256	0.0263443	0.034448	0.0318003	0.0335301	0.0317038	0.0439935	0.0421516	0.0392001	0.0299585	0.0211806	0.0222481	0.0198132	0.0372181	0.0195823	0.0267105	0.0193401	0.0174637	0.0149272	0.0270609	0.0241437	0.0260388	0.0204914	0.0319808	0.0226871	0.0241762	0.0288207	0.0316038	0.0278038	0.0290513
sont	0.0445917	0.0398	0.0342813	0.028356	0.0329071	0.0339714	0.0329653	0.0227326	0.0208003	0.0164901	0.0131708	0.0147908	0.0168761	0.0191652	0.0264348	0.0323572	0.0372603	0.0341191	0.0259183	0.0177795	0.0201201	0.0208662	0.024188	0.0196376	0.0260717	0.0196201	0.0163117	0.0197963	0.0204595	0.023527	0.0223691	0.0199363	0.0239815	0.0204039	0.0207996	0.0269458	0.0295739	0.031519	0.0491046
levés	0.0375777	0.023686	0.0167536	0.0155081	0.0160342	0.0185589	0.0230277	0.0185119	0.0158967	0.0166507	0.0142041	0.0190526	0.0188011	0.0284345	0.0277344	0.0348818	0.0431459	0.0375773	0.0274325	0.0200816	0.0208144	0.0224905	0.0336062	0.0206072	0.0300067	0.0245467	0.0206598	0.0230188	0.0236654	0.0227842	0.026199	0.0246743	0.0198452	0.0220497	0.027861	0.0237198	0.0323977	0.0472442	0.0602578
pour	0.0181399	0.0129736	0.0121535	0.0181298	0.0186103	0.0304734	0.0356049	0.0327467	0.0290327	0.0273652	0.0205765	0.0171653	0.016573	0.0142049	0.0105443	0.0131421	0.0188114	0.0241801	0.0156288	0.0119051	0.020017	0.024701	0.0359121	0.0441499	0.0379716	0.0347221	0.0255161	0.0342054	0.0300654	0.0392472	0.0368085	0.0298233	0.0299617	0.0261004	0.0219168	0.0319013	0.0351863	0.0335598	0.0302729
aller	0.121191	0.0291216	0.0180275	0.0226584	0.02001	0.0206239	0.0170708	0.0233281	0.0261831	0.0317872	0.0312178	0.0297358	0.0323624	0.0293814	0.0170959	0.024795	0.0265614	0.0192317	0.0106842	0.00983425	0.0140198	0.0132789	0.0175957	0.0225051	0.0183437	0.0166252	0.0178084	0.0241117	0.0200906	0.0284045	0.022873	0.02468	0.0234678	0.0251298	0.0160663	0.0323231	0.033093	0.031094	0.0375878
