 	o	k	u	s	u	m	ó	ó	n	y	i	á	b	á	a	m	ó	l	e	k	ó	s	á	ó	d	í	l	a	b	v	ú	s	u	</S>
le	0.00971275	0.0115547	0.0111669	0.010062	0.0133468	0.0106125	0.0139631	0.0195317	0.0394261	0.0407633	0.0548455	0.0584252	0.0583749	0.067663	0.0733296	0.0675076	0.0456335	0.0370163	0.0332523	0.0266981	0.0141769	0.0220017	0.0262124	0.019515	0.0174582	0.0184151	0.0252397	0.0254982	0.020347	0.0197189	0.0166789	0.0263475	0.0248831	0.0206218
fil	0.0386985	0.0527094	0.0838527	0.0744263	0.059383	0.0906827	0.0421222	0.0368591	0.0572713	0.038852	0.0417172	0.0328759	0.0748515	0.0422933	0.0784624	0.0329145	0.0131744	0.00793174	0.00405073	0.00308079	0.00226909	0.00313604	0.00496234	0.00330367	0.00396373	0.00582093	0.00765846	0.0091963	0.0132589	0.0170417	0.0111913	0.00726415	0.00347323	0.0012504
indigène	0.0466065	0.0250062	0.0178647	0.0136421	0.0209472	0.0349371	0.038885	0.0249136	0.0286051	0.0233005	0.02257	0.0166357	0.0177185	0.0137168	0.0162466	0.0181488	0.0308031	0.0494096	0.0416928	0.0395595	0.031601	0.0345529	0.0520489	0.0431831	0.0340197	0.0365721	0.0531418	0.0498163	0.0413066	0.0255003	0.0167735	0.0169168	0.0146737	0.00868374
fabriqué	0.0444685	0.0582061	0.0518883	0.0529118	0.0575319	0.0685181	0.0602638	0.0399386	0.0411658	0.0393187	0.0404413	0.0393122	0.035795	0.0299304	0.0238959	0.0161715	0.01254	0.0126697	0.0144898	0.0158471	0.0169441	0.0115807	0.0114161	0.0152189	0.0118758	0.0142374	0.0131227	0.0100146	0.0128479	0.0155794	0.0193979	0.0205102	0.0292185	0.0427311
avec	0.0341144	0.0320915	0.0307795	0.0316225	0.0338655	0.0339195	0.036109	0.0368493	0.0416413	0.0419106	0.0425657	0.0392534	0.0355138	0.0359344	0.028435	0.0209674	0.0199159	0.0207497	0.0202295	0.0190184	0.0213535	0.0176511	0.0189413	0.0209477	0.0169588	0.0141464	0.0159558	0.0180443	0.0154594	0.0223924	0.0311992	0.0381625	0.0417347	0.0715665
l'	0.00861817	0.00971254	0.0110119	0.0122384	0.0146867	0.0139428	0.0144288	0.01617	0.0197167	0.0181463	0.0190199	0.017501	0.0144354	0.0140076	0.0168333	0.0165142	0.0175293	0.0249618	0.0287537	0.0203614	0.0430323	0.0627523	0.0471287	0.0556999	0.0584532	0.0583362	0.0540817	0.0507504	0.0502353	0.0446963	0.041638	0.036261	0.0349941	0.0333506
écorce	0.0274198	0.0179462	0.0136623	0.0143788	0.021073	0.0212768	0.0189171	0.0184289	0.0213002	0.0220996	0.0228465	0.0188746	0.0177035	0.0163929	0.0185251	0.0136266	0.00893808	0.012679	0.0201479	0.0293125	0.0432783	0.0554959	0.0409736	0.0488689	0.0517167	0.0425832	0.0476053	0.0387576	0.0455109	0.0343935	0.0367495	0.0360031	0.0415769	0.0609371
de	0.054751	0.0406786	0.0286583	0.0274746	0.0340809	0.0379807	0.0426514	0.0405038	0.0447961	0.044333	0.0479531	0.0462837	0.0360149	0.0350252	0.0332693	0.0168694	0.0192758	0.024707	0.0210115	0.0185945	0.0307558	0.0236786	0.0215767	0.0191324	0.0147741	0.0122381	0.0135405	0.0102988	0.0101636	0.0145598	0.0175417	0.022856	0.0279141	0.0660573
la	0.136587	0.078088	0.0400667	0.0258866	0.0174096	0.011587	0.0131003	0.0144602	0.0197235	0.0189856	0.0203608	0.0205277	0.0208537	0.0214332	0.0257656	0.0304201	0.0208674	0.0188246	0.0139847	0.0117187	0.0196292	0.0184927	0.0196473	0.0312801	0.0264763	0.0294187	0.0359649	0.0177406	0.017802	0.0215202	0.0210564	0.0261572	0.0341331	0.10003
liane	0.0508891	0.0249825	0.0160788	0.0122696	0.0116273	0.0108221	0.0116082	0.0123139	0.0180125	0.0148113	0.0153978	0.0158201	0.014213	0.0109337	0.00993427	0.0130092	0.0121151	0.0135636	0.0165591	0.0182949	0.0318029	0.0256359	0.0282479	0.0490375	0.0484	0.0408159	0.0676856	0.0321183	0.0386054	0.0413038	0.0378299	0.0526951	0.0563618	0.126204
