 	t	á	á	á	b	h	ώ	i	l	a	w	a	t	s	í	n	a	w	a	l	á	a	k	ó	á	n	d	é	e	l	a	k	ó	l	i	</S>
son	0.00558999	0.027918	0.0856964	0.0959644	0.0687844	0.0792971	0.0310532	0.0146474	0.0171807	0.00719136	0.0452493	0.0174847	0.0291569	0.0319063	0.0329858	0.0418944	0.0261163	0.060516	0.0342826	0.0246885	0.0327601	0.0173001	0.0158618	0.00937228	0.00946153	0.00548804	0.0126161	0.0126906	0.0115355	0.0109391	0.0154385	0.0135172	0.0191259	0.0123899	0.00948256	0.014417
père	0.0946971	0.199755	0.137049	0.0552104	0.0630902	0.0506858	0.0920419	0.0694885	0.0412343	0.0501127	0.0145826	0.022707	0.0108986	0.00823866	0.0109273	0.00475658	0.0137658	0.0023515	0.00290615	0.00485417	0.00382025	0.00982571	0.0111909	0.00314805	0.0025098	0.00114964	0.0020283	0.00200552	0.00283279	0.00223779	0.00270165	0.00242825	0.00222701	0.00124588	0.00084465	0.000450631
l'	0.0161791	0.0296919	0.0350815	0.029211	0.0237132	0.0284107	0.0388346	0.0566889	0.0525198	0.0920214	0.0490651	0.0609725	0.0260602	0.0512424	0.0444586	0.0174507	0.0120545	0.0126826	0.0138296	0.0117232	0.00944803	0.0179919	0.0269889	0.00893952	0.00563163	0.00455548	0.0202089	0.0209286	0.0198329	0.0236779	0.0225171	0.0223931	0.0222126	0.0279805	0.0262627	0.0185389
a	0.0162077	0.0133965	0.0177502	0.0300038	0.0202099	0.0359176	0.022168	0.0309233	0.0335427	0.058607	0.0667698	0.10251	0.0755856	0.0684846	0.092144	0.0256319	0.0338021	0.0159048	0.0138159	0.0134846	0.0159244	0.0320335	0.0129697	0.0216046	0.0171959	0.0106535	0.0112933	0.0112515	0.0104068	0.00914511	0.00759841	0.00887228	0.00719762	0.00623825	0.00806292	0.0226918
blâmé	0.0737944	0.0244155	0.0178137	0.00994938	0.0139493	0.0145353	0.012337	0.0129374	0.0213613	0.0250608	0.0384411	0.0461145	0.0306641	0.0183873	0.0329042	0.0180165	0.0313902	0.0186581	0.0352425	0.0330404	0.0262514	0.0268934	0.0325827	0.0319355	0.0324855	0.0297383	0.0301757	0.0306963	0.0344875	0.0356111	0.0309836	0.0271807	0.0253357	0.0223544	0.0227746	0.0315007
parce	0.0382457	0.0567126	0.0269265	0.0353672	0.030974	0.0449495	0.0441358	0.0259553	0.0720769	0.0404646	0.0385369	0.0578912	0.0375537	0.0295185	0.0328253	0.0124287	0.0127553	0.0231555	0.0166987	0.0118193	0.00918358	0.00971793	0.0199429	0.0116798	0.011374	0.011437	0.0115048	0.0112749	0.0104256	0.0182224	0.0148235	0.0138895	0.0193374	0.0161701	0.0349365	0.087089
qu'	0.0568327	0.0376488	0.0318325	0.0341496	0.0300483	0.0362731	0.0478399	0.0275928	0.0414971	0.03101	0.0390546	0.0342169	0.0192345	0.0149719	0.015396	0.0138071	0.0129942	0.0254979	0.0221703	0.0149344	0.0223411	0.0227366	0.0262873	0.026596	0.0250124	0.0144912	0.0253185	0.0233518	0.0239006	0.0340859	0.0244812	0.0264032	0.028196	0.018511	0.0207595	0.050525
il	0.060732	0.0507123	0.0419935	0.0360255	0.0327464	0.0210094	0.0307828	0.0169004	0.0417844	0.0365435	0.0255773	0.025376	0.0221949	0.0204874	0.0275076	0.0160057	0.0172823	0.0116959	0.022389	0.0121479	0.00910342	0.0137535	0.0226435	0.00954602	0.00975358	0.0079183	0.0214993	0.0152579	0.00865844	0.00909823	0.0207941	0.0235713	0.0244724	0.0347033	0.0505908	0.148742
rentre	0.122059	0.0666409	0.0492983	0.0481299	0.0425457	0.0498328	0.0447384	0.0353336	0.0338231	0.0302989	0.0152823	0.0255212	0.0206706	0.0180557	0.036215	0.0231718	0.0279582	0.0221875	0.0239752	0.0122583	0.00855251	0.0112163	0.0138194	0.00637367	0.005863	0.00520008	0.0127949	0.00934745	0.00710221	0.00897815	0.0175792	0.0148624	0.0182767	0.0229589	0.0281379	0.0609404
à	0.0934652	0.0513945	0.0328231	0.0218636	0.0181875	0.0196025	0.0154457	0.0155933	0.0187923	0.0177428	0.0105414	0.0146586	0.0119299	0.00815782	0.0136238	0.00992415	0.0104069	0.0122415	0.022124	0.0192488	0.0205606	0.0188797	0.0371931	0.0370753	0.0400425	0.036105	0.045867	0.0375429	0.0261588	0.0210143	0.0251152	0.0343622	0.0270476	0.0265054	0.0294069	0.0993564
la	0.0251387	0.0253873	0.0220587	0.016709	0.0181132	0.0112713	0.010283	0.0146449	0.0102153	0.0106896	0.00894044	0.0107084	0.00782179	0.00622811	0.0104984	0.00997202	0.00759461	0.0102372	0.022045	0.0174618	0.0176854	0.0198096	0.0226952	0.0226554	0.0245336	0.0270487	0.0431929	0.0343981	0.0385334	0.0382675	0.058107	0.0730801	0.0611279	0.0704251	0.0714618	0.10096
maison	0.0107886	0.0117224	0.00955075	0.00714436	0.00776973	0.00530087	0.00369823	0.00717257	0.00371953	0.00553737	0.00461986	0.00691147	0.0108035	0.0126992	0.0143815	0.015518	0.0117083	0.0115706	0.0268131	0.0272471	0.0277034	0.0183559	0.0280698	0.0286612	0.021609	0.0139899	0.0387641	0.044261	0.0375104	0.050074	0.052165	0.0793247	0.0687957	0.0922369	0.0839246	0.0998775
dans	0.10211	0.052258	0.0390274	0.0260611	0.0193269	0.010823	0.0122096	0.0173259	0.0101	0.012017	0.00333308	0.00531548	0.00416333	0.00349871	0.00553093	0.00727175	0.00944402	0.00928054	0.0147773	0.0113878	0.0150361	0.0110717	0.0166814	0.0212994	0.0293557	0.022676	0.0260793	0.0274315	0.0189915	0.0324907	0.0229188	0.0436043	0.0246278	0.0577829	0.0554572	0.199234
la	0.0900854	0.0406436	0.0290214	0.01524	0.0105539	0.0106757	0.00984174	0.016111	0.014502	0.0171851	0.00771508	0.0116301	0.00670048	0.00353224	0.00382009	0.00338986	0.00376168	0.00479327	0.0079788	0.00520866	0.00792431	0.00930098	0.0287947	0.0209874	0.0310591	0.0168208	0.0439459	0.0511042	0.035273	0.0641889	0.0407219	0.0711258	0.052433	0.0796899	0.0590405	0.0751995
nuit	0.0506379	0.0245708	0.01855	0.0167989	0.0132804	0.0101736	0.00777482	0.0120761	0.00627531	0.0062671	0.00466968	0.00451412	0.00716079	0.00617044	0.00705716	0.00470189	0.00778007	0.00392363	0.00837215	0.00689488	0.00840269	0.00745459	0.0137751	0.015921	0.0193867	0.0201252	0.0392049	0.0513944	0.0308219	0.0470122	0.0410038	0.0596616	0.0537871	0.0994148	0.0983888	0.166595
</S>	0.0366065	0.0349237	0.0358229	0.0317856	0.0219152	0.0196651	0.0190959	0.0272931	0.0224751	0.0317249	0.0110337	0.0146029	0.00958497	0.00974487	0.0124709	0.00988977	0.00708507	0.0104362	0.0170714	0.0116794	0.0260361	0.0201261	0.0281958	0.0233975	0.0206896	0.0126648	0.0226202	0.0323359	0.0196396	0.0512318	0.0332979	0.045846	0.0347267	0.0528499	0.0543672	0.127068
