 	m	b	ó	s	i	l	á	a	d	z	á	á	m	b	v	u	m	b	v	ú	n	d	z	á	á	n	g	á	i	d	i	í	a	m	b	ó	s	i	o	d	z	á	a	έ	</S>
le	0.00917146	0.00987483	0.00917134	0.011217	0.0104376	0.0138042	0.0318636	0.0346673	0.0364275	0.0435691	0.047419	0.0454827	0.0599369	0.0482011	0.0284606	0.0292218	0.0176308	0.0220719	0.0145098	0.0104884	0.017087	0.016275	0.0100193	0.0184404	0.00521867	0.00735532	0.00875584	0.0167838	0.0107858	0.00659834	0.00727899	0.00918817	0.00660588	0.00822524	0.00972961	0.0106076	0.014489	0.0290115	0.0359904	0.0402592	0.0414119	0.0411861	0.0378056	0.0318478	0.0254166
cabri	0.0330857	0.133357	0.178614	0.146933	0.11905	0.0711866	0.0292566	0.0248126	0.0609034	0.0485678	0.031585	0.0129228	0.0229951	0.00654736	0.00468767	0.00320545	0.00237806	0.00174884	0.00115014	0.00104678	0.000780341	0.000742372	0.000309595	0.000475911	0.000474172	0.000524141	0.000980053	0.00125116	0.000923977	0.000985356	0.0010543	0.0013247	0.0035326	0.00368558	0.00361349	0.00470581	0.00575788	0.0113496	0.00825948	0.00363318	0.00413027	0.00273819	0.00338659	0.000645395	0.000701597
broute	0.04895	0.0454778	0.0285343	0.0282688	0.032685	0.0388722	0.0473474	0.0353144	0.0254898	0.0147828	0.0127228	0.0095176	0.00846956	0.00777778	0.0130357	0.0158545	0.0304301	0.024404	0.0207141	0.0185704	0.0200256	0.0206739	0.0184345	0.0237915	0.0169335	0.0239562	0.0322665	0.0188143	0.0144094	0.0191393	0.0164252	0.0240137	0.0200597	0.0215003	0.0232094	0.0197958	0.0255875	0.0271263	0.0373122	0.0190976	0.0159265	0.0120048	0.00913562	0.0083058	0.00483607
l'	0.013554	0.0180073	0.0193549	0.0196701	0.016885	0.0194478	0.021246	0.0263331	0.0323254	0.0317589	0.0363552	0.0314364	0.0181368	0.0254784	0.0233361	0.0375255	0.0388803	0.0450305	0.0359871	0.0339632	0.0221972	0.0146809	0.0188885	0.0158994	0.0136134	0.0140628	0.0113073	0.0171417	0.0125337	0.0280314	0.0212717	0.0218738	0.027521	0.0162376	0.00892249	0.00786264	0.00911847	0.0156783	0.0214503	0.0199996	0.0211254	0.0229116	0.0165961	0.0244245	0.0319382
herbe	0.0222302	0.0199814	0.0251778	0.0192004	0.0253322	0.0201386	0.016184	0.0231608	0.0236367	0.0181989	0.0127403	0.0102473	0.00602671	0.0131116	0.0183662	0.017829	0.0233501	0.0211841	0.0203403	0.0165671	0.0253132	0.0233779	0.0171961	0.0189081	0.0207548	0.0302462	0.0344706	0.038399	0.0266783	0.033772	0.0273554	0.0274494	0.0255402	0.0240199	0.023366	0.0188608	0.0205759	0.026553	0.0252106	0.0237084	0.0198056	0.0203937	0.0239799	0.0185256	0.0325357
mais	0.0335885	0.0251754	0.0358787	0.0277772	0.024963	0.0160018	0.010168	0.0131447	0.0136154	0.0125258	0.0127612	0.0087294	0.00633159	0.00942771	0.0113217	0.0107781	0.0147105	0.0178875	0.0276473	0.0352593	0.0390844	0.0273732	0.0430766	0.0352303	0.0383292	0.0324535	0.0422736	0.0245847	0.0212994	0.0358228	0.0302464	0.0304441	0.0252179	0.0174548	0.0104612	0.00994809	0.0116913	0.0146817	0.0166286	0.0143087	0.0132191	0.0194942	0.0169202	0.0221655	0.0398976
moi	0.0213617	0.0121638	0.0103442	0.00895385	0.00968906	0.00567158	0.0042649	0.00584021	0.00519782	0.00408021	0.00389744	0.00408203	0.00416211	0.00897468	0.0118809	0.0135241	0.0207333	0.0221804	0.0274125	0.0318904	0.0277089	0.0278367	0.036337	0.0390812	0.0497802	0.0531907	0.072767	0.0606363	0.0558023	0.0362728	0.0348083	0.0236384	0.0255864	0.0205681	0.0170543	0.015865	0.0177522	0.0196825	0.0155533	0.0183582	0.0146454	0.0128006	0.0164415	0.0175357	0.0339918
je	0.0938002	0.0483229	0.0195745	0.017408	0.0122667	0.00514164	0.0049918	0.00450956	0.0044529	0.00345828	0.00403313	0.00426128	0.00415313	0.00622975	0.00914111	0.0168505	0.0268306	0.0306823	0.0387284	0.0262639	0.0238648	0.0394103	0.0391482	0.0437353	0.0794901	0.0780689	0.0785571	0.0468681	0.0208197	0.009021	0.0101622	0.00541893	0.00451451	0.00399806	0.00256376	0.00148807	0.0033759	0.00549404	0.00814031	0.0116585	0.0103623	0.0116004	0.0121439	0.0219175	0.0470775
ne	0.107349	0.0450993	0.0262235	0.0191058	0.0140907	0.0057822	0.00465338	0.00366679	0.00357597	0.00292088	0.00297401	0.0032441	0.00313227	0.00481165	0.00873986	0.0117196	0.0180931	0.020589	0.0293045	0.0260188	0.0233186	0.0284752	0.0389205	0.042755	0.0505428	0.05639	0.0679707	0.0540017	0.0370306	0.021814	0.0177484	0.0105695	0.00878205	0.00689338	0.00550695	0.00436021	0.00660434	0.0139043	0.0168965	0.0187352	0.0155152	0.014357	0.0134728	0.0230921	0.0412489
mange	0.176267	0.0568547	0.023581	0.0189463	0.0149004	0.00580989	0.00348279	0.00367049	0.00424203	0.00355858	0.00464766	0.0060962	0.00648686	0.0073459	0.0107106	0.0143059	0.0194398	0.021439	0.029059	0.0188847	0.0130692	0.0218664	0.0206667	0.0237925	0.0484928	0.0477428	0.0586003	0.0474383	0.020914	0.0138395	0.0140122	0.0129802	0.0109038	0.0109796	0.00924055	0.00704801	0.0098183	0.00881557	0.00929835	0.0164304	0.015452	0.0159253	0.0168351	0.0300411	0.0460685
pas	0.10943	0.0270696	0.0198789	0.0159232	0.0101333	0.00607858	0.00324908	0.00232815	0.00264821	0.00244788	0.00299204	0.00342084	0.00291113	0.0101526	0.0194566	0.0385445	0.0524803	0.0653311	0.0718546	0.0594256	0.0309565	0.036155	0.0218747	0.0280319	0.0321875	0.0301338	0.023012	0.0314478	0.0222504	0.0161954	0.0125875	0.00837657	0.0078864	0.00818118	0.00915442	0.00769146	0.00926905	0.0211898	0.0184245	0.0165736	0.0148251	0.0119132	0.0103623	0.0173217	0.0282418
les	0.0730655	0.0357326	0.0274247	0.0224086	0.0144879	0.0100087	0.00655944	0.0043455	0.00332647	0.00295794	0.0034167	0.00320887	0.00399889	0.0107094	0.0237543	0.0597991	0.0593257	0.0731039	0.0757244	0.0501673	0.0271854	0.0301366	0.0194502	0.021793	0.0239632	0.0238052	0.0187928	0.0184082	0.0242897	0.0214183	0.0151421	0.00984941	0.00773786	0.00595283	0.00397487	0.00285404	0.00331249	0.00803887	0.0125317	0.0160813	0.0150601	0.0192671	0.0182167	0.0248331	0.044379
cabris	0.0676915	0.0325953	0.0222884	0.0190965	0.0118073	0.00738227	0.00418955	0.00349639	0.00343887	0.00323815	0.00376579	0.0039188	0.00493571	0.00886033	0.0184557	0.0595629	0.0566695	0.0745881	0.0627201	0.0295334	0.0149145	0.0163708	0.0111902	0.0118383	0.014894	0.0178693	0.0166717	0.0197704	0.0130691	0.0130929	0.00852695	0.00629761	0.00613588	0.00517482	0.00436063	0.0023399	0.00232049	0.00527981	0.0103829	0.0227092	0.0235015	0.0385363	0.0391518	0.0606785	0.116688
</S>	0.0491474	0.0235689	0.0118518	0.0103393	0.00550378	0.00392308	0.00466059	0.00504275	0.00345067	0.00259507	0.00354973	0.00368906	0.00377985	0.00572144	0.0137099	0.0433473	0.0480016	0.0732347	0.115521	0.0683807	0.0366172	0.0440209	0.0228489	0.0188374	0.026304	0.0288501	0.0190255	0.0274563	0.0124479	0.0122712	0.00967475	0.00661891	0.00585901	0.00493672	0.0041048	0.00235416	0.00341003	0.00539915	0.00745424	0.0134326	0.0150487	0.0215216	0.0279708	0.0409606	0.0835558
