 	l	e	n	g	w	ω	ω	s	i	l	á	k	a	a	g	h	á	y	a	b	í	s	í	y	i	b	a	a	l	í	i	p	έ	έ	n	g	á	b	ω	m	ω	</S>
le	0.0232257	0.0235104	0.0203684	0.0366234	0.0527966	0.031606	0.0215684	0.0310874	0.0434345	0.0362879	0.0591555	0.0451893	0.0416906	0.042662	0.0290185	0.0304321	0.0256203	0.0342795	0.0296427	0.0231898	0.0246079	0.0103841	0.0134951	0.0132174	0.0113736	0.00836104	0.00861773	0.0126913	0.0179976	0.0208042	0.0213778	0.011299	0.0138497	0.014876	0.0112003	0.0130909	0.0113807	0.0161351	0.012623	0.0144201	0.0161665	0.0206418
ronflement	0.0127959	0.0183311	0.0343579	0.0314548	0.0613235	0.0688706	0.107724	0.0387906	0.0422448	0.0283522	0.0340987	0.0119892	0.0157759	0.0421168	0.0231492	0.0644679	0.0740304	0.0899319	0.0471983	0.0150511	0.010364	0.0190514	0.0219281	0.0132133	0.0223585	0.00817352	0.00673978	0.00395214	0.00155785	0.00115433	0.00305136	0.00254579	0.00211077	0.00261325	0.00354799	0.00340906	0.00157538	0.00231333	0.00319222	0.00251494	0.00163306	0.000945695
de	0.0121525	0.0195788	0.012155	0.00613937	0.0105461	0.0104275	0.00845692	0.00700906	0.0101931	0.00463222	0.00378005	0.00355225	0.00425031	0.00970191	0.0100863	0.0157023	0.0248281	0.0230471	0.0290823	0.0439082	0.0483756	0.0391549	0.0474485	0.0386302	0.0231107	0.0553199	0.0415562	0.0376689	0.0620438	0.0312123	0.0340295	0.0413682	0.0621244	0.0351604	0.0334849	0.0261653	0.01397	0.0172074	0.0146873	0.0120226	0.0128287	0.0032011
notre	0.0107815	0.0153066	0.0223307	0.0262732	0.022301	0.0171434	0.0175021	0.0119503	0.014571	0.00783569	0.0106406	0.0132623	0.0366333	0.0442853	0.068329	0.0426501	0.0488977	0.0377862	0.0456388	0.0709344	0.0560783	0.0330216	0.0349409	0.0322474	0.0141612	0.031907	0.0220952	0.0130784	0.0280733	0.0110861	0.0090725	0.0150886	0.0139499	0.0104374	0.0104623	0.0139857	0.0118127	0.005707	0.00538011	0.010316	0.011505	0.02054
grand	0.0392027	0.0372874	0.0317898	0.0352874	0.0367094	0.0373021	0.030535	0.0251406	0.0238263	0.0189463	0.0202376	0.0136851	0.0166382	0.0160047	0.0160916	0.0150171	0.0148674	0.0188328	0.0244625	0.0202149	0.024348	0.0172221	0.0244691	0.035372	0.0214872	0.0254827	0.0254158	0.0279841	0.0321121	0.0206017	0.0190416	0.0194894	0.0194723	0.0146953	0.0101909	0.00969199	0.0122225	0.0200989	0.0223965	0.0262053	0.0288856	0.0510363
père	0.0329309	0.0268642	0.023443	0.0250727	0.0323297	0.0450843	0.0428051	0.0283016	0.0240688	0.0138364	0.0171411	0.0150935	0.012426	0.0119796	0.0169609	0.0135174	0.0108692	0.0110209	0.013187	0.0110779	0.0166263	0.0202733	0.0204163	0.0227297	0.0136524	0.014262	0.0220643	0.0279207	0.0245193	0.0192108	0.0223024	0.0320488	0.0313272	0.0233058	0.0236402	0.0216338	0.0336781	0.0348364	0.0325168	0.036231	0.0287205	0.0500736
me	0.040139	0.0259998	0.020998	0.0171454	0.016733	0.0220852	0.0273474	0.0190319	0.0170563	0.0128646	0.00817081	0.0107378	0.0122551	0.0213465	0.01767	0.015066	0.0100761	0.00836679	0.0101402	0.00751773	0.0093553	0.0154586	0.013293	0.0168993	0.0132589	0.0198502	0.0365153	0.045864	0.0406015	0.0488931	0.0590341	0.0720843	0.0615304	0.0425473	0.033118	0.0292413	0.0209533	0.0147231	0.0115047	0.014101	0.0155707	0.0248547
fait	0.0684736	0.0465144	0.0354408	0.0289097	0.0247664	0.0185487	0.0195271	0.017181	0.0213538	0.0154277	0.0160609	0.0201108	0.0115491	0.0120087	0.0126759	0.00994178	0.00670146	0.00602414	0.00773591	0.00570082	0.00715605	0.0140308	0.0144492	0.0146133	0.00983629	0.0132452	0.0144193	0.0176611	0.0144522	0.0227154	0.0265116	0.0781848	0.0728809	0.0421839	0.0396393	0.0411149	0.0378201	0.0192307	0.0158119	0.0216652	0.0226825	0.0350425
peur	0.0715683	0.0396865	0.0315167	0.0196072	0.0159027	0.0090909	0.0120613	0.0102014	0.0158846	0.0102502	0.0139943	0.0195435	0.0161412	0.015084	0.0154514	0.0127097	0.0103528	0.00622929	0.012856	0.00955822	0.011965	0.0253563	0.0229956	0.024154	0.0135472	0.0111167	0.0135353	0.0168795	0.0113472	0.0120802	0.0143739	0.0413456	0.0431011	0.0330749	0.0398695	0.0418541	0.0531016	0.0212807	0.0266783	0.0340196	0.0480774	0.0725562
</S>	0.045737	0.036867	0.0284875	0.0194506	0.0175176	0.0138836	0.0100825	0.00811663	0.0124691	0.00873877	0.0145021	0.0229695	0.0194053	0.0211441	0.023051	0.0147136	0.0147998	0.0120158	0.0134097	0.00832316	0.00998268	0.0157208	0.0140402	0.0146582	0.014551	0.0144612	0.0156788	0.00990944	0.0135208	0.026194	0.0199038	0.0298438	0.0309824	0.0245468	0.0226837	0.019864	0.0473346	0.0288333	0.0398807	0.0426906	0.0653724	0.113662
