 	a	y	ú	r	u	b	ó	t	s	έ	n	d	ε	á	d	z	e	b	á	a	k	i	r	á	a	b	a	a	m	í	</S>
les	0.113337	0.0650614	0.0584399	0.0754137	0.0504052	0.0378687	0.020062	0.0100159	0.0104346	0.0157575	0.0187843	0.0196308	0.0290714	0.0237171	0.0324475	0.0361923	0.0339913	0.0355232	0.0335102	0.0217234	0.0240426	0.0238199	0.0244433	0.0289949	0.0198289	0.0226011	0.0241389	0.0259214	0.0244803	0.0183838	0.0219572
femmes	0.0189706	0.0175517	0.0348468	0.0302143	0.0614216	0.115763	0.140101	0.134482	0.0862554	0.0450109	0.0444113	0.0311402	0.0330356	0.0227157	0.0338584	0.0200554	0.0181504	0.0103954	0.00998999	0.00867429	0.0103322	0.0126204	0.0111721	0.00780482	0.00789492	0.0117639	0.00489535	0.00481426	0.00480821	0.0033609	0.00348892
d'	0.00641738	0.011682	0.0299291	0.028354	0.0459311	0.0181122	0.0220884	0.0218666	0.0204052	0.0481614	0.044932	0.0756201	0.0806321	0.0542003	0.0361927	0.0605307	0.0460616	0.0369447	0.0298226	0.0260029	0.0254271	0.032639	0.0287628	0.0240516	0.0203445	0.0346869	0.0203152	0.0171202	0.0168224	0.0189326	0.0170105
otsende	0.00444605	0.00607496	0.0151536	0.014407	0.0153289	0.0185984	0.0169247	0.0275979	0.0198275	0.0340688	0.0335591	0.0365624	0.046098	0.049216	0.0592238	0.0376385	0.029998	0.0409536	0.0425337	0.0413955	0.0538409	0.0567767	0.0527431	0.0424356	0.0325089	0.0455466	0.0258215	0.0218064	0.0355413	0.0263707	0.017002
étaient	0.0133673	0.0215404	0.0199387	0.0219436	0.0267981	0.0301852	0.0354985	0.0253155	0.0255445	0.0234565	0.0359168	0.0371358	0.0532531	0.0385444	0.0267112	0.0411471	0.0398218	0.0366281	0.0299638	0.0367509	0.0447174	0.0343669	0.0327482	0.0233489	0.01895	0.0268607	0.0203149	0.0178213	0.0397433	0.0460466	0.0756204
en	0.00987434	0.0110095	0.0118503	0.0133056	0.0144689	0.0145433	0.0186493	0.012857	0.01393	0.0125714	0.023048	0.0253891	0.0504215	0.0443932	0.0431744	0.0595864	0.0472895	0.0476968	0.0424943	0.0518439	0.0695433	0.0516875	0.0381491	0.0107665	0.0182314	0.0419271	0.0295979	0.0275395	0.0442326	0.0446218	0.0553064
train	0.0179738	0.0162073	0.016383	0.0217167	0.0230407	0.0232258	0.0228	0.0212818	0.022655	0.0213219	0.0305115	0.023228	0.0480117	0.038618	0.0424421	0.0499535	0.0548969	0.0440987	0.0433212	0.0765923	0.0368025	0.0277942	0.0151782	0.00486045	0.00915435	0.0260435	0.018189	0.0177195	0.0445222	0.0482954	0.0931609
de	0.0444519	0.0331719	0.0316695	0.0380671	0.0345156	0.0345968	0.0308849	0.0225247	0.0226074	0.0245577	0.0344486	0.030094	0.0465987	0.0393234	0.0294179	0.0424363	0.0431206	0.0425326	0.0425825	0.0342869	0.0349197	0.0271996	0.0174458	0.00981833	0.0132815	0.0119718	0.0129394	0.0128364	0.0246095	0.0275793	0.10551
vendre	0.0379241	0.026196	0.0198297	0.018962	0.0165672	0.0145943	0.00868002	0.00537718	0.00436359	0.00446014	0.00617527	0.00679021	0.00967884	0.00941943	0.0160044	0.0230693	0.0344394	0.0444603	0.0433491	0.0507508	0.0656996	0.0667088	0.0711202	0.0780033	0.0539791	0.0529437	0.0367759	0.0253429	0.0571131	0.0405104	0.0507117
des	0.0801314	0.0757221	0.0652775	0.0682268	0.0502752	0.029362	0.0229169	0.015242	0.0117298	0.00856543	0.0179323	0.0128116	0.0183762	0.0093155	0.00899968	0.0206793	0.014543	0.0221852	0.0150245	0.0199658	0.0142417	0.0157771	0.0155145	0.0204904	0.0311008	0.0221448	0.0256196	0.0269769	0.0437228	0.0454395	0.15169
fruits	0.0291777	0.0277887	0.0304174	0.0331578	0.0269653	0.0234792	0.0108686	0.00857804	0.00685069	0.00647529	0.00616235	0.005927	0.00785817	0.00602271	0.0121823	0.0152396	0.02118	0.0166845	0.0165286	0.0329288	0.0264456	0.0257078	0.026263	0.0337213	0.0282304	0.0473845	0.0517805	0.0558472	0.0907259	0.10409	0.165331
gambea	0.0406792	0.0422475	0.0403796	0.040689	0.0345989	0.0264586	0.019048	0.0165862	0.0157376	0.0106904	0.0125152	0.00691752	0.00961376	0.00498534	0.00488406	0.00936386	0.0125237	0.0147971	0.0110938	0.024216	0.0235228	0.0272941	0.0360623	0.0420571	0.0282741	0.036957	0.0331694	0.0318435	0.082386	0.0951527	0.165256
</S>	0.0396208	0.0339634	0.0334941	0.0337806	0.0284706	0.0211418	0.0152318	0.012737	0.0137388	0.0107411	0.0105432	0.0062872	0.00670056	0.00452309	0.00526648	0.00897518	0.0123916	0.0215727	0.0205752	0.0345845	0.0429928	0.0457998	0.049731	0.0466367	0.044373	0.0497883	0.0572437	0.0575379	0.0660186	0.0661682	0.0993704
