 	d	z	w	a	á	o	y	é	n	g	á	m	o	r	o	y	é	é	d	í	y	ε	ε	m	i	b	v	ú	a	</S>
va	0.0166571	0.00920092	0.0690813	0.0699535	0.0668436	0.0486825	0.0318738	0.0316346	0.0260995	0.0382344	0.038103	0.0359203	0.0410954	0.039915	0.0374427	0.0477757	0.0557829	0.040833	0.029677	0.0309676	0.0267413	0.0285969	0.0139607	0.0216533	0.0202914	0.0176438	0.0140612	0.0173982	0.0194229	0.0144564
chercher	0.075275	0.0922218	0.0502017	0.0482429	0.0571907	0.0663317	0.101586	0.117764	0.093753	0.0686128	0.0572668	0.0434034	0.0289264	0.0242352	0.015502	0.00165793	0.00300374	0.00467052	0.00620954	0.00193918	0.00233146	0.00271907	0.0028832	0.00206424	0.00439923	0.00474791	0.00518003	0.00400707	0.00621282	0.00745989
l'	0.0509614	0.0498581	0.0280422	0.0133781	0.0130906	0.015567	0.0186493	0.027542	0.0309073	0.0335692	0.0291666	0.0262026	0.0279897	0.0303785	0.0228885	0.0317595	0.0661604	0.082571	0.0930884	0.0395316	0.0285874	0.0330239	0.0216975	0.0271875	0.0356818	0.0182782	0.0252774	0.0258829	0.0279309	0.0251503
homme	0.0269314	0.0278368	0.0221897	0.0195844	0.0252461	0.0336435	0.0569451	0.120834	0.0968347	0.0671792	0.0413048	0.0379085	0.0274808	0.0246367	0.0207987	0.0156006	0.0124255	0.0252073	0.016239	0.0147423	0.0249664	0.0243391	0.0189731	0.0196235	0.0220268	0.0347723	0.0252258	0.0261389	0.0261862	0.044179
qui	0.0176666	0.0154095	0.00961731	0.00878328	0.00940895	0.0151379	0.0161733	0.0229381	0.0243769	0.0178267	0.0257468	0.0415231	0.032185	0.0375216	0.0262616	0.040761	0.0350746	0.0365395	0.0383071	0.048461	0.0527282	0.0595862	0.0511968	0.0543637	0.0453845	0.039317	0.0372107	0.0372726	0.0335833	0.0696373
est	0.0268269	0.0216368	0.0151485	0.0172905	0.0219027	0.0281375	0.0297449	0.0371323	0.045942	0.0372377	0.0441367	0.0500737	0.0292827	0.0271102	0.0297253	0.026732	0.0326646	0.0311297	0.0505336	0.0150918	0.0255682	0.023712	0.0353648	0.0321444	0.0385014	0.0461031	0.0457945	0.0435111	0.0438922	0.0479283
adossé	0.0986243	0.0581646	0.0323072	0.0353023	0.0348498	0.0388841	0.0395423	0.0530399	0.0397306	0.0339886	0.0318719	0.0331908	0.0210956	0.0212879	0.0152021	0.0105018	0.0167236	0.013585	0.0401417	0.0102139	0.00934179	0.00760414	0.0102565	0.0119833	0.0133722	0.0219329	0.0307995	0.0413193	0.0552198	0.119923
à	0.0305008	0.0253771	0.0240162	0.0244357	0.0176351	0.015968	0.0174407	0.020524	0.0146883	0.0254431	0.0329435	0.0316936	0.0525612	0.0569283	0.0432249	0.0376871	0.0462286	0.0344372	0.0359275	0.0469297	0.022044	0.0357227	0.0265595	0.0247784	0.0215369	0.030737	0.0237998	0.0347365	0.0386619	0.106833
l'	0.0664458	0.0359375	0.0175073	0.0164987	0.0162693	0.0169876	0.0166501	0.0160304	0.0134223	0.0161377	0.0200939	0.0127676	0.0149233	0.0204853	0.0129066	0.0106491	0.02452	0.0216805	0.0392037	0.0205478	0.04164	0.0326734	0.0436067	0.0376821	0.0475484	0.0589603	0.0606726	0.0717819	0.0669348	0.108835
arbre	0.069629	0.0388378	0.0154532	0.0154891	0.0137669	0.0116607	0.0162305	0.0212997	0.0201738	0.0242641	0.0281407	0.0257096	0.0203712	0.0193689	0.0160898	0.0154443	0.0172496	0.018661	0.0245695	0.0154543	0.0257808	0.0205203	0.0257567	0.0206287	0.0333998	0.0569477	0.0542626	0.0713497	0.0966993	0.146791
</S>	0.0936193	0.0717845	0.0263235	0.0274598	0.0211405	0.0134331	0.0209595	0.0188602	0.019303	0.0229154	0.0204785	0.0228953	0.0161714	0.0160212	0.00653054	0.00871928	0.00527941	0.00465999	0.0097955	0.00977609	0.0133625	0.00952494	0.0133842	0.0121593	0.0161407	0.0358184	0.0437216	0.0808469	0.134541	0.184375
