 	o	k	o	n	d	z	i	y	a	p	o	o	á	m	i	b	é	á	a	t	w	ε	r	ε	e	y	ú	m	b	u	</S>
le	0.0160646	0.0157315	0.00933824	0.0148465	0.0101902	0.0105568	0.0073025	0.0191193	0.0230368	0.0332536	0.0776331	0.0668568	0.0524604	0.0666975	0.0564433	0.0668497	0.0567653	0.0297569	0.0388821	0.0594213	0.0288654	0.0246329	0.0138533	0.0127234	0.0165777	0.0219198	0.0311428	0.0336379	0.0321652	0.0270846	0.0261903
chef	0.067864	0.112684	0.187184	0.127098	0.162872	0.0685843	0.0350926	0.0322007	0.0295277	0.0220236	0.00736467	0.00963526	0.00880445	0.0134243	0.0110861	0.017775	0.0070127	0.00616816	0.00783429	0.00769101	0.00224828	0.00343621	0.00595199	0.0137411	0.0121122	0.00630042	0.00408115	0.00495156	0.00207877	0.00132248	0.00185004
du	0.0233963	0.0160752	0.0201853	0.0193135	0.032094	0.0311597	0.0712885	0.0262702	0.0185168	0.0292447	0.0205018	0.0375609	0.0632575	0.0350513	0.0222085	0.0380165	0.0514406	0.0611819	0.0346069	0.0696086	0.0521846	0.0825635	0.0517351	0.0336547	0.0158706	0.0145159	0.00864906	0.00788581	0.0047409	0.0049666	0.00225461
village	0.0382673	0.0414663	0.0412192	0.0588919	0.0482621	0.0456064	0.0432098	0.0336629	0.0306814	0.0322851	0.020464	0.0479205	0.0662588	0.0313891	0.043746	0.0620406	0.0434339	0.0475624	0.0283343	0.0208606	0.0173338	0.0262552	0.0158803	0.0155977	0.0142129	0.00895924	0.00747252	0.0118999	0.012507	0.015297	0.0290218
a	0.0225769	0.0272908	0.031278	0.0445078	0.0302272	0.0312146	0.0382986	0.0371193	0.0428864	0.0664762	0.0567099	0.072816	0.0609286	0.0272564	0.0265084	0.025226	0.0219946	0.0328725	0.0248607	0.0151709	0.0248137	0.0231371	0.0244746	0.0295454	0.0259709	0.0219419	0.0150361	0.0175905	0.0176834	0.0198201	0.0437663
convoqué	0.0138152	0.0155311	0.0218442	0.026889	0.0332902	0.0286534	0.036912	0.047717	0.0732321	0.068687	0.0638585	0.0727542	0.0400709	0.0320573	0.0638499	0.0280036	0.0170584	0.01714	0.0188263	0.0203069	0.0185596	0.0163188	0.0256431	0.0301679	0.0253712	0.0283083	0.0203509	0.0223428	0.0192568	0.0137231	0.0394603
l'	0.020995	0.0140442	0.0184761	0.0166259	0.0145755	0.0135876	0.0207699	0.0215384	0.0272928	0.0174199	0.00726879	0.00743361	0.0119088	0.0157968	0.0286989	0.0277345	0.0320748	0.0275738	0.0440011	0.0579059	0.0364992	0.0515112	0.0659907	0.0688509	0.0544405	0.0486846	0.0519436	0.0401205	0.0362223	0.0314021	0.0686118
assemblée	0.0495658	0.0397122	0.0301219	0.0174003	0.0155265	0.0139596	0.0208382	0.00966478	0.0121453	0.0112437	0.00773324	0.0121476	0.0199333	0.0260584	0.0411578	0.0393186	0.032004	0.0310031	0.0448806	0.0383423	0.0308196	0.041309	0.0395641	0.0398301	0.0354621	0.0287728	0.0322392	0.0369174	0.0215217	0.0570301	0.123777
des	0.121429	0.069703	0.0471614	0.0306956	0.028284	0.0312254	0.0511304	0.0235705	0.0259724	0.0315739	0.0214154	0.0267914	0.0353118	0.0264186	0.0392637	0.0279853	0.0307984	0.0278556	0.0578959	0.0233328	0.02218	0.0109201	0.00703316	0.0075218	0.00650843	0.00891144	0.0158054	0.0131782	0.0119663	0.0215389	0.096622
anciens	0.0308311	0.0216215	0.0207919	0.018656	0.0116768	0.00544707	0.00562075	0.00490182	0.00807704	0.00548497	0.00337368	0.00527667	0.0148798	0.0232738	0.0304491	0.0462389	0.0478307	0.0422092	0.0377873	0.0483793	0.0421506	0.0397087	0.0422086	0.0531713	0.0599256	0.0335463	0.0498599	0.049998	0.0295953	0.0745702	0.0924582
</S>	0.0750762	0.0441403	0.0377903	0.0334519	0.0365821	0.031829	0.0303783	0.0270613	0.0278103	0.0364492	0.0240913	0.0295377	0.0317866	0.0145721	0.016331	0.0158833	0.0283005	0.0431574	0.0370753	0.0248252	0.0326132	0.0290366	0.0159532	0.0166011	0.0170488	0.0124014	0.0134695	0.0212052	0.0229637	0.0426518	0.129926
