 	o	n	g	ω	n	g	ω	m	á	m	b	v	ú	á	k	ó	ó	a	b	h	i	o	m	b	i	n	g	a	l	o	m	b	i	n	g	a	</S>
après	0.0119539	0.0174042	0.0141541	0.0194505	0.0192278	0.0142041	0.0150896	0.0161906	0.0233325	0.0344599	0.0346424	0.0532482	0.0421714	0.0654503	0.0896178	0.128661	0.0270592	0.0171014	0.0143967	0.0127205	0.011127	0.00636589	0.00617518	0.00560417	0.00636553	0.00748916	0.0081682	0.0158479	0.0233873	0.0168166	0.0254745	0.0244591	0.0314562	0.0378145	0.0403359	0.0302105	0.032366
la	0.0791344	0.0354969	0.0271646	0.0178553	0.0148005	0.0278272	0.014619	0.0125693	0.0106911	0.0129525	0.0165528	0.033107	0.0470537	0.0391505	0.0731953	0.0634022	0.063457	0.0692454	0.0684119	0.0281175	0.0209893	0.0209312	0.0270616	0.0189181	0.0314	0.0294256	0.0191643	0.0107997	0.00671512	0.00997043	0.0121435	0.00850444	0.00697455	0.00537483	0.00443539	0.003701	0.00868679
pluie	0.0214107	0.0250404	0.0318396	0.0303513	0.0260182	0.0171999	0.0233729	0.0556332	0.0468481	0.0255883	0.0186443	0.0212847	0.0248167	0.0400762	0.09961	0.075419	0.094004	0.0213609	0.0355499	0.028924	0.0235694	0.0156027	0.0127533	0.00866284	0.0148941	0.0202221	0.0107117	0.0130347	0.0170514	0.0158841	0.0118757	0.013658	0.0152153	0.0147328	0.0136432	0.00664231	0.00885416
le	0.0089933	0.0110465	0.0150148	0.0205101	0.0258225	0.0118002	0.00624599	0.0115735	0.0123984	0.0115732	0.0117892	0.00786773	0.0126474	0.015659	0.0366284	0.0403975	0.0835452	0.0571888	0.071374	0.128695	0.117939	0.0642292	0.0430189	0.0590427	0.016702	0.0179918	0.00688892	0.00598853	0.00672075	0.00642228	0.00776225	0.00959504	0.00827063	0.00647291	0.00618704	0.00648228	0.00951488
chemin	0.0103108	0.0539229	0.0587539	0.0861057	0.071054	0.0671866	0.0466462	0.0317083	0.023071	0.016351	0.0137366	0.01709	0.0202095	0.0202843	0.0219814	0.0146156	0.037492	0.0283785	0.0675967	0.037784	0.0491508	0.0371987	0.0340793	0.0120723	0.0282254	0.00831447	0.00844773	0.00600124	0.00728261	0.0070272	0.00651395	0.00294277	0.00441505	0.00390156	0.00435741	0.00524965	0.0305409
n'	0.0182614	0.0225534	0.0285931	0.0484392	0.0459462	0.0369093	0.0244457	0.0291031	0.0288216	0.0240377	0.0195954	0.0245013	0.0199225	0.0225113	0.0281918	0.0185197	0.0246559	0.0273583	0.072473	0.0518177	0.060036	0.0556085	0.0463444	0.0270483	0.0249306	0.0146864	0.00785002	0.010083	0.00740913	0.0125019	0.014293	0.00863445	0.00646981	0.00806073	0.0100829	0.0163002	0.053003
était	0.0720466	0.0515657	0.0638403	0.071513	0.0689563	0.0723814	0.0397271	0.0329246	0.0247345	0.0147187	0.0133544	0.0170609	0.0179799	0.0187062	0.0215848	0.0222438	0.0198669	0.0163504	0.0218615	0.0258086	0.0257983	0.0284555	0.0284241	0.0191121	0.0187881	0.0111416	0.00650437	0.0102105	0.00709417	0.014915	0.0163444	0.0152873	0.0139965	0.0152653	0.0160887	0.0175899	0.0277587
qu'	0.0499665	0.0275171	0.0310632	0.0231942	0.0214122	0.020363	0.0116609	0.0132987	0.0129281	0.0157188	0.017835	0.029281	0.0391017	0.0374323	0.0409445	0.0559417	0.0684368	0.0679656	0.0478079	0.0594888	0.0403212	0.0323562	0.0293124	0.0279814	0.0152838	0.0146482	0.0141534	0.0103071	0.00990141	0.00827195	0.0101134	0.0123742	0.0152977	0.0160379	0.0142444	0.0182214	0.019816
une	0.029238	0.0187074	0.0200052	0.0198976	0.021335	0.020199	0.022075	0.0263061	0.0232909	0.0163728	0.0152918	0.0184462	0.0164584	0.0128602	0.0128535	0.00939415	0.0142347	0.0277992	0.0368176	0.0460315	0.0631798	0.0534272	0.0536643	0.0784637	0.0495691	0.0443998	0.0277086	0.0177555	0.0198685	0.017292	0.0206877	0.0108597	0.012481	0.0138822	0.0164243	0.0279023	0.04482
mare	0.0936058	0.0451406	0.0353462	0.0266559	0.0264986	0.0275802	0.0190797	0.0139757	0.00955065	0.00963659	0.0107971	0.0112041	0.0161419	0.0128349	0.0137223	0.0136443	0.011481	0.0222096	0.0245716	0.0374013	0.0333384	0.0293717	0.0241841	0.0279559	0.0375353	0.0275077	0.0191441	0.0211874	0.0219614	0.0239444	0.0262413	0.0198709	0.0355586	0.0319482	0.0384631	0.044589	0.0561208
