 	w	a	l	á	a	t	ó	n	g	á	n	d	é	e	s	á	k	ώ	m	ó	i	s	é	b	h	a	l	á	a	l	ω	i	</S>
il	0.0740444	0.35109	0.283271	0.116924	0.0482631	0.0251786	0.0281194	0.0115145	0.0131989	0.0049336	0.00081071	0.000495076	0.000557728	0.000596317	0.000664914	0.000590412	0.000810009	0.00125749	0.0013128	0.00223614	0.00386238	0.00355357	0.00383596	0.00321188	0.00535354	0.00282527	0.00300665	0.00202108	0.00172063	0.00133816	0.00143061	0.00119527	0.00077552
construit	0.00845183	0.010279	0.00952165	0.0167401	0.0057474	0.00931874	0.00938083	0.018523	0.0129678	0.0146099	0.0300669	0.0644803	0.0488273	0.142002	0.12317	0.115445	0.0804178	0.0563724	0.0402877	0.0344013	0.0223599	0.0248478	0.0196488	0.016807	0.0159474	0.0113921	0.00632793	0.00837259	0.00494284	0.00397938	0.00366737	0.00412824	0.0065678
un	0.00946349	0.0117047	0.00840584	0.0138903	0.0209697	0.0470269	0.0554035	0.0543397	0.0521268	0.0475946	0.0455046	0.0192822	0.0197846	0.0209409	0.0217175	0.0322997	0.0329076	0.0299262	0.025193	0.0216398	0.0278137	0.0312668	0.0285984	0.0261708	0.0318493	0.0305051	0.0268497	0.0346443	0.0259628	0.0344471	0.0307728	0.0394037	0.0415938
abri	0.00457378	0.00585392	0.00534981	0.0085367	0.00512285	0.00481313	0.00568478	0.0092513	0.0105098	0.00592737	0.0135241	0.0265325	0.0257527	0.0517537	0.0516688	0.0565649	0.0592492	0.0744309	0.070937	0.0668348	0.0600094	0.0323243	0.0355467	0.0352677	0.0296863	0.023546	0.0281712	0.0204338	0.0257413	0.0296415	0.0403364	0.0391671	0.0372562
en	0.0054065	0.00492079	0.00381162	0.00418353	0.00471656	0.00518532	0.00602351	0.00823468	0.00807617	0.00537717	0.0124895	0.0232308	0.0373286	0.0380572	0.0371444	0.0450781	0.0602451	0.0535549	0.0391559	0.0533364	0.0487355	0.0319486	0.0390938	0.0347967	0.0320906	0.0198687	0.026165	0.034003	0.0442056	0.0423768	0.0545787	0.0447883	0.0917919
brousse	0.010163	0.00833489	0.00757829	0.00756512	0.00843768	0.0122779	0.0183409	0.0207079	0.0170687	0.012678	0.0104503	0.015259	0.035878	0.0541713	0.0519151	0.0627062	0.0720083	0.0729598	0.0529851	0.0473221	0.0358493	0.0188935	0.0269973	0.0286567	0.033681	0.0284452	0.0415884	0.0370177	0.0355564	0.0281738	0.0371547	0.0175703	0.0316083
pour	0.0161453	0.0140439	0.014483	0.0116639	0.011376	0.018042	0.0224872	0.023003	0.0208552	0.0177069	0.0144365	0.0127249	0.0137416	0.0215971	0.0240148	0.0275398	0.0310729	0.0341297	0.0348589	0.0468375	0.0285447	0.0141501	0.0167522	0.0240629	0.0352436	0.0308425	0.050828	0.05133	0.0557628	0.045736	0.062279	0.0545883	0.0991197
la	0.0163697	0.0180114	0.0151008	0.0152464	0.0168358	0.012911	0.0154965	0.0147145	0.0153465	0.010791	0.0121374	0.018309	0.0195468	0.0201208	0.0203305	0.0179082	0.021859	0.0217	0.0231572	0.0263298	0.0259013	0.00956916	0.0165473	0.0302709	0.0320915	0.0329922	0.0498936	0.056727	0.0700973	0.075809	0.0816395	0.0807615	0.0854775
récolte	0.0125913	0.013506	0.00878585	0.0123964	0.00925386	0.00935545	0.008225	0.00778541	0.00730327	0.00568468	0.00491021	0.00630536	0.00690696	0.00971475	0.0100197	0.00761286	0.00932878	0.00967405	0.0125356	0.0168034	0.0210198	0.0107868	0.01828	0.0268857	0.0434379	0.038892	0.076297	0.0663754	0.0887633	0.0882612	0.116746	0.0989891	0.116567
du	0.0117256	0.0119323	0.0121958	0.0122004	0.0121193	0.0149671	0.0141638	0.0244347	0.0198795	0.0207308	0.0262573	0.0251824	0.0241543	0.0246077	0.024456	0.0268664	0.0260508	0.0219814	0.0204222	0.016595	0.01477	0.0156317	0.0162361	0.0129292	0.0148355	0.0172781	0.0257049	0.0273027	0.0473885	0.0614083	0.115228	0.104229	0.136135
vin	0.00907957	0.0101602	0.00701733	0.00959663	0.00999583	0.00904819	0.00989626	0.00918284	0.00913128	0.00720933	0.00425421	0.00533999	0.00555148	0.0112924	0.0118859	0.00776126	0.00846545	0.00945033	0.0106581	0.0137535	0.0266866	0.0248008	0.0303326	0.02917	0.0381302	0.032301	0.0644366	0.0636915	0.0893826	0.0832589	0.129054	0.0922159	0.117809
</S>	0.0245276	0.0223232	0.0241912	0.0280207	0.0291909	0.0315097	0.0320348	0.039004	0.0318423	0.0294309	0.0291692	0.031742	0.0295299	0.0290756	0.0218671	0.0233674	0.0198786	0.0152946	0.0104331	0.0131306	0.0139045	0.0132954	0.013856	0.0128651	0.0174264	0.01227	0.0219168	0.0246148	0.0259233	0.0214974	0.0558536	0.0370764	0.213937
