 	m	ó	ε	b	h	a	n	á	a	y	é	l	ώ	s	ω	í	d	z	e	o	p	f	ú	á	i	y	í	í	k	a	á	</S>
cette	0.00987315	0.0131408	0.0144929	0.0210341	0.0206922	0.0204657	0.0189395	0.0188449	0.0260307	0.0394153	0.0501008	0.0554245	0.0545469	0.0652145	0.0543495	0.0540978	0.0351378	0.0360517	0.0184978	0.0164297	0.0199878	0.021553	0.0216306	0.0181858	0.0152706	0.0209288	0.0409256	0.0456276	0.0423911	0.0412498	0.043468	0.0260011
année	0.0316419	0.0491147	0.0592132	0.0731453	0.0852534	0.0981789	0.0979467	0.0783099	0.0530554	0.0722006	0.0801091	0.0542034	0.027691	0.0155881	0.00849819	0.00865143	0.00801834	0.0107799	0.0109603	0.0108126	0.00367463	0.00342904	0.00332793	0.00481032	0.00695841	0.00681058	0.0128801	0.0081348	0.0057696	0.00385318	0.00439954	0.00257981
le	0.0711376	0.0591527	0.0478065	0.0223693	0.0253796	0.020666	0.0191755	0.0152627	0.0150175	0.00878907	0.0123708	0.0102626	0.0107043	0.0294355	0.0264307	0.0456422	0.0437243	0.0524868	0.0540015	0.0471979	0.036824	0.0499443	0.0332119	0.045153	0.0470803	0.0456423	0.039671	0.0234199	0.0127028	0.00809476	0.0142996	0.00694306
riz	0.0728368	0.0828192	0.100829	0.080527	0.0773156	0.0500684	0.0400181	0.0303529	0.0182825	0.0139296	0.013912	0.00962554	0.00852668	0.00803536	0.0094482	0.0129782	0.0144655	0.0230151	0.0224301	0.0471499	0.0430744	0.0356574	0.0186229	0.0177311	0.0122441	0.0308328	0.0161723	0.0138624	0.0113079	0.0126328	0.0146856	0.0366111
n'	0.107228	0.0669411	0.0525299	0.0277769	0.021902	0.0157799	0.0158137	0.0151445	0.0133182	0.0106387	0.0101995	0.0121086	0.0119358	0.0144199	0.0137754	0.0245465	0.0342828	0.0484241	0.0475007	0.0990985	0.0677639	0.0712976	0.0502306	0.0350324	0.0193972	0.0313176	0.00497453	0.00303181	0.00277875	0.00396625	0.00835244	0.0384919
a	0.0682979	0.0521498	0.0538032	0.0267664	0.0316325	0.0334415	0.035507	0.0328521	0.0309057	0.0216599	0.017048	0.0144104	0.0164368	0.017844	0.0160109	0.0331612	0.0276486	0.0811353	0.0684624	0.180951	0.0432935	0.0380056	0.012993	0.00890167	0.0117853	0.00800773	0.00358421	0.00209938	0.00169657	0.00265194	0.0019949	0.00486199
pas	0.0966755	0.0505781	0.0217968	0.0151214	0.0214031	0.0340518	0.0285006	0.028656	0.0237896	0.0293344	0.0269978	0.0213332	0.0245591	0.0215299	0.0214681	0.0230618	0.0218832	0.0606933	0.0477909	0.0919033	0.0446833	0.0561647	0.0239809	0.029827	0.0196499	0.0285748	0.0244141	0.0154856	0.0103708	0.00723574	0.00828092	0.0202042
donné	0.0535592	0.0283083	0.015886	0.0128362	0.0138023	0.0111855	0.00790275	0.00656919	0.00781611	0.00672833	0.00579943	0.00655848	0.0096028	0.0121519	0.0107787	0.0137559	0.0159686	0.030536	0.0323091	0.0750723	0.0833365	0.0878952	0.050693	0.0689854	0.0375282	0.07312	0.0404113	0.026027	0.0236976	0.0270352	0.0396095	0.0645343
beaucoup	0.0207484	0.0126723	0.0126155	0.0154915	0.0192484	0.0157098	0.0119079	0.0116437	0.0126871	0.018245	0.0171049	0.0168818	0.022413	0.0339149	0.0350283	0.0326514	0.0336965	0.042288	0.034508	0.0596312	0.0655067	0.0908771	0.0651257	0.0737989	0.0351448	0.0418178	0.0179715	0.0212222	0.0164399	0.0140077	0.0179484	0.0610519
</S>	0.0705842	0.0474368	0.0383353	0.0338473	0.0239246	0.0119975	0.00775935	0.00726757	0.00888653	0.00883485	0.00860758	0.0115894	0.0118781	0.0165923	0.0139203	0.013974	0.01709	0.0222417	0.0290543	0.0478262	0.0450613	0.0401816	0.0208529	0.040128	0.0172651	0.0437145	0.0289757	0.0301838	0.0380332	0.0475382	0.0668856	0.129532
