 	b	v	ú	s	u	b	ó	t	s	w	é	t	s	w	e	l	é	ó	p	é	n	d	í	b	ó	s	á	á	</S>
la	0.040184	0.0202039	0.0134286	0.0179201	0.0122921	0.0249045	0.0257539	0.0408075	0.0565402	0.0661023	0.0645155	0.0645494	0.065273	0.0539957	0.048103	0.0399106	0.0310933	0.0225064	0.0191842	0.0190974	0.0257896	0.0284381	0.0350113	0.0198422	0.0284703	0.0364654	0.028008	0.0288422	0.0227669
rigidité	0.050888	0.102826	0.132472	0.0397143	0.0848181	0.0820199	0.0913018	0.08855	0.0499856	0.0411689	0.0653434	0.0416553	0.0262956	0.00433965	0.00447472	0.0120719	0.0103087	0.00897857	0.00671961	0.00893357	0.015492	0.00618086	0.00616366	0.00459835	0.00574398	0.00512159	0.00170959	0.00141934	0.000705571
de	0.0377759	0.0228216	0.0257434	0.00959984	0.0199339	0.0220746	0.0196542	0.0165196	0.015262	0.00817855	0.00874767	0.0153985	0.0235497	0.103188	0.0733953	0.0650323	0.0839793	0.0528796	0.0547809	0.0863922	0.077245	0.0346893	0.0419867	0.0193693	0.0261596	0.0115826	0.00753951	0.00996992	0.00655055
l'	0.0318151	0.0344994	0.0583683	0.0446376	0.0449997	0.031943	0.0285352	0.0305634	0.0381663	0.0243642	0.019173	0.0168675	0.0175532	0.0290742	0.0196605	0.026647	0.0333643	0.0283143	0.036444	0.0516478	0.0343092	0.0280736	0.0262275	0.0218328	0.0221847	0.0173779	0.0372402	0.0438152	0.122301
oranger	0.0471206	0.040558	0.0257853	0.0167026	0.0300558	0.0317333	0.0398218	0.0329792	0.0333887	0.0522194	0.0299918	0.0164053	0.0219529	0.00604129	0.0121447	0.0251001	0.0395095	0.032902	0.0271298	0.0525345	0.0473311	0.0541299	0.0345212	0.0284621	0.0356459	0.0357122	0.0275058	0.0448655	0.0777499
est	0.130074	0.104017	0.103103	0.0586985	0.0669747	0.0481333	0.0467451	0.0391663	0.032109	0.0223743	0.0209553	0.0199028	0.0240374	0.00543596	0.00808939	0.0170239	0.015713	0.0125397	0.0142729	0.0199985	0.0172912	0.0101679	0.0078943	0.0085366	0.0181488	0.00998172	0.0202703	0.0262723	0.0720722
plus	0.144178	0.0631484	0.0288003	0.0281592	0.0205162	0.0153695	0.00940889	0.00725757	0.00922227	0.00958639	0.00818332	0.008481	0.0162153	0.00891003	0.0128219	0.0191585	0.0227168	0.0375055	0.0357235	0.0462547	0.0660082	0.055379	0.0365626	0.0271569	0.0437602	0.0722898	0.0432842	0.0437325	0.0602092
que	0.026575	0.0226786	0.0208763	0.0126564	0.0158471	0.0144809	0.0127705	0.00747477	0.015954	0.00930909	0.0105572	0.0107878	0.0173854	0.00684611	0.0167928	0.0248464	0.0146166	0.0469794	0.0238398	0.0312395	0.0661196	0.0742543	0.068441	0.0733936	0.0653947	0.110843	0.0279789	0.0586206	0.0924405
celle	0.0337355	0.0275247	0.0354962	0.0327498	0.0383163	0.0273791	0.025171	0.0222773	0.0135461	0.0153687	0.0134312	0.0111525	0.0244497	0.0141731	0.0238634	0.0445709	0.0464237	0.0500457	0.0411006	0.0431631	0.0602657	0.044081	0.0433093	0.0492913	0.0353335	0.032422	0.0302669	0.0406477	0.0804441
du	0.0548999	0.0549244	0.0568407	0.0434096	0.0401354	0.0258851	0.021009	0.016205	0.0187401	0.00984575	0.00927173	0.00745198	0.0063539	0.00858103	0.0118392	0.0167774	0.0145054	0.0201073	0.0248998	0.0216146	0.0247671	0.0332632	0.0209591	0.0326055	0.0343003	0.0331456	0.0597137	0.0987748	0.179173
safoutier	0.0404102	0.0363339	0.035252	0.0267169	0.0154668	0.00549438	0.00479453	0.00417474	0.00394244	0.00330683	0.00342961	0.00411695	0.00697285	0.00716913	0.0182166	0.0323159	0.0284558	0.0408989	0.0483297	0.0360223	0.0499618	0.0576483	0.0199333	0.0558174	0.0479344	0.0538519	0.0800481	0.100081	0.132903
</S>	0.088863	0.0754522	0.0864881	0.0667693	0.0568005	0.0221791	0.0132827	0.00841921	0.0106473	0.00228082	0.00251909	0.00246293	0.00224502	0.00366151	0.0068723	0.0113968	0.0092646	0.0226926	0.0283388	0.0249021	0.0367749	0.0372895	0.0204305	0.035457	0.0324444	0.0288993	0.0393559	0.0664014	0.157409
