 	ó	b	o	s	ó	b	á	n	g	o	n	d	a	y	á	n	g	á	é	d	í	l	i	k	w	á	a	</S>
il	0.0175848	0.0228631	0.0210032	0.027449	0.0357361	0.044549	0.0474394	0.053694	0.0722321	0.050106	0.0473409	0.0899195	0.0581725	0.0551899	0.04321	0.0336167	0.0360004	0.00941968	0.0111904	0.00766272	0.0202243	0.0150883	0.0307236	0.0430965	0.0235588	0.0350255	0.0249176	0.022986
y	0.226424	0.152688	0.0860733	0.0577033	0.0470734	0.0487104	0.0326445	0.0165434	0.0241394	0.026519	0.0200611	0.0217723	0.0207771	0.00964193	0.0150512	0.0158844	0.0208608	0.0193919	0.0245212	0.0164656	0.0181376	0.0126097	0.00456936	0.00546162	0.00457276	0.00873301	0.0152849	0.027685
a	0.0660276	0.0446384	0.0360981	0.0412222	0.0286928	0.0201704	0.0255839	0.0106426	0.00562303	0.00743258	0.0148133	0.0271588	0.0744239	0.115097	0.102131	0.0724939	0.119132	0.0330456	0.0287757	0.0205077	0.0290263	0.0121833	0.0179182	0.00979047	0.0121882	0.00878602	0.0108802	0.00551719
un	0.059844	0.0395757	0.0339284	0.0331567	0.0439365	0.0492229	0.0424991	0.0398908	0.0219925	0.0141615	0.0222744	0.0279767	0.036478	0.0463209	0.0474576	0.053489	0.0426696	0.0641814	0.0803072	0.0583593	0.0471145	0.012789	0.00799677	0.00667845	0.0125492	0.00751999	0.0183283	0.0293015
endroit	0.0363657	0.0698905	0.0807573	0.070982	0.0440046	0.0301723	0.0299981	0.0182825	0.0144781	0.0406594	0.0330517	0.0373316	0.0462199	0.0441674	0.0189666	0.063574	0.0471295	0.0185991	0.017756	0.0119163	0.0320794	0.0146621	0.0278498	0.0146989	0.0243981	0.0331046	0.0312702	0.0476344
diffìcile	0.0146735	0.013716	0.0219444	0.037187	0.0566177	0.0685695	0.0674934	0.0409616	0.0530075	0.0462467	0.0522386	0.0434863	0.0642379	0.0716091	0.0502246	0.066481	0.0392457	0.0195808	0.0131313	0.0162221	0.0123946	0.0213423	0.0144516	0.0168648	0.014442	0.0178304	0.0145765	0.0312234
à	0.0240423	0.0205149	0.0187896	0.0268786	0.0343475	0.0383104	0.049587	0.0473986	0.0674461	0.0627864	0.0651547	0.0926014	0.0572184	0.0639768	0.0268912	0.0515787	0.0271995	0.0351213	0.0229913	0.0217076	0.0124732	0.014575	0.0110038	0.0109491	0.0155177	0.0154649	0.0139612	0.0515127
pénétrer	0.0584808	0.0329899	0.0243451	0.0254039	0.0351707	0.0448524	0.0319033	0.0390953	0.0377709	0.0402013	0.0568431	0.0903428	0.0653562	0.0893779	0.0501435	0.0655604	0.0417919	0.043772	0.0195402	0.0102949	0.00562817	0.00832554	0.00441537	0.00700473	0.00535487	0.0092614	0.0150128	0.0417603
devant	0.0374621	0.0327618	0.020502	0.0198276	0.0307714	0.034583	0.0375534	0.0267583	0.0305435	0.0258937	0.045985	0.0660767	0.0704424	0.0945639	0.0786965	0.0760907	0.0797024	0.0749036	0.0256686	0.0147215	0.00602983	0.00644831	0.00411578	0.00480437	0.00527141	0.00562248	0.00967195	0.0345279
mon	0.0558232	0.0278374	0.0241665	0.0320429	0.033548	0.0361487	0.0342492	0.024046	0.0319587	0.0263395	0.0294427	0.0244153	0.0323178	0.0348312	0.0286852	0.0402986	0.0352735	0.0208065	0.0176332	0.0323523	0.0358461	0.044405	0.0312072	0.0396823	0.0484769	0.0500516	0.0591331	0.0689814
