 	e	m	a	m	b	í	s	í	l	í	y	é	é	m	a	b	í	s	á	w	á	b	a	r	e	b	e	a	y	é	í	d	i	t	á	l	e	k	a	á	</S>
de	0.00692011	0.00948374	0.0104916	0.0103374	0.00915404	0.00691448	0.00721182	0.0126374	0.0210085	0.0277191	0.0354858	0.0398927	0.0367811	0.0461813	0.0493107	0.0431858	0.050249	0.0463238	0.0414898	0.020128	0.0217479	0.0322855	0.0454661	0.0421521	0.029864	0.0128004	0.0116233	0.0149331	0.00461713	0.0103111	0.0155373	0.00833282	0.0110946	0.0120868	0.0194491	0.0291634	0.0367992	0.0423204	0.0266143	0.0265526	0.0153428
la	0.148184	0.10005	0.0552265	0.0251087	0.0201685	0.0157024	0.00740799	0.00885098	0.0106466	0.0106986	0.0169623	0.0198595	0.023562	0.0262085	0.0497731	0.0574423	0.0566878	0.029867	0.0360211	0.0389484	0.0252216	0.0239088	0.0179476	0.0285088	0.00902523	0.0102974	0.00894089	0.00474216	0.00287172	0.00299252	0.00562506	0.015868	0.0151307	0.00932535	0.018926	0.0103509	0.00707788	0.00739321	0.00821468	0.00560165	0.00465433
manière	0.0388276	0.049572	0.0428574	0.0171649	0.0119452	0.00744361	0.00384571	0.00845742	0.00705676	0.0149613	0.023765	0.021163	0.0292887	0.0117548	0.0182161	0.0188327	0.0118071	0.0127498	0.00977769	0.0116137	0.00917664	0.00868802	0.00951169	0.00721026	0.0075652	0.00652672	0.00845234	0.0130537	0.0166889	0.0259368	0.0584958	0.0892597	0.0793589	0.0424648	0.0816039	0.0531932	0.0349814	0.0266029	0.0210217	0.017223	0.011884
qu'	0.0294354	0.0350671	0.030869	0.024549	0.0271483	0.0153614	0.0107398	0.00912147	0.00628476	0.00591713	0.0052937	0.00593532	0.0119596	0.00744586	0.014222	0.00743331	0.0141218	0.0139549	0.0125938	0.00967064	0.0147922	0.0171143	0.0282636	0.0408953	0.0491854	0.0271767	0.0783845	0.0892656	0.0949014	0.0689643	0.0822072	0.0374864	0.0193471	0.0132333	0.00859639	0.00605846	0.00549683	0.00404999	0.00313607	0.00391819	0.0104023
elle	0.0163699	0.0201138	0.0307407	0.0252633	0.0391406	0.0554797	0.0417073	0.0483319	0.037365	0.0328069	0.0294382	0.0322746	0.0244533	0.0149212	0.0150494	0.011912	0.0163743	0.00657804	0.0160164	0.0156889	0.00623634	0.0139525	0.0157013	0.031095	0.0209818	0.02741	0.0496354	0.036958	0.0356125	0.0322564	0.0320963	0.035337	0.0152784	0.00731868	0.00923858	0.010976	0.0067728	0.00755745	0.0100084	0.0181677	0.047384
fait	0.04573	0.0414933	0.0523958	0.041221	0.030349	0.0183487	0.0145961	0.0157177	0.0153046	0.0176643	0.0179409	0.0174004	0.0214616	0.0175581	0.020203	0.0225803	0.0280859	0.0180839	0.022519	0.0188157	0.0170971	0.0194461	0.022437	0.0248566	0.0213338	0.0187292	0.0201395	0.0180452	0.0161309	0.0164597	0.0112544	0.0170672	0.0160601	0.0109114	0.0171346	0.022672	0.0211395	0.02529	0.0235371	0.055204	0.0875855
goûter	0.0715486	0.0673598	0.0753802	0.0551289	0.031033	0.0162385	0.0111197	0.0112705	0.0108129	0.0165162	0.0184294	0.0219324	0.0283715	0.0211127	0.0296926	0.0214913	0.0281707	0.0166292	0.0196699	0.0151774	0.0121464	0.0132485	0.0124184	0.0156505	0.0132876	0.0118352	0.01368	0.0133954	0.012175	0.0120121	0.00586305	0.011138	0.0106926	0.00884247	0.0174681	0.0211689	0.0267405	0.0284782	0.026913	0.0480931	0.0776673
ses	0.0339819	0.036348	0.0394596	0.0364112	0.0262203	0.0164678	0.00927794	0.0107361	0.0107927	0.0167731	0.0273961	0.0348437	0.0301798	0.0290788	0.0282878	0.0248892	0.0316925	0.0146459	0.0274571	0.0239075	0.0176033	0.0270943	0.026254	0.0365316	0.0152424	0.00907796	0.0103735	0.00966134	0.00794843	0.00939136	0.00657382	0.0103615	0.010015	0.00802543	0.012339	0.0113207	0.0199714	0.0266309	0.0242637	0.0534301	0.139043
plats	0.0876476	0.0678238	0.0540756	0.038051	0.0187823	0.00756193	0.00399283	0.0054342	0.00564042	0.00906706	0.0141575	0.016133	0.0197665	0.0113565	0.01153	0.0100727	0.0120035	0.0128298	0.0170666	0.0179228	0.0154591	0.0203678	0.0221802	0.0282982	0.0281867	0.0226442	0.0282557	0.0289379	0.0288085	0.030283	0.0112628	0.00638097	0.00622536	0.00620553	0.0126955	0.0110495	0.0144146	0.0140095	0.020984	0.0638195	0.138616
aux	0.049404	0.0426681	0.0457103	0.0355209	0.047371	0.0436188	0.031606	0.0285465	0.0233921	0.0224358	0.0144086	0.0107873	0.0119818	0.0080654	0.0066572	0.0093015	0.00666894	0.00726203	0.0123694	0.0162377	0.00911862	0.0145361	0.0121741	0.019244	0.016505	0.0126949	0.0182283	0.0172094	0.0181914	0.0277782	0.0173309	0.0136533	0.0125764	0.00928036	0.0151541	0.016961	0.0130909	0.0240439	0.0246733	0.0721827	0.14136
