 	b	a	r	e	b	á	p	o	o	y	é	á	m	i	d	z	w	á	m	b	e	n	g	a	y	á	n	y	a	m	a	</S>
les	0.222502	0.0724983	0.0155141	0.0202689	0.054187	0.0200441	0.0180193	0.0173607	0.0243101	0.0303382	0.0397626	0.040506	0.0432563	0.0376682	0.0331658	0.0171274	0.00962173	0.0222425	0.0181965	0.0106551	0.0200994	0.0144332	0.0209656	0.0219373	0.0241972	0.0265908	0.0203174	0.0191182	0.0151076	0.0186157	0.0154042	0.0159685
habitants	0.0400619	0.0554798	0.106851	0.107061	0.110076	0.121755	0.0708872	0.0691451	0.0472409	0.0322267	0.0222667	0.0195805	0.0240972	0.00878095	0.00648309	0.00826048	0.0131369	0.00760398	0.0114438	0.00901366	0.0114257	0.0128057	0.0103657	0.0131381	0.00799911	0.00781895	0.00737127	0.010316	0.00592165	0.0133416	0.0040159	0.00402773
de	0.0167394	0.0310512	0.0454497	0.0355716	0.0239995	0.0344789	0.0385792	0.0579001	0.060139	0.0548206	0.0568425	0.0416247	0.0457763	0.0448679	0.0329507	0.020813	0.0206298	0.0177218	0.0153794	0.0219577	0.0154525	0.0181456	0.0232799	0.0164171	0.0194964	0.0315376	0.0324937	0.0259361	0.029809	0.0370697	0.020266	0.0128032
ce	0.0243502	0.0191354	0.0422184	0.0327503	0.0160549	0.0187949	0.0196596	0.0301459	0.0394505	0.0478294	0.0401827	0.0266248	0.0175508	0.0303372	0.0486559	0.0385709	0.0544272	0.0158595	0.0376321	0.0473197	0.0332177	0.0292919	0.0298458	0.0418276	0.0408084	0.0308419	0.0302743	0.0202206	0.0131038	0.02316	0.0265156	0.033342
vil	0.0118564	0.00954752	0.0204579	0.0170912	0.0145793	0.0289245	0.037008	0.0426228	0.0285243	0.0237895	0.0240436	0.0198922	0.0261528	0.0608102	0.058625	0.0508065	0.0576029	0.0277778	0.0400917	0.0386657	0.0347933	0.0419618	0.0302322	0.0397187	0.0247545	0.0190564	0.0289538	0.0181508	0.0111783	0.0342318	0.0342479	0.0438509
lage	0.00987043	0.0089298	0.0122225	0.0108938	0.00968999	0.0122325	0.0165784	0.0315856	0.031513	0.0352201	0.0367129	0.0291188	0.0388753	0.069524	0.0893494	0.0775079	0.0530275	0.0195925	0.0336722	0.0297677	0.0361007	0.0417727	0.0328218	0.0416536	0.0207201	0.0170094	0.0198899	0.0183436	0.0130905	0.0233047	0.0289463	0.0504624
sont	0.0163798	0.0157895	0.0173275	0.0152959	0.0185764	0.0242578	0.0243361	0.0371068	0.0373343	0.0394621	0.0448312	0.03902	0.0298801	0.0377422	0.0367326	0.0317683	0.0236919	0.0220117	0.0238141	0.0221203	0.0275249	0.0317918	0.0220795	0.034539	0.0250749	0.0167988	0.0287846	0.0230508	0.0138525	0.0344337	0.073613	0.110978
partis	0.0174594	0.0179508	0.0238489	0.0216611	0.0189146	0.0202469	0.019297	0.019496	0.0163062	0.0140663	0.0138487	0.0168914	0.0247149	0.0307422	0.0466979	0.0545915	0.024427	0.0281553	0.0521945	0.0372432	0.0469133	0.0350925	0.0297411	0.0432571	0.0354938	0.0219812	0.034721	0.0345989	0.0174042	0.0458196	0.058765	0.0774588
à	0.0141912	0.0118648	0.0130519	0.012667	0.0127659	0.0138718	0.0131368	0.0164405	0.0161163	0.0131917	0.00911634	0.00913843	0.0106463	0.0222562	0.0454261	0.0433735	0.0299301	0.0341836	0.0406718	0.0389238	0.0539349	0.0613556	0.0486879	0.0518393	0.0421941	0.0424199	0.0450087	0.0370809	0.0329576	0.0420764	0.0561485	0.0653321
la	0.0247918	0.0231569	0.0222794	0.0225851	0.0220001	0.0202681	0.0134382	0.00798063	0.00813426	0.00718849	0.00671748	0.00787806	0.00747592	0.00617256	0.00995153	0.0123	0.0161718	0.0108174	0.0162873	0.0172191	0.0290948	0.0326756	0.0419352	0.0512631	0.0555487	0.0536869	0.0695073	0.076138	0.0663364	0.0784306	0.0796288	0.0829406
chasse	0.0383325	0.0278473	0.0309631	0.0299372	0.0276754	0.0205435	0.011752	0.00850013	0.00914186	0.00733544	0.00707847	0.0104132	0.0146102	0.0129622	0.0179788	0.0187381	0.0141041	0.017922	0.0187629	0.0157316	0.0191892	0.0189919	0.0236572	0.032969	0.034956	0.0365485	0.0544372	0.0724546	0.0376706	0.083702	0.0965203	0.128573
</S>	0.0454348	0.0366897	0.032113	0.0283575	0.024522	0.0232691	0.0216166	0.0211381	0.0196473	0.0131591	0.00973224	0.00802903	0.00938776	0.0121284	0.0190073	0.029503	0.025757	0.0290223	0.0244388	0.0233248	0.026643	0.0345214	0.0356282	0.028934	0.0322942	0.037683	0.0450726	0.0417339	0.0411548	0.0501932	0.0659192	0.103945
