 	a	p	f	é	é	b	á	b	a	a	á	t	ó	n	i	o	k	u	n	d	á	e	b	e	m	b	e	y	á	n	y	á	a	n	g	ω	n	d	ω	t	s	í	n	a	w	a	á	d	z	a	l	á	a	b	έ	r	έ	b	á	a	a	b	v	ú	</S>
les	0.0958028	0.0523935	0.0223177	0.00587669	0.00550864	0.00747913	0.0294939	0.0294438	0.0260213	0.0225378	0.0295914	0.0707155	0.0718396	0.0562968	0.0638999	0.040225	0.0329357	0.00903482	0.0118293	0.00909439	0.00575633	0.00774946	0.00440635	0.00457508	0.0043914	0.00440702	0.00345645	0.0037837	0.00356639	0.00463066	0.00369412	0.00638903	0.00985318	0.0154943	0.010048	0.00690638	0.00519764	0.0048211	0.00408026	0.00344914	0.00443315	0.00555997	0.00647462	0.00612645	0.0054355	0.00425641	0.00366349	0.00460655	0.00369338	0.00396871	0.00430025	0.00483184	0.00482926	0.0056976	0.00638361	0.0100957	0.0106716	0.0134419	0.0109072	0.0150805	0.0133306	0.00910356	0.0116376	0.0130493	0.00942757
jeunes	0.0256969	0.050651	0.0505906	0.0657337	0.0644182	0.0601384	0.0390438	0.024383	0.0270193	0.030981	0.0344839	0.059354	0.0664056	0.0334846	0.0124806	0.0080721	0.00734118	0.00329773	0.00280887	0.00446554	0.00359134	0.00271874	0.00284265	0.002797	0.00400512	0.00325679	0.00153196	0.00255395	0.00227128	0.00211813	0.00214631	0.00311106	0.00307769	0.00439724	0.00657305	0.00690525	0.00854068	0.00952369	0.0115775	0.00826785	0.0103825	0.0136177	0.00687466	0.0120139	0.016929	0.0179094	0.0125813	0.0105243	0.00616837	0.00728386	0.00572609	0.00807574	0.00955977	0.0101663	0.00902994	0.0148205	0.0149666	0.0115798	0.00760256	0.0074461	0.0072598	0.00377399	0.00489008	0.0043583	0.00380207
ont	0.0933744	0.0807236	0.076105	0.0821695	0.0409617	0.0442885	0.0351966	0.0218982	0.0171528	0.0172566	0.0218261	0.0318962	0.0148998	0.018591	0.0279261	0.0205562	0.0172238	0.0119935	0.0145983	0.0105122	0.00691032	0.00763973	0.00773918	0.0092792	0.00675699	0.00816472	0.00582428	0.00590302	0.00696689	0.0057329	0.00655789	0.00661699	0.0069876	0.00607094	0.0093175	0.00703755	0.00766452	0.00617059	0.0041643	0.00610818	0.00866987	0.00593468	0.00816549	0.00739011	0.00649749	0.00587014	0.0061949	0.00636596	0.00490081	0.00612535	0.00416178	0.0072561	0.00721382	0.00769507	0.00711597	0.00881714	0.00559716	0.00706124	0.00594509	0.00577124	0.00672426	0.00468612	0.00689312	0.00819065	0.00399294
refusé	0.00670131	0.0182535	0.0205639	0.0243842	0.0230476	0.0190008	0.019953	0.0214415	0.0188167	0.0141654	0.0102492	0.0101069	0.0115369	0.0102937	0.0153505	0.0138907	0.0109989	0.0133419	0.0135212	0.0142627	0.0122729	0.0113642	0.0130828	0.0103523	0.0151458	0.012886	0.0111945	0.0123841	0.00997132	0.0104775	0.0111504	0.0167961	0.0177941	0.0173003	0.0142228	0.0145213	0.017321	0.0155847	0.014138	0.014215	0.0168013	0.0216774	0.0200216	0.0271944	0.0237769	0.0150936	0.0220493	0.0168656	0.0124465	0.0104246	0.0126659	0.0131154	0.0118009	0.00832476	0.00801725	0.013196	0.0191586	0.0171611	0.015323	0.0266619	0.0221213	0.00849066	0.0151481	0.0181526	0.0222558
d'	0.00771046	0.00781781	0.00885126	0.00955747	0.00907116	0.00607994	0.00654376	0.00611475	0.00583437	0.00634471	0.00653457	0.00675463	0.00527153	0.00952449	0.0122657	0.0112928	0.011072	0.0108296	0.0105536	0.00906088	0.0113803	0.0124217	0.0161259	0.0223063	0.0157593	0.0183632	0.0264172	0.0227224	0.026177	0.0181378	0.0245175	0.0176093	0.0156207	0.0157216	0.0132013	0.0128956	0.0165805	0.015346	0.0190031	0.0442947	0.0319621	0.0230809	0.0241182	0.0168624	0.0134022	0.0164972	0.0145922	0.0200951	0.0252953	0.0264267	0.0204282	0.0175464	0.0142513	0.0121235	0.0137872	0.0108198	0.00996999	0.010841	0.012913	0.0141674	0.0190677	0.0157684	0.0209951	0.0210435	0.0222586
aller	0.00762448	0.00813682	0.00761156	0.00971549	0.0167464	0.014045	0.0153105	0.0168094	0.0175051	0.0188391	0.0199687	0.0178352	0.0137367	0.0161184	0.0246139	0.0253543	0.0256638	0.0358668	0.0378664	0.0278961	0.0328071	0.0253554	0.0249534	0.0156528	0.017701	0.0168577	0.00884049	0.0132663	0.0141055	0.0154352	0.0147698	0.0143016	0.0122371	0.0128529	0.0202991	0.0109727	0.0162727	0.0154036	0.0145658	0.0169838	0.0133133	0.0149028	0.0132443	0.0176415	0.0192127	0.0150038	0.0256763	0.0213462	0.0135878	0.0104285	0.00923183	0.00593962	0.00444004	0.00439633	0.00474193	0.00652906	0.00717327	0.00808489	0.00867739	0.00853907	0.0104207	0.00709861	0.0105685	0.0113073	0.0175959
enterrer	0.00863736	0.00611684	0.00563589	0.00560863	0.0054153	0.00579361	0.00583406	0.00693528	0.00841995	0.0112629	0.0106867	0.011094	0.00639659	0.00928004	0.00951475	0.00800506	0.00778474	0.0150711	0.0108284	0.00975007	0.0155233	0.0207039	0.0230547	0.0260259	0.0231366	0.0213478	0.0255246	0.0214827	0.0209363	0.0173785	0.0190173	0.0199373	0.0149252	0.0184341	0.0177331	0.0162674	0.0194896	0.0200371	0.0244649	0.0369569	0.0289336	0.025714	0.0259111	0.0243813	0.021923	0.0233497	0.0250381	0.0211848	0.022925	0.0238541	0.0205337	0.0179843	0.0142474	0.0109078	0.00894209	0.00813205	0.00846213	0.00781144	0.00888388	0.00854329	0.00889631	0.0105144	0.00962442	0.00977158	0.0130821
mademoiselle	0.0050497	0.00355311	0.00276878	0.00283389	0.0027592	0.00311	0.00354414	0.00615829	0.0060986	0.00916348	0.0057193	0.00695767	0.00434709	0.00557537	0.0048496	0.00498403	0.00587008	0.00912666	0.0118208	0.010678	0.0146289	0.0110309	0.0173252	0.0158567	0.0157368	0.0173517	0.0160728	0.0168481	0.0151813	0.0167084	0.0184673	0.0203985	0.0221772	0.0218084	0.0235814	0.0227184	0.0230017	0.0279369	0.0261595	0.0225453	0.0223648	0.0219198	0.0250423	0.0375625	0.0249587	0.0343131	0.0355599	0.0272283	0.0254781	0.0215899	0.0245996	0.0234415	0.0205011	0.0143459	0.0107029	0.0115735	0.0106552	0.01024	0.0118427	0.0106262	0.0114613	0.0147451	0.0129903	0.0143149	0.0214392
angondo	0.00448436	0.00315588	0.00269101	0.00335631	0.00415291	0.00324003	0.00372654	0.00336696	0.00253248	0.00402907	0.00188277	0.00159264	0.00106058	0.001731	0.00200861	0.00317887	0.00423222	0.00697342	0.0108295	0.0124732	0.0153368	0.0153358	0.0249317	0.0231418	0.0203215	0.025532	0.0345094	0.0324975	0.0285494	0.0332891	0.0290592	0.0289476	0.0237441	0.0329533	0.0286383	0.0243253	0.0239053	0.0236089	0.0159469	0.0181778	0.0181134	0.0241483	0.0250312	0.0198478	0.0126287	0.0251856	0.0273164	0.0298057	0.0310881	0.0260782	0.0263382	0.0182523	0.0103221	0.0115669	0.0065086	0.00733436	0.00630878	0.00409059	0.00613297	0.00767316	0.00609843	0.00896936	0.0114957	0.0151795	0.0310356
parce	0.00259826	0.00198149	0.00241262	0.00328806	0.00358753	0.00213057	0.00240134	0.00217499	0.00163956	0.00214966	0.00146097	0.00110321	0.000619814	0.000713877	0.00124467	0.00225238	0.00361912	0.00547835	0.00786538	0.00797964	0.0126232	0.0153218	0.0256671	0.0313772	0.0204219	0.027854	0.0430488	0.0366066	0.0343883	0.0321674	0.0350819	0.0301236	0.025422	0.0297884	0.0261974	0.0232833	0.0286301	0.0254634	0.0211749	0.0309006	0.02845	0.0293731	0.0234639	0.01411	0.010263	0.0242592	0.0244788	0.0255877	0.0341502	0.0254529	0.0238394	0.0190186	0.00998691	0.00608035	0.00518144	0.00503129	0.00508367	0.00488063	0.00588043	0.00670544	0.00661699	0.00902462	0.0103855	0.0124732	0.0179796
