 	á	m	i	b	h	é	m	b	í	s	á	t	s	a	n	g	e	y	á	l	e	k	ú	l	á	w	a	</S>
on	0.515735	0.202688	0.0276229	0.0177248	0.0150527	0.0145981	0.00578767	0.00848008	0.0107854	0.0080108	0.0140232	0.0101411	0.0110644	0.0209634	0.0141242	0.015853	0.00800361	0.00895475	0.00820251	0.00562619	0.00375147	0.00460691	0.00939361	0.008991	0.00726792	0.0100477	0.00596958	0.00653009
a	0.0258335	0.0375858	0.0311982	0.0484833	0.0908396	0.128558	0.138869	0.113386	0.0673605	0.0664842	0.0487265	0.0451793	0.0266652	0.0216527	0.00918077	0.00688165	0.0075336	0.00577445	0.00639694	0.00787262	0.00461278	0.00634424	0.00779488	0.00709249	0.00559126	0.0072545	0.0164972	0.0103507
fait	0.013943	0.0210831	0.0230182	0.0190194	0.0205828	0.028118	0.0611983	0.0566372	0.0674156	0.0527485	0.068516	0.03434	0.0235077	0.0639522	0.0463028	0.038435	0.0396494	0.0361587	0.0505894	0.0462667	0.026043	0.0330106	0.0273089	0.0289665	0.0285244	0.020175	0.0145667	0.00992316
courir	0.00740189	0.0131987	0.018544	0.0187065	0.0226947	0.0192258	0.0499713	0.0547193	0.0569125	0.0568193	0.0413132	0.0311993	0.0264	0.0360729	0.0496654	0.0460589	0.0691367	0.0656357	0.0580852	0.0535821	0.0572002	0.0264215	0.0152865	0.0187033	0.0261254	0.00998342	0.0229453	0.0279912
le	0.00709651	0.00829065	0.00898747	0.00754578	0.011323	0.0206324	0.0389744	0.0408007	0.0438277	0.0333124	0.0428198	0.0308302	0.0290752	0.0406865	0.0610875	0.0438688	0.0600308	0.0527804	0.0594525	0.0504179	0.0486166	0.0404212	0.036652	0.0388096	0.0434572	0.0298122	0.0355484	0.0348421
bruit	0.0198592	0.0250277	0.0275507	0.0225875	0.0375727	0.0386895	0.0487447	0.0423764	0.0424349	0.029525	0.0282462	0.0199354	0.0357769	0.048853	0.0440124	0.040729	0.0353244	0.036598	0.0353101	0.0367686	0.037179	0.0358187	0.0364243	0.0354987	0.0398383	0.0344526	0.0377222	0.0471441
de	0.0170387	0.0188725	0.0200994	0.019978	0.0223003	0.0225779	0.0236708	0.0245641	0.0247082	0.0237563	0.023343	0.0275952	0.031661	0.0381156	0.0497355	0.029662	0.0351778	0.0399987	0.0430802	0.0415557	0.0429662	0.0313896	0.0399102	0.0487931	0.0548997	0.0630831	0.0639483	0.077519
sa	0.0161434	0.0193077	0.0252017	0.0229294	0.0280499	0.0375716	0.0278639	0.0299124	0.0241904	0.0271236	0.0343755	0.0294632	0.0294715	0.0254938	0.0227695	0.0214794	0.0297929	0.0322707	0.0249842	0.0344404	0.0431678	0.0418571	0.0425935	0.0533724	0.0585552	0.0796522	0.0602795	0.0776869
mort	0.0201952	0.0235479	0.0226062	0.0205816	0.0196082	0.02124	0.0152587	0.00985511	0.00983889	0.00911617	0.0098965	0.00966778	0.0120622	0.0186839	0.0170672	0.0244088	0.0349932	0.0435324	0.0505873	0.0542172	0.0645958	0.0597452	0.0627239	0.0714588	0.0597747	0.0751048	0.0611002	0.0985321
</S>	0.018073	0.0266184	0.0266231	0.0265274	0.026081	0.0252435	0.0247393	0.0218525	0.0226836	0.0236464	0.0238524	0.0198245	0.0177462	0.0244978	0.024353	0.0213931	0.0318176	0.0414386	0.0324598	0.0349427	0.0662466	0.0554215	0.0532646	0.0639417	0.0487308	0.0380125	0.0686534	0.091315
