 	n	ω	l	ó	o	y	e	e	r	á	p	f	ú	ω	y	á	n	d	a	a	t	s	í	n	a	n	d	e	b	á	a	m	b	í	á	s	á	a	l	a	t	á	á	</S>
pourquoi	0.0135761	0.0156794	0.0200664	0.0240334	0.0389929	0.0497685	0.0503759	0.0465162	0.0450284	0.0470167	0.0411104	0.0413881	0.0394515	0.038366	0.0334454	0.0314911	0.0225545	0.0146576	0.00821823	0.00530761	0.00541637	0.00565179	0.00795923	0.00883355	0.00966463	0.00841844	0.00708561	0.0104943	0.00889598	0.00783082	0.0163706	0.0100019	0.0093307	0.0151414	0.0144255	0.0224097	0.0290957	0.0298512	0.0188997	0.0278726	0.0294298	0.0247718	0.0306997	0.0144046
t'	0.089585	0.0499327	0.0403102	0.0277738	0.0169773	0.0186526	0.016881	0.0229484	0.0191801	0.0367891	0.015873	0.014715	0.0170771	0.0167353	0.0186826	0.0242679	0.0216048	0.0175465	0.0130467	0.0127236	0.016198	0.0222974	0.0314733	0.0384407	0.0308663	0.0320825	0.0236457	0.0167278	0.0223126	0.0110613	0.00975015	0.00807352	0.0197275	0.010781	0.0349575	0.012652	0.0248297	0.0515429	0.0196927	0.0152199	0.00828855	0.0065549	0.00952192	0.0119992
immisces-tu	0.0247556	0.0252236	0.0257181	0.0327168	0.0324201	0.0386078	0.0509717	0.0475641	0.0556764	0.0429394	0.0342961	0.0192893	0.0251309	0.0289432	0.0380651	0.0391007	0.0299256	0.0244258	0.0160811	0.0124779	0.0122866	0.00546857	0.00860544	0.00885589	0.0178064	0.0193073	0.014622	0.0151533	0.0187112	0.0149188	0.0150731	0.0231338	0.0202883	0.027749	0.0299821	0.0157313	0.023489	0.0167858	0.0140408	0.00972778	0.00872705	0.00345466	0.00702051	0.00473178
dans	0.0146605	0.0173084	0.0213997	0.0239567	0.0256306	0.0222603	0.01837	0.0144761	0.0149284	0.0108288	0.0129403	0.0122245	0.0119948	0.0186197	0.0247399	0.0296254	0.0216202	0.0280723	0.0363368	0.0323222	0.067292	0.0340544	0.0498382	0.0252076	0.0352178	0.0299229	0.0239973	0.0242182	0.0354811	0.0436038	0.0299762	0.0210194	0.0158114	0.0181986	0.0121373	0.0138437	0.00905736	0.0133086	0.0131724	0.012049	0.0112418	0.0106546	0.0175841	0.0207966
les	0.0116314	0.0221565	0.039482	0.0485029	0.0633349	0.0674149	0.0748306	0.0573415	0.076254	0.0536077	0.0489013	0.0340811	0.0340882	0.0324303	0.0357877	0.0243481	0.017553	0.0151245	0.00885251	0.00654017	0.00817359	0.0069013	0.00802684	0.00819736	0.00775166	0.00940531	0.00875208	0.00998303	0.0124398	0.0132139	0.0117187	0.0126476	0.0088321	0.00662843	0.00699971	0.00709426	0.00761195	0.00765845	0.00508309	0.00605413	0.00733959	0.00477933	0.0118216	0.0306228
affaires	0.0329161	0.0369249	0.0359459	0.0376284	0.0307044	0.0277179	0.0169437	0.0174213	0.0131607	0.0140054	0.0134681	0.0111673	0.0169341	0.0179346	0.0264871	0.0229826	0.0224566	0.0238661	0.0300861	0.0274084	0.0290752	0.0234491	0.0264246	0.0204712	0.0201546	0.0184607	0.019612	0.0239873	0.0249089	0.029394	0.0317418	0.0287439	0.0195712	0.016839	0.020253	0.0196386	0.0137573	0.0217897	0.014203	0.0122946	0.0160651	0.0125686	0.0258936	0.0345434
de	0.0109717	0.00755164	0.00866706	0.0132673	0.0184806	0.023848	0.020368	0.0196801	0.0278055	0.0200923	0.0269602	0.0184911	0.0223856	0.022226	0.029886	0.0295245	0.0251307	0.0218737	0.0426329	0.0383469	0.0633138	0.0472098	0.0591527	0.0332343	0.0356782	0.0257189	0.0271846	0.0301896	0.0421686	0.044534	0.0278375	0.015126	0.0111555	0.00930974	0.00607735	0.00677683	0.00375803	0.00480306	0.00346821	0.00386819	0.00536894	0.00659992	0.00678509	0.0324916
tes	0.0892073	0.0396551	0.0247795	0.0256549	0.0266316	0.0268814	0.0237967	0.0280795	0.0194689	0.0208766	0.0170219	0.014641	0.0204051	0.0205754	0.0255305	0.0242323	0.025228	0.025972	0.0509894	0.0451143	0.0361874	0.0180238	0.028107	0.0150727	0.0223936	0.0179185	0.0208078	0.0152453	0.0222025	0.031321	0.0192653	0.0120515	0.0133911	0.00735726	0.00721492	0.0117423	0.00858163	0.010331	0.00882718	0.010137	0.0131827	0.0197856	0.0143504	0.021761
petits	0.0341993	0.0259213	0.02027	0.015512	0.0134527	0.0121619	0.0143157	0.0176587	0.0175137	0.0161499	0.0192479	0.0177761	0.0203918	0.0220315	0.0230955	0.0221522	0.0178997	0.018353	0.03404	0.038291	0.0557431	0.0355549	0.0552232	0.0272642	0.0326997	0.0328863	0.0359373	0.0323364	0.03377	0.040887	0.0295792	0.0195247	0.0123028	0.00729003	0.00712773	0.00830909	0.00649743	0.00929764	0.0103504	0.0114624	0.0110785	0.0153363	0.011778	0.0373298
fils	0.0164884	0.0130306	0.00997046	0.0076284	0.0067817	0.00616129	0.00726164	0.00631482	0.00576229	0.00510243	0.00505528	0.00472552	0.00527589	0.00578227	0.00710443	0.00672048	0.00700254	0.00825634	0.0222825	0.0336439	0.0499302	0.044288	0.0634343	0.0488408	0.0512316	0.0526622	0.0495245	0.0374137	0.0409913	0.0504384	0.0303154	0.0210222	0.0178716	0.0118676	0.0124599	0.0175635	0.00934204	0.0232136	0.0221174	0.023481	0.0249013	0.0248717	0.0271108	0.0547558
au	0.0441078	0.0334006	0.0352607	0.0352288	0.0402961	0.0347665	0.0203219	0.0141564	0.0117752	0.0100808	0.00921314	0.00863362	0.00799092	0.00764202	0.00693811	0.0062009	0.0047188	0.00631788	0.0096721	0.0147202	0.0178567	0.0183886	0.0184773	0.0135787	0.0175846	0.0168005	0.0172229	0.0115295	0.0158797	0.0218283	0.0121923	0.0134803	0.0117467	0.0165498	0.0138804	0.0356919	0.0157036	0.0274327	0.0282632	0.0307553	0.04127	0.0543329	0.061027	0.107085
moment	0.0285491	0.0182705	0.0160958	0.0135982	0.0117807	0.0096277	0.0111619	0.0137321	0.0114274	0.0112484	0.0111501	0.0112265	0.0114815	0.0111548	0.00994922	0.0112074	0.0109827	0.0125165	0.0255865	0.0328978	0.044309	0.0371374	0.0510324	0.0391593	0.0415698	0.0363766	0.0399088	0.0286072	0.0344702	0.0388122	0.022329	0.0156431	0.0133261	0.00622758	0.00465955	0.0231888	0.00451178	0.0307236	0.0236757	0.017284	0.0254475	0.0088555	0.0412685	0.0778316
où	0.0336102	0.0258457	0.0291063	0.0295804	0.0252121	0.026496	0.0271635	0.0242604	0.0355648	0.024847	0.0213437	0.0108918	0.0111953	0.00907204	0.0106224	0.00810004	0.0053129	0.00482353	0.00491412	0.0060548	0.00795032	0.0106994	0.0110831	0.0107135	0.0177407	0.0219133	0.0221808	0.0147484	0.0246176	0.0233253	0.021913	0.0199508	0.0246073	0.0337717	0.0267582	0.0370918	0.0214225	0.0294341	0.0318503	0.0253285	0.0352094	0.0420621	0.0431176	0.0684933
ils	0.0519486	0.0317298	0.0316108	0.0387473	0.0495878	0.0517119	0.0497534	0.0401829	0.0453211	0.0312454	0.0275002	0.0139756	0.0136831	0.0113151	0.0122636	0.0111969	0.00934535	0.00936575	0.0122822	0.0163894	0.0191311	0.0207002	0.0131382	0.0201338	0.0214283	0.0289239	0.0253295	0.0250189	0.0226039	0.0212388	0.0164968	0.018134	0.0150853	0.0174912	0.0162875	0.0175963	0.00858617	0.0139435	0.0107695	0.00978347	0.0152764	0.0127298	0.0159678	0.0350492
ont	0.0718303	0.0468729	0.0342106	0.0286044	0.0233112	0.0153059	0.00917742	0.00990325	0.0104063	0.0100313	0.0109278	0.011095	0.00983491	0.00954682	0.00847613	0.00846539	0.00866213	0.0102351	0.017198	0.0205711	0.0191503	0.0276622	0.015782	0.0223223	0.0221623	0.022321	0.0177115	0.0182919	0.0166143	0.0184693	0.010228	0.0134215	0.0113579	0.0106136	0.0119649	0.0333881	0.0160517	0.0277369	0.0295088	0.029012	0.0326585	0.0381638	0.051944	0.108797
encore	0.0562519	0.0338929	0.023913	0.0194741	0.0181412	0.0137857	0.00993325	0.0109588	0.0116087	0.0119907	0.012105	0.0117233	0.0108848	0.00911591	0.00765744	0.00663226	0.00485623	0.00616888	0.0136436	0.018429	0.0194685	0.0274205	0.0236552	0.0242612	0.0303269	0.0248515	0.0211954	0.0133669	0.020461	0.0248336	0.0104619	0.0101324	0.0114516	0.00960475	0.00949642	0.0340598	0.0161108	0.0288567	0.0341093	0.0390743	0.0393406	0.0426024	0.0533636	0.120328
un	0.0831712	0.0541805	0.0411983	0.0336787	0.0363118	0.038166	0.0351936	0.032739	0.0309758	0.0222114	0.0197766	0.0138018	0.0149281	0.0147468	0.0173754	0.0176319	0.0146312	0.016767	0.0166352	0.0142039	0.0126748	0.0141022	0.0127299	0.0164109	0.015294	0.0168287	0.0168273	0.0124405	0.0178092	0.0209847	0.0126242	0.0120515	0.0131761	0.00907901	0.0101383	0.016611	0.00558233	0.0088478	0.00956844	0.00996561	0.0133624	0.0160432	0.0251381	0.113386
père	0.0506871	0.026285	0.018489	0.0125473	0.0095985	0.00620748	0.00478495	0.00764528	0.00598808	0.00897706	0.00931407	0.0110889	0.0112011	0.0101641	0.0108622	0.0117755	0.0114671	0.0122554	0.0268663	0.0290605	0.0328513	0.0346052	0.0265091	0.025979	0.0255568	0.0226278	0.0227776	0.0195139	0.023194	0.0285977	0.0115884	0.0109643	0.0099124	0.00641924	0.00565704	0.0268382	0.0081163	0.019288	0.021251	0.0281405	0.0330022	0.0377246	0.0531106	0.17051
</S>	0.0385659	0.0293982	0.0206411	0.0114879	0.00934702	0.00662314	0.00465643	0.00646226	0.00588045	0.00726678	0.00747321	0.00844486	0.00781379	0.00742443	0.00787425	0.00866494	0.0080934	0.0115302	0.0222753	0.0242606	0.0250135	0.0278189	0.0252132	0.0219407	0.0256056	0.020502	0.0216833	0.015434	0.0235864	0.0295356	0.0137159	0.0122427	0.0118383	0.00930287	0.0070472	0.0332455	0.0093978	0.0179332	0.0221295	0.0237712	0.0288311	0.0430151	0.0582993	0.218713
