 	a	l	ώ	b	h	ω	á	b	h	í	a	l	á	á	s	á	l	a	a	s	a	s	á	o	k	y	ε	s	í	</S>
les	0.0915593	0.0814018	0.0482835	0.0348642	0.0216318	0.00606591	0.00838812	0.0107666	0.0115247	0.014882	0.0296321	0.0828717	0.073755	0.0843479	0.0619747	0.0576044	0.0447692	0.035319	0.0309727	0.0411928	0.0205569	0.0306938	0.0141727	0.0103909	0.00713303	0.00681392	0.00787046	0.00978914	0.0120833	0.00868856
hameçons	0.0400231	0.0434546	0.0631482	0.0883375	0.142065	0.0398971	0.0372866	0.0391388	0.0468995	0.0556179	0.0261003	0.0274881	0.0226423	0.0541078	0.0298796	0.0586232	0.022195	0.0201628	0.0137152	0.0208031	0.0119254	0.0179393	0.0168159	0.0193775	0.0136986	0.00836121	0.00756871	0.00378129	0.00547758	0.00346895
sont	0.011025	0.0137711	0.0172744	0.0215639	0.0197948	0.0381398	0.0607817	0.0871503	0.117491	0.115893	0.0616642	0.0779313	0.0448174	0.0381514	0.0301598	0.0347873	0.0251995	0.0240572	0.0199624	0.0166118	0.013272	0.0124353	0.0181499	0.0135504	0.0141866	0.0108493	0.00932626	0.0087765	0.0115055	0.0117211
mis	0.0102228	0.0198005	0.0361858	0.0583363	0.0510499	0.054837	0.0512245	0.0269977	0.0201572	0.022434	0.0239094	0.0154787	0.0310126	0.0418596	0.0462364	0.0581727	0.0679405	0.0609839	0.0492536	0.0376383	0.0328336	0.0314416	0.0285627	0.0259407	0.0197254	0.0192142	0.0176091	0.00938327	0.0143327	0.0172254
en	0.0242559	0.0248451	0.0246948	0.0248336	0.0245512	0.0273081	0.0291495	0.0282519	0.0316221	0.0377823	0.0434694	0.0362207	0.0375492	0.0350595	0.0451515	0.0398063	0.0460648	0.0400162	0.0352515	0.0364575	0.0326317	0.0198721	0.0273573	0.0227612	0.0234792	0.027803	0.0344071	0.0385366	0.0468464	0.0539642
place	0.0203389	0.0173722	0.0154465	0.0151951	0.0141903	0.0164017	0.0175991	0.0191929	0.0272588	0.0337839	0.0309887	0.0377288	0.0380228	0.0360898	0.0312517	0.0488535	0.0371177	0.0410706	0.0285251	0.0467113	0.0406798	0.0296127	0.0314599	0.0288084	0.0316506	0.0327307	0.0436473	0.0518659	0.0578664	0.078539
dans	0.0212242	0.0200919	0.0155079	0.0152318	0.0129705	0.0134082	0.0143003	0.0178961	0.0232192	0.0246935	0.0244757	0.0267573	0.0331702	0.0344772	0.0333095	0.0273586	0.0243603	0.0219777	0.0246595	0.0346841	0.0395853	0.0423981	0.0481765	0.0439569	0.0439629	0.0467586	0.0573161	0.0677115	0.0678706	0.0784897
la	0.0244348	0.0259759	0.0285969	0.0350459	0.0372383	0.0438927	0.0320704	0.0229527	0.0176874	0.0298942	0.0278599	0.0189969	0.0285299	0.0176226	0.0165114	0.0134029	0.0145053	0.012525	0.0105949	0.0130937	0.0148355	0.0214009	0.0261873	0.0415503	0.0284392	0.0431898	0.0671921	0.0676647	0.0822166	0.135892
rivière	0.0330513	0.0318178	0.02902	0.0221363	0.012612	0.00899718	0.00703133	0.00532117	0.0039632	0.0078438	0.00739839	0.00512088	0.00769415	0.00395117	0.00420906	0.00420154	0.00668681	0.00661406	0.00802056	0.00986272	0.0122613	0.0231716	0.0179304	0.0241196	0.0235316	0.0505341	0.108287	0.131887	0.134757	0.247967
</S>	0.0433876	0.0437043	0.0355426	0.0283799	0.0268628	0.0277915	0.0177956	0.00783813	0.00774924	0.0102803	0.00890763	0.00561819	0.00843719	0.00886657	0.00760581	0.00671768	0.0056423	0.00391313	0.00471383	0.00714295	0.0111426	0.0279623	0.0503618	0.0534329	0.0664342	0.0688763	0.076308	0.0982331	0.074916	0.155436
