 	o	y	ú	r	u	y	é	é	d	z	w	e	w	á	o	b	a	n	d	a	a	d	í	e	k	í	n	á	</S>
la	0.0280048	0.00619217	0.00427373	0.00455922	0.00480166	0.00672356	0.00504352	0.00629615	0.0059791	0.0125084	0.0121138	0.111924	0.0576586	0.0886808	0.157859	0.0377693	0.0276998	0.0105593	0.00803165	0.0144415	0.0319323	0.0268976	0.0531836	0.0421656	0.0680806	0.0297946	0.057065	0.039031	0.0407297
femme	0.153313	0.170203	0.104127	0.0621719	0.0387616	0.0404575	0.069005	0.0279849	0.016822	0.0120719	0.0270475	0.0287222	0.0169225	0.0098995	0.00421977	0.00525335	0.00556938	0.0100681	0.00379899	0.0153674	0.0297904	0.0232916	0.0569352	0.0252809	0.023185	0.0060461	0.0107128	0.00141833	0.00155408
qu'	0.0842455	0.0455717	0.0393618	0.0238143	0.0192315	0.0213019	0.0332041	0.0143732	0.0115953	0.0118854	0.0137174	0.0206201	0.0439409	0.0312485	0.0331382	0.054792	0.0387974	0.0388227	0.0307527	0.0485268	0.0319768	0.0848448	0.0363193	0.0578887	0.0384354	0.0206591	0.0350913	0.0225478	0.0132955
il	0.0894594	0.0799531	0.0502332	0.047464	0.0312407	0.0376955	0.0314948	0.0177771	0.0125027	0.0189448	0.0122748	0.0248714	0.00892012	0.0127999	0.0147723	0.0221002	0.0234669	0.0309163	0.0162825	0.021138	0.0460038	0.0405983	0.0582279	0.0263857	0.0248307	0.023088	0.0320467	0.029201	0.11531
est	0.0370458	0.0727062	0.0796183	0.0660015	0.0628334	0.0800643	0.120951	0.0850058	0.0446524	0.0197338	0.00815804	0.0289571	0.00449508	0.00987258	0.00752947	0.0336307	0.0204531	0.0269721	0.0135182	0.016465	0.0125574	0.0132924	0.0126056	0.0107807	0.0101194	0.0125998	0.0141366	0.0185171	0.0567271
allé	0.0418299	0.0531403	0.0456901	0.0324513	0.0354343	0.0373274	0.0405273	0.0677006	0.0819692	0.0636945	0.0413703	0.0430509	0.0140237	0.0272042	0.0151927	0.0171149	0.0107469	0.0155643	0.0200859	0.0217903	0.0180334	0.0199356	0.0263304	0.0224558	0.0267082	0.0243298	0.0391036	0.0403086	0.0568858
épouser	0.0443348	0.0561525	0.0777846	0.0798265	0.0732561	0.0518749	0.0461473	0.0798363	0.0916288	0.0618422	0.0226965	0.0176639	0.00707613	0.0148369	0.0118188	0.0103044	0.00384827	0.00724645	0.00562562	0.00873923	0.0105522	0.00683696	0.018878	0.0173319	0.0263787	0.0232868	0.0280812	0.0397353	0.0563787
est	0.0694607	0.0646589	0.0639434	0.0530664	0.0416293	0.0341916	0.0330979	0.0494601	0.0630301	0.049972	0.0341357	0.0216332	0.0134767	0.0216844	0.0126688	0.015647	0.00566836	0.00723152	0.00655211	0.00719351	0.00871108	0.00463309	0.0212816	0.00971957	0.0354291	0.0128915	0.0626394	0.0570702	0.119222
sourde-muette	0.0542713	0.0525505	0.0621872	0.0717175	0.053927	0.038036	0.0312528	0.0339005	0.0435836	0.0320181	0.0317963	0.0203145	0.0119504	0.0442079	0.0290795	0.0224016	0.00438165	0.00655586	0.00712039	0.00732305	0.00837629	0.00772291	0.0226961	0.0153051	0.0345418	0.0146475	0.0651727	0.043036	0.129926
</S>	0.0326926	0.0320626	0.0391293	0.0411994	0.0359574	0.0300976	0.0268765	0.0159604	0.0162631	0.0127	0.00619665	0.00574298	0.00362976	0.00554485	0.00564545	0.0121293	0.00615889	0.0210283	0.0180255	0.0276686	0.0308916	0.0255574	0.0564665	0.0550651	0.0691352	0.0461376	0.061468	0.116771	0.143798
