 	m	a	á	á	k	a	n	i	i	k	ώ	ώ	s	á	e	t	a	n	g	í	m	í	t	a	n	g	i	s	a	l	á	b	í	a	</S>
maman	0.00866954	0.0164205	0.0138704	0.020574	0.0110282	0.018873	0.0181952	0.0240822	0.0464378	0.0385435	0.05862	0.0506287	0.0334061	0.0408866	0.0535046	0.0324613	0.0153508	0.0261629	0.0130216	0.0157657	0.0166488	0.0123961	0.030558	0.0245187	0.0297135	0.0223619	0.0256562	0.0228605	0.028808	0.0380541	0.0432169	0.0449623	0.0416623	0.0320609	0.030019
a	0.126923	0.0642656	0.0501194	0.0432343	0.10652	0.0680487	0.0593055	0.0639923	0.0777011	0.0558978	0.0530205	0.0396565	0.0266921	0.0350591	0.032479	0.0154835	0.0142506	0.0131879	0.00583373	0.00616974	0.00357304	0.002967	0.00231288	0.00199979	0.00284424	0.00291307	0.0027775	0.0025506	0.00188117	0.00347857	0.00333035	0.00247159	0.00240858	0.00261511	0.00403533
mis	0.0305818	0.0162598	0.0123919	0.0131669	0.00862521	0.0140402	0.023064	0.0247516	0.0360488	0.0296487	0.047263	0.0493633	0.0532877	0.0630555	0.0927581	0.0892948	0.0821751	0.0592164	0.0430164	0.0198977	0.0140085	0.00967115	0.0141674	0.00948652	0.0168335	0.0136271	0.0161215	0.0164799	0.0101265	0.0142545	0.0135669	0.0123363	0.0110089	0.01048	0.00992415
le	0.032723	0.0245685	0.0210735	0.0177866	0.0260527	0.0283748	0.0214624	0.0273626	0.0333391	0.0335398	0.03066	0.0277844	0.0298865	0.0310007	0.0359224	0.0533131	0.0497822	0.050207	0.0590078	0.0526189	0.0356931	0.0235397	0.0266619	0.0170989	0.01509	0.0221862	0.0182595	0.0129908	0.0171143	0.0144552	0.0151065	0.014258	0.0156662	0.024427	0.0409868
manioc	0.0198678	0.0209249	0.021192	0.02063	0.0253457	0.0359271	0.0365463	0.0331695	0.0345458	0.025434	0.0223878	0.0239633	0.0213218	0.0266023	0.0263902	0.0363076	0.04104	0.0312137	0.0466751	0.0380959	0.030271	0.0197483	0.0241452	0.0312251	0.0353256	0.0384978	0.0335134	0.0267729	0.0234856	0.0201426	0.0204337	0.02239	0.0207641	0.0228166	0.042887
dans	0.0221895	0.0106435	0.00863148	0.0103159	0.0110543	0.0161406	0.0157763	0.0161925	0.0159652	0.0176594	0.016814	0.0192903	0.0230454	0.0183956	0.0236305	0.0398991	0.0391168	0.0340413	0.0455028	0.0444787	0.0387244	0.0420288	0.0409974	0.0466786	0.0346004	0.0450519	0.0320656	0.0331797	0.0321522	0.0251009	0.0256997	0.024851	0.0282711	0.0366708	0.0651442
un	0.0165175	0.0154287	0.0166248	0.0227656	0.0229145	0.0235428	0.0230303	0.0170773	0.0162642	0.0181645	0.0214191	0.0199247	0.0196675	0.0236565	0.0288833	0.0277231	0.0372694	0.0320624	0.042681	0.0492555	0.0201778	0.0317883	0.019975	0.0175984	0.00945141	0.0151819	0.0122272	0.0158146	0.0199084	0.0188785	0.0345787	0.0384125	0.0497849	0.0800857	0.121264
panier	0.0227201	0.0130712	0.0115056	0.0130944	0.0124431	0.0123094	0.0111757	0.00870759	0.00744224	0.00932719	0.00733209	0.0107267	0.00950808	0.00835443	0.0126838	0.0202388	0.0171037	0.0224089	0.0363735	0.0359758	0.0381345	0.0431238	0.0513845	0.0602069	0.050089	0.0550086	0.0368736	0.0453247	0.0406651	0.034458	0.0405507	0.0369793	0.0411623	0.0557484	0.0677884
pour	0.0259761	0.0130056	0.00897326	0.00996932	0.00749294	0.00694409	0.00660752	0.00792941	0.00837768	0.0156809	0.0149601	0.0215946	0.0246323	0.0166093	0.0325898	0.034039	0.0416379	0.038055	0.0537838	0.0732578	0.0428553	0.0525067	0.0386931	0.0331291	0.0216918	0.0233229	0.0216077	0.0215004	0.0293983	0.026926	0.0303014	0.0230436	0.0347086	0.0544806	0.083718
faire	0.0759571	0.0264316	0.0233101	0.0170997	0.0107227	0.00774437	0.00592993	0.00345087	0.00336684	0.00464385	0.00560334	0.00803547	0.00954331	0.0135443	0.0192675	0.0177557	0.027461	0.0267141	0.0359823	0.0476856	0.03167	0.0350275	0.0312994	0.0192891	0.0156833	0.0186664	0.0319524	0.0321841	0.044504	0.0450147	0.0474423	0.0513621	0.0543745	0.0648824	0.0863981
couler	0.051929	0.0265966	0.0230084	0.0178913	0.0140576	0.00863358	0.00652696	0.00465382	0.00491059	0.00599793	0.00668627	0.00722807	0.00667267	0.00981975	0.0155403	0.0186034	0.029517	0.0253256	0.0333683	0.037727	0.0310507	0.0308282	0.027178	0.0178996	0.0167148	0.0234878	0.0306425	0.0322822	0.046891	0.0520153	0.0594672	0.0639498	0.0651484	0.0704734	0.077277
l'	0.153673	0.0314602	0.0196096	0.0127122	0.0090999	0.00735857	0.00748845	0.00549103	0.00507897	0.00733892	0.00787841	0.00899559	0.00918387	0.0129236	0.0220525	0.0442557	0.0826331	0.0836111	0.0543805	0.0458239	0.020103	0.0245068	0.016864	0.0117375	0.00885026	0.00928814	0.0125392	0.0133563	0.0182613	0.0220824	0.0327528	0.0419633	0.0292766	0.0460672	0.0613024
eau	0.0770371	0.0380389	0.0246802	0.0169549	0.0198127	0.0109315	0.00870814	0.00516302	0.00516236	0.00894465	0.00806899	0.00716539	0.00519144	0.00785035	0.0133037	0.0176236	0.0230844	0.0269994	0.0222072	0.0322893	0.0177884	0.023996	0.022395	0.0174511	0.0142884	0.0193546	0.0235944	0.0271973	0.0388101	0.0358959	0.0508448	0.0593574	0.0593418	0.0815852	0.128882
