 	a	y	ú	r	u	b	ó	b	á	a	t	u	m	b	á	i	s	í	m	i	t	s	i	n	a	m	w	ε	n	έ	á	m	i	w	á	a	</S>
les	0.0768549	0.0549825	0.066691	0.0203684	0.0220726	0.0260914	0.0151935	0.0155144	0.020232	0.0232374	0.0320223	0.0360334	0.0477066	0.0463652	0.0418023	0.0453189	0.0721943	0.0242216	0.0147386	0.0138415	0.00543555	0.0170234	0.0121623	0.0161676	0.0111508	0.0145475	0.0140837	0.0193351	0.0147088	0.0144488	0.0154077	0.0235009	0.0226897	0.0230371	0.0230602	0.02296	0.0147982
femmes	0.0214184	0.0124955	0.0125385	0.026623	0.0587357	0.0923616	0.178575	0.0615667	0.0845576	0.0405513	0.031376	0.0130359	0.00896106	0.0103058	0.00786693	0.00764954	0.014395	0.0195498	0.0170887	0.0108357	0.00821338	0.0094061	0.0077573	0.0111396	0.0105843	0.0132961	0.0336349	0.0315504	0.0244624	0.0152955	0.012597	0.0284879	0.0209707	0.0236831	0.00522055	0.00866987	0.00454324
sont	0.00421131	0.00986855	0.0262747	0.0202589	0.0253817	0.0267638	0.0253217	0.0487679	0.0843089	0.0662025	0.0811842	0.0538811	0.0470597	0.0402966	0.0267765	0.0171868	0.0115854	0.0101052	0.00841087	0.00791698	0.0118475	0.0220628	0.0177471	0.0167445	0.0235814	0.034862	0.0242524	0.0203442	0.0155167	0.0161239	0.0140447	0.0241003	0.0238765	0.0294995	0.0196214	0.0261779	0.0178339
en	0.00326529	0.0173979	0.0198725	0.0244791	0.0257567	0.0278834	0.0208875	0.0227271	0.0207298	0.0262774	0.0232261	0.0184823	0.0130503	0.0107409	0.010388	0.013829	0.0126038	0.0184142	0.0180776	0.0208362	0.0328885	0.0322151	0.0556729	0.054018	0.0633658	0.0647346	0.043489	0.0558884	0.052184	0.0453309	0.0290425	0.0213815	0.0166797	0.0161743	0.0108436	0.0155372	0.0216291
train	0.00926936	0.0101111	0.0102077	0.0103716	0.00997147	0.00982692	0.0101597	0.00971305	0.0140244	0.0131345	0.0126664	0.0160615	0.0161412	0.024921	0.0361017	0.0322963	0.0396637	0.0354484	0.0393554	0.0465528	0.0345887	0.0314561	0.0457863	0.0527157	0.0633949	0.066392	0.0691592	0.0495897	0.0330178	0.018273	0.021518	0.0161737	0.0169563	0.00955484	0.0156209	0.0197494	0.0300554
de	0.0353036	0.0457087	0.0351919	0.0125608	0.0118702	0.00794485	0.0106485	0.0174768	0.0210473	0.02164	0.033568	0.0336542	0.0537587	0.043103	0.0352482	0.0457513	0.0660874	0.0501528	0.0626352	0.0430898	0.0341162	0.0246738	0.0258162	0.0163368	0.00982457	0.0115018	0.011944	0.00737756	0.00953058	0.0113598	0.0165941	0.0197044	0.0142952	0.0208901	0.0176342	0.0235051	0.0384542
lancer	0.00641893	0.00770687	0.00844461	0.0102863	0.0165759	0.0176172	0.0235091	0.0276649	0.0163391	0.012122	0.0140417	0.0158082	0.0273211	0.0267762	0.0298832	0.0261074	0.0436452	0.0391	0.0388674	0.0416961	0.0241068	0.0287322	0.025168	0.028994	0.0326912	0.0361932	0.0497606	0.0437348	0.0346405	0.0392971	0.0438892	0.0287003	0.0225348	0.0238482	0.0256701	0.0229258	0.0391817
des	0.0147051	0.0181284	0.0205061	0.0220389	0.0243999	0.0244082	0.0130031	0.0118479	0.0111999	0.0112039	0.011009	0.0119759	0.0147012	0.0253635	0.0326639	0.0357537	0.0377727	0.0375195	0.0396118	0.040562	0.0377463	0.03318	0.036807	0.0346722	0.0483146	0.0325244	0.0375277	0.0231612	0.0137445	0.00462369	0.014399	0.00941168	0.0204674	0.011745	0.0486097	0.0406618	0.0940294
cris	0.023734	0.0216359	0.0215479	0.0207566	0.0264679	0.0233192	0.0101901	0.0100327	0.00652776	0.00637703	0.00501369	0.00537335	0.011339	0.0202963	0.0198698	0.026687	0.0411881	0.0436666	0.0694131	0.0871091	0.0537556	0.0648678	0.0527888	0.0552184	0.0459258	0.0311991	0.0427915	0.0308564	0.00736803	0.00232342	0.00659987	0.00586753	0.0102705	0.00533158	0.0131013	0.0170656	0.0541234
de	0.0173649	0.0245599	0.0215837	0.0149935	0.0184478	0.0170438	0.0103667	0.00774749	0.00595896	0.00476561	0.00510789	0.00455601	0.00560467	0.00628753	0.00805909	0.0115547	0.0147906	0.0239394	0.0374022	0.0478936	0.0532972	0.0385444	0.042739	0.0368722	0.044018	0.043428	0.0384021	0.0264183	0.0377167	0.0138755	0.0428522	0.0177927	0.0235116	0.0194172	0.0555409	0.0378276	0.119718
malheur	0.0222109	0.0237146	0.0226601	0.0214142	0.0199856	0.0184394	0.00987961	0.00611443	0.00797825	0.00660237	0.00948407	0.00716034	0.00920497	0.00903923	0.0122009	0.0120447	0.0130528	0.0116297	0.0139813	0.0182955	0.0197413	0.0153073	0.0204329	0.0177118	0.0238042	0.0334076	0.0356589	0.0244725	0.0345029	0.0235023	0.0611506	0.0563986	0.0699812	0.0621422	0.0607168	0.0772869	0.0886888
parce	0.0203266	0.034102	0.0311659	0.0275357	0.0240714	0.0206379	0.0186959	0.0139831	0.0195039	0.0142664	0.0193943	0.00850962	0.0119879	0.00750214	0.00577951	0.00690545	0.00545819	0.00751291	0.00776974	0.00777904	0.0152924	0.0208757	0.0181896	0.0180137	0.0217674	0.0387402	0.0301086	0.0191366	0.0244422	0.0298048	0.0342013	0.0284885	0.0401311	0.0780018	0.0715259	0.0889765	0.109416
que	0.0114375	0.0158104	0.0119841	0.00905596	0.00724188	0.00678292	0.00674302	0.00665113	0.00695121	0.00594074	0.00914468	0.00730029	0.012827	0.00592541	0.00514001	0.00686671	0.00848666	0.0127007	0.01761	0.0208341	0.0362811	0.0367449	0.0344278	0.0320053	0.0327151	0.0440179	0.0573917	0.037038	0.0435114	0.0797943	0.0849816	0.0441733	0.0481965	0.0386668	0.0447465	0.0413797	0.0684936
le	0.020566	0.026323	0.0172638	0.0159197	0.0118262	0.00956668	0.00895285	0.00971709	0.0145201	0.00871744	0.0139659	0.0149567	0.0241978	0.0102926	0.00802165	0.0079769	0.0112484	0.0166748	0.0208855	0.0234173	0.0382531	0.0393907	0.0370305	0.0350703	0.032893	0.0415902	0.0554185	0.0447155	0.0478679	0.055054	0.0775004	0.022692	0.0184612	0.0179259	0.0412015	0.0224448	0.0774801
notable	0.0188147	0.0283085	0.0320525	0.0264448	0.024068	0.0194403	0.00880496	0.00684022	0.00751877	0.00640007	0.00905211	0.00723637	0.00914644	0.0086254	0.00826958	0.0120055	0.00939612	0.0168588	0.0124327	0.0099526	0.0228687	0.0165263	0.0192288	0.0138524	0.0104505	0.01221	0.0109519	0.0075013	0.0125273	0.00517371	0.0265335	0.0126388	0.0301777	0.0544203	0.102752	0.106208	0.254311
vient	0.0135167	0.0449679	0.0441897	0.045579	0.0440674	0.0305498	0.0199962	0.0134916	0.00418296	0.00373401	0.00328911	0.00354706	0.00329932	0.00303453	0.00211568	0.00214611	0.00216211	0.00654275	0.00991845	0.00678557	0.0295226	0.0228917	0.019416	0.0148176	0.0100815	0.0215261	0.0133269	0.00845707	0.0174438	0.0105075	0.0244889	0.00549977	0.00815437	0.0218156	0.0551203	0.0494881	0.360326
de	0.0172202	0.0308725	0.0291139	0.0329619	0.0317387	0.0265076	0.0330787	0.0388813	0.0218362	0.0173755	0.017649	0.028281	0.033295	0.0143663	0.0118681	0.0077973	0.0133035	0.0169662	0.0167788	0.0126787	0.0299883	0.0204988	0.0146748	0.0108462	0.00800736	0.00978949	0.00971096	0.0085447	0.0159509	0.0166662	0.029889	0.0119797	0.0124419	0.0227521	0.0396219	0.033986	0.252081
mourir	0.0322254	0.0432471	0.0287908	0.0248281	0.0221266	0.0195864	0.0227809	0.0267847	0.00963903	0.00847796	0.00788783	0.0105474	0.0118488	0.00843351	0.0055906	0.00376618	0.0043365	0.0118882	0.0198436	0.0147518	0.0580255	0.0479596	0.0409786	0.026721	0.0138269	0.0206426	0.0112932	0.0106352	0.0245548	0.0114263	0.0225451	0.00679474	0.00592811	0.0113439	0.0219992	0.0308644	0.297079
</S>	0.0277501	0.0288983	0.0197667	0.0199065	0.0214357	0.0204642	0.0190549	0.0221731	0.0112241	0.00975246	0.00867122	0.00820135	0.00992966	0.0103851	0.00600838	0.00486823	0.00529461	0.00996189	0.0214179	0.0182226	0.0460014	0.0600865	0.0415387	0.0319961	0.0118056	0.0166843	0.00994083	0.00763226	0.0194846	0.00552405	0.0160126	0.00741862	0.0112546	0.0201152	0.032035	0.0555195	0.303563
