 	w	a	l	á	a	p	é	n	d	á	o	n	y	w	á	d	z	w	a	m	a	d	i	a	b	v	ú	u	m	í	s	i	m	á	w	a	á	m	i	y	u	u	n	g	a	</S>
il	0.126656	0.132256	0.108694	0.200381	0.094548	0.0784999	0.0196678	0.0185244	0.00820962	0.00782986	0.00620658	0.00417986	0.00417438	0.00689685	0.00722979	0.00273879	0.00632866	0.00240458	0.00777923	0.00697985	0.00486753	0.0126142	0.00804651	0.0109104	0.00773484	0.00645592	0.00702618	0.00502232	0.00575453	0.00602975	0.00775387	0.00405477	0.00383647	0.00269967	0.00365217	0.00373414	0.00388446	0.00517782	0.00516208	0.00535341	0.00505308	0.0057669	0.00556021	0.00570446	0.00484649	0.00311091
fume	0.00853434	0.0036251	0.00295583	0.0043241	0.0111019	0.0132013	0.0344889	0.0784998	0.0338901	0.05624	0.0749722	0.107383	0.0588501	0.0356876	0.0767581	0.0296204	0.0459298	0.0339955	0.0370334	0.0171818	0.0317936	0.0191512	0.025614	0.0085252	0.0069997	0.00773471	0.0027218	0.00578774	0.0047652	0.00285647	0.00307173	0.00431849	0.00417003	0.00365183	0.00615428	0.00518745	0.00378828	0.00653162	0.0053566	0.00747347	0.00404259	0.0154834	0.0119954	0.0140731	0.0100223	0.0144569
trop	0.00602276	0.0150802	0.0167956	0.0161949	0.0183708	0.0181105	0.0131967	0.0108827	0.0129243	0.0215009	0.0149688	0.0105413	0.0116562	0.0071444	0.0121391	0.00656189	0.0119101	0.00790912	0.0111187	0.00976198	0.0249859	0.0333425	0.0425006	0.059034	0.0566039	0.0463695	0.0575256	0.0456008	0.0504017	0.0527345	0.0212727	0.0164231	0.0222291	0.0160421	0.0154034	0.0220539	0.0203715	0.0136385	0.0140397	0.0147083	0.00851132	0.0197394	0.0152552	0.0224083	0.0193529	0.0166606
de	0.00549742	0.00846253	0.00911922	0.00739563	0.0103365	0.010925	0.0073852	0.011358	0.0121858	0.0100982	0.0253662	0.0169817	0.0271873	0.0332876	0.0451589	0.0315835	0.0292495	0.0360428	0.0174613	0.0133367	0.0210205	0.0209319	0.0227767	0.0220892	0.0235707	0.0309908	0.0209838	0.0204395	0.0332705	0.0291639	0.0242128	0.0233544	0.0286288	0.032361	0.0266224	0.0350112	0.0243726	0.023424	0.0145368	0.0173016	0.0170622	0.016044	0.0196088	0.0215473	0.0229582	0.0392977
chanvre	0.00530751	0.00465721	0.00486249	0.00476161	0.00778486	0.00763538	0.00740419	0.00873298	0.0113257	0.00937761	0.0134417	0.0155492	0.0208421	0.0194354	0.0310128	0.0185229	0.0299395	0.0162836	0.0234603	0.0150528	0.0180698	0.018682	0.0188397	0.0178858	0.0172647	0.0286318	0.0305	0.0358246	0.0682942	0.0583867	0.0636069	0.0603057	0.0244302	0.0263336	0.0220391	0.0180461	0.0252681	0.0147757	0.0147399	0.0140588	0.0148297	0.0156012	0.0139838	0.0178286	0.0193041	0.0470794
voilà	0.0126588	0.0244314	0.0144783	0.012926	0.0179963	0.00954494	0.0099291	0.0123426	0.0159364	0.0127444	0.0168181	0.0164277	0.0166984	0.0132504	0.0165725	0.0107487	0.0236988	0.0100318	0.0166349	0.00832874	0.0082159	0.00845218	0.00902031	0.0120024	0.011271	0.0138706	0.0178262	0.018899	0.0561369	0.0647958	0.0772211	0.0750624	0.0253116	0.0243119	0.026003	0.0243906	0.0304544	0.0190083	0.0184695	0.0196667	0.0183669	0.023203	0.0180914	0.0151527	0.0195008	0.0530971
pourquoi	0.0116948	0.0140523	0.011779	0.00954882	0.0142624	0.01115	0.0133255	0.0194183	0.0198244	0.0107006	0.0199558	0.0177219	0.0173314	0.0120252	0.0156019	0.011834	0.0194834	0.0120262	0.0129509	0.00810344	0.00712795	0.00595675	0.00594721	0.00842271	0.00795997	0.0121157	0.0153187	0.0164549	0.0562078	0.0531089	0.066321	0.0569386	0.0270627	0.031133	0.0299579	0.0319558	0.0195007	0.0186054	0.015207	0.0179333	0.0234416	0.0274321	0.032799	0.032792	0.038396	0.059113
ses	0.00698407	0.00748561	0.00634889	0.00637951	0.0161547	0.0139989	0.0149323	0.0209825	0.0172001	0.0111167	0.0140451	0.0138287	0.0125562	0.0108753	0.0128468	0.0157827	0.0186939	0.00832651	0.012846	0.00730773	0.00494744	0.00445321	0.00447815	0.0102599	0.0114958	0.0208627	0.0261465	0.0274226	0.069392	0.0638598	0.0652294	0.0389075	0.0203308	0.0222748	0.0174974	0.016905	0.0129235	0.0142276	0.013322	0.0145121	0.0277162	0.0293623	0.042468	0.0372994	0.0441353	0.0908783
yeux	0.013481	0.0136433	0.0144178	0.0139808	0.0127414	0.0115278	0.0151556	0.0134312	0.00912754	0.0106863	0.0113616	0.0123641	0.0107861	0.00933624	0.0107564	0.0102396	0.0108151	0.00849452	0.0105003	0.0100385	0.010977	0.00948272	0.0128048	0.0306361	0.0316763	0.038621	0.022881	0.0405535	0.0534105	0.040916	0.0466747	0.0469336	0.0315647	0.0341162	0.0294401	0.024491	0.0107915	0.02846	0.00950451	0.0136841	0.0161276	0.0143097	0.0235077	0.0235346	0.0346109	0.0874052
sont	0.0189359	0.0195661	0.0168281	0.0150287	0.0136408	0.0150188	0.0204528	0.0154064	0.0155529	0.0105113	0.0105313	0.00834843	0.0094717	0.00509172	0.00773457	0.00418507	0.00481862	0.00453073	0.00578003	0.00741161	0.00885212	0.00929575	0.0100898	0.0181094	0.0168553	0.0212181	0.0197933	0.0253922	0.0253439	0.0328222	0.0371664	0.0284098	0.0348761	0.0248994	0.0242942	0.0443602	0.0256062	0.0414395	0.0299992	0.0248827	0.0359421	0.0233544	0.0281152	0.0302807	0.0351469	0.114609
