 	o	y	ú	r	u	w	ó	a	y	ε	i	o	k	ó	á	m	b	e	a	m	b	v	á	a	n	g	á	</S>
cette	0.0162196	0.00874263	0.00670652	0.00913546	0.00511585	0.00525104	0.00573896	0.00594607	0.00887576	0.013122	0.0117295	0.0150933	0.0187809	0.031143	0.0471668	0.0546846	0.0555601	0.062351	0.0623814	0.0483831	0.0541192	0.0516466	0.0638934	0.0684463	0.0682462	0.0711741	0.0799524	0.0503942
femme	0.127123	0.187196	0.136651	0.0574746	0.0128955	0.0221009	0.0890117	0.0576381	0.161747	0.0802438	0.0172237	0.00542687	0.00125921	0.000922703	0.00308991	0.00426032	0.00660058	0.00876607	0.00236286	0.00221263	0.00326001	0.00250251	0.00182247	0.00159527	0.00371675	0.00201468	0.000552903	0.000329664
est	0.00828188	0.00730884	0.00846984	0.0157033	0.060426	0.141942	0.0703252	0.0569205	0.0699759	0.0885041	0.0655994	0.125893	0.0206396	0.0219975	0.0339391	0.0409835	0.0323322	0.0191689	0.0247323	0.0173596	0.0110887	0.0122045	0.00878579	0.00771994	0.0075327	0.00670511	0.00962314	0.00583771
venue	0.048307	0.0515948	0.0453019	0.0374115	0.0530486	0.0723969	0.0566376	0.0312368	0.0383505	0.0313226	0.029899	0.0242307	0.020382	0.0199861	0.0241623	0.0330378	0.0349813	0.0366763	0.0424346	0.0312027	0.0285469	0.0265908	0.0357513	0.0238249	0.0325127	0.0271728	0.0348932	0.0281066
contracter	0.0446577	0.0219686	0.0209964	0.0200436	0.0271801	0.0258267	0.0232153	0.0180644	0.0235594	0.0273545	0.0201615	0.0106469	0.0170707	0.021248	0.0257138	0.0345763	0.0358623	0.0523977	0.0445741	0.0540552	0.0548752	0.0497289	0.0547941	0.0409548	0.0559677	0.0562038	0.0589466	0.059356
une	0.0242409	0.0288837	0.0292844	0.025802	0.051438	0.0557987	0.030907	0.0237429	0.0240997	0.0467224	0.134675	0.0979208	0.047818	0.044857	0.040805	0.0275284	0.0230119	0.0175253	0.0194676	0.0236249	0.0236109	0.0220186	0.0187433	0.0184483	0.0177796	0.0192833	0.0180431	0.0439194
dette	0.0440384	0.0453488	0.0330781	0.0167093	0.0190103	0.0356178	0.0160546	0.0140931	0.0159361	0.0244044	0.0290716	0.0381154	0.0320519	0.0435808	0.0705048	0.0637423	0.0579861	0.051889	0.0177152	0.0365425	0.0409524	0.0392861	0.0304369	0.017978	0.0477376	0.0306892	0.0309728	0.0564566
auprès	0.020982	0.0201648	0.0203398	0.0191457	0.0167081	0.0191678	0.012074	0.00978008	0.0110067	0.016502	0.029873	0.0192147	0.0315301	0.0330958	0.0311643	0.0339861	0.0389414	0.0499	0.0446629	0.0524331	0.0542476	0.0529877	0.0638847	0.0535307	0.0608842	0.0502342	0.048693	0.0848655
de	0.0341413	0.0214517	0.0200709	0.0181418	0.0205181	0.0211461	0.0284944	0.0278387	0.0350565	0.0295778	0.0381314	0.0404424	0.0414749	0.0401303	0.0386899	0.0389547	0.0410697	0.0468936	0.0590105	0.0532856	0.0472094	0.0408496	0.0317565	0.0331336	0.0330063	0.036916	0.0352867	0.0473217
moi	0.0463121	0.0252702	0.0189609	0.0149673	0.0152913	0.0115211	0.00784588	0.00646583	0.00684453	0.00943883	0.0113552	0.013363	0.0111191	0.0136209	0.0158949	0.0169914	0.0164391	0.0413338	0.0465186	0.0429942	0.0552496	0.0710936	0.0601553	0.0731399	0.0714934	0.084426	0.0910711	0.100823
</S>	0.0696438	0.0413647	0.0348207	0.0229345	0.0238992	0.0160531	0.0111723	0.00871827	0.00857729	0.00815052	0.012522	0.0131379	0.00722902	0.01435	0.0203456	0.022894	0.0220929	0.0437412	0.0437528	0.0419382	0.0512213	0.0540092	0.0572997	0.0577855	0.0618147	0.0712587	0.0725828	0.0866905
