 	m	í	s	i	m	á	w	a	á	y	e	e	n	g	i	a	t	s	á	n	g	á	m	é	b	a	m	b	é	y	é	é	b	a	b	h	í	l	í	w	a	s	ó	n	ω	ω	</S>
il	0.00851368	0.0104163	0.0115952	0.0151956	0.0162697	0.021476	0.019508	0.0265448	0.0278999	0.0338119	0.0324076	0.028824	0.040409	0.0409892	0.0607061	0.0414933	0.0376566	0.0593095	0.0502014	0.0412278	0.0283112	0.0225323	0.0176008	0.0220847	0.0222263	0.0181034	0.0182549	0.0154084	0.0136481	0.0124028	0.0125486	0.00776825	0.00649365	0.00656999	0.00786173	0.00747509	0.00904093	0.00990798	0.0127997	0.0107572	0.0129307	0.0110218	0.0128428	0.018241	0.0123775	0.0155177	0.0108168
avait	0.108874	0.0876408	0.0849304	0.0794921	0.0782945	0.0962254	0.0603293	0.0331124	0.0486407	0.0353078	0.0425043	0.0262655	0.0138306	0.00967072	0.00928204	0.00982385	0.0203318	0.019065	0.026292	0.0127639	0.0138848	0.00854062	0.0106483	0.00722034	0.00645605	0.00422958	0.00336657	0.00198874	0.00232421	0.0016036	0.00178344	0.0019442	0.00170183	0.00183644	0.00202623	0.00169297	0.00163329	0.00202113	0.0026232	0.0022572	0.00365262	0.000769539	0.000810102	0.0007003	0.00293758	0.0014183	0.00725212
des	0.064174	0.0730557	0.0703745	0.0458719	0.048507	0.0346904	0.0174154	0.0276574	0.0251839	0.0293245	0.0223655	0.0364032	0.0428887	0.0163352	0.0129157	0.0241497	0.0273502	0.04036	0.0484328	0.036413	0.0178212	0.014148	0.0126923	0.0148433	0.0155352	0.00924417	0.00923683	0.0065635	0.00621933	0.00566674	0.00871216	0.00595717	0.011797	0.0127322	0.00909912	0.00980568	0.00717802	0.00614829	0.00714948	0.00730702	0.0105001	0.00602778	0.0070037	0.00787564	0.00989363	0.01043	0.0065436
larmes	0.0391897	0.0384666	0.0422979	0.0385972	0.0603996	0.0390287	0.0351652	0.0448053	0.0365493	0.0422916	0.0429869	0.0584453	0.0270314	0.0170936	0.0095967	0.0201232	0.0159178	0.0145161	0.0215794	0.0241361	0.0160993	0.0162515	0.0175429	0.0148295	0.0285489	0.0217881	0.0156908	0.0122829	0.00862058	0.0104749	0.00889808	0.00725148	0.00902529	0.0110581	0.0103289	0.00965899	0.00605906	0.0111558	0.010534	0.0070888	0.00470287	0.00319326	0.00362888	0.00730056	0.0148857	0.0195455	0.0253376
aux	0.0117805	0.0111069	0.0151332	0.0163236	0.0219494	0.0226041	0.0118721	0.0269801	0.0268829	0.023256	0.0430027	0.0205472	0.0113633	0.0120069	0.010429	0.0144394	0.0334567	0.0493266	0.0521279	0.0666591	0.0329665	0.0218053	0.0547233	0.0299048	0.0369569	0.0282655	0.0328	0.0205732	0.0217218	0.0191816	0.0176891	0.00896821	0.0050286	0.00782523	0.00790763	0.0106047	0.00685333	0.00803837	0.00815348	0.00647887	0.00445969	0.00273443	0.00379655	0.0109592	0.0260028	0.031897	0.0324563
yeux	0.0933646	0.0998498	0.0874016	0.0630569	0.0579806	0.0714884	0.0192741	0.0229857	0.0190686	0.0193484	0.0269974	0.0223227	0.0112826	0.0192965	0.0117493	0.0104869	0.00843301	0.0088569	0.0100027	0.00718129	0.00731388	0.0132148	0.0103331	0.00991241	0.0146293	0.0134779	0.0117031	0.0120154	0.0157167	0.0143118	0.010794	0.0255752	0.0120158	0.0169039	0.012012	0.00667794	0.00627946	0.00734355	0.00834696	0.00388395	0.00970442	0.0101363	0.00730725	0.00995897	0.0110329	0.00736648	0.0216044
à	0.0290891	0.0183899	0.0184962	0.0219093	0.0283129	0.0256004	0.0182377	0.0194073	0.0175126	0.0198619	0.0178622	0.0262668	0.0204437	0.0191214	0.0120097	0.0177267	0.024401	0.0227071	0.0264716	0.0381786	0.0361565	0.0289118	0.0359388	0.0273628	0.0354458	0.0360762	0.0555377	0.0391803	0.0335165	0.0311306	0.0243487	0.0137823	0.00721368	0.00610018	0.00674762	0.00614015	0.00487047	0.00840143	0.0106316	0.00355992	0.00584929	0.00417388	0.00548141	0.0109168	0.0197966	0.0236858	0.037037
cause	0.0467228	0.0280412	0.0276177	0.0262683	0.0237046	0.0161501	0.013976	0.0141417	0.00957821	0.00978622	0.00846934	0.0148676	0.0107133	0.0130048	0.00971717	0.0141632	0.0102615	0.00901934	0.0112459	0.0187651	0.0228692	0.0315124	0.0358585	0.0247089	0.0474497	0.0456604	0.0580491	0.0526927	0.0466808	0.0404983	0.0241405	0.016687	0.00188787	0.00128442	0.00306247	0.0040045	0.00414584	0.00799192	0.014712	0.00235359	0.00629527	0.00762959	0.0145096	0.0241129	0.0330846	0.0364894	0.0554145
du	0.0235244	0.0190109	0.0167257	0.0145232	0.0141405	0.00853753	0.00471069	0.00411761	0.00305617	0.00255453	0.00259854	0.00643974	0.00546591	0.00617129	0.00460022	0.0038677	0.0033312	0.00359968	0.0044072	0.00830902	0.0105193	0.0115353	0.0291175	0.0175738	0.0415523	0.06864	0.0748086	0.0760633	0.0775692	0.0816161	0.0705608	0.0470439	0.0132204	0.0151072	0.0141902	0.0144258	0.0138507	0.0162467	0.0158	0.00787947	0.0106692	0.00849184	0.0117037	0.0182583	0.0211717	0.0234693	0.029224
piment	0.0342294	0.0154094	0.0115782	0.00942431	0.00715661	0.00506445	0.0044733	0.00389996	0.00413392	0.00394841	0.00421798	0.00889711	0.0083796	0.0114669	0.0110575	0.0142557	0.0142396	0.0122724	0.0122848	0.0226166	0.0291302	0.0243905	0.0550763	0.0320642	0.0472208	0.0519221	0.050856	0.0459872	0.0555899	0.0359694	0.032361	0.0222768	0.00223532	0.00221492	0.00710377	0.00745412	0.00835653	0.00880982	0.0128167	0.00362689	0.0112381	0.0181915	0.0238496	0.0320661	0.0383396	0.0516005	0.070246
qui	0.0217004	0.017464	0.0146414	0.0115843	0.00961788	0.00769687	0.00757676	0.00805141	0.00695358	0.00653368	0.00522142	0.00483566	0.00427297	0.00420059	0.00338944	0.00338843	0.00641258	0.0124096	0.0162508	0.0295708	0.0256414	0.0230389	0.0628429	0.0287402	0.0356983	0.039966	0.0386566	0.0391656	0.0544639	0.0522232	0.0462586	0.0463317	0.0229253	0.0178093	0.0221957	0.0196706	0.0206271	0.0143789	0.0111326	0.0163899	0.0127355	0.0167863	0.0122206	0.0190945	0.0263688	0.0321827	0.0406824
lui	0.074134	0.0304937	0.0176943	0.0123016	0.00800999	0.00319852	0.00580115	0.00422172	0.00288946	0.00305818	0.00217156	0.00586618	0.00563152	0.00992391	0.00847678	0.0104785	0.0103401	0.00929721	0.0077065	0.0203949	0.0320065	0.0289392	0.0847331	0.0307198	0.0559105	0.0486681	0.036968	0.0324467	0.0349437	0.0246353	0.014745	0.0107728	0.00513072	0.00437917	0.00682948	0.00752718	0.00686395	0.00813115	0.00943974	0.00982434	0.0181379	0.0164475	0.0196557	0.0291396	0.043767	0.0527713	0.0743769
brûlait	0.0973028	0.034631	0.0160776	0.0103306	0.00632862	0.00299156	0.00576144	0.00460209	0.00372259	0.00352302	0.00383853	0.00856586	0.00670647	0.0145165	0.0111214	0.0141813	0.0138456	0.0108917	0.00981099	0.0208809	0.029965	0.0235029	0.0663424	0.0226372	0.0385044	0.0341202	0.0275216	0.0269221	0.0258441	0.0208422	0.01455	0.0127316	0.00414849	0.0045214	0.00607614	0.00733662	0.00768946	0.0119213	0.0115069	0.0112771	0.0199004	0.025891	0.0328062	0.038638	0.0407989	0.0551537	0.0792198
la	0.0735495	0.03226	0.0205472	0.0184431	0.015579	0.010123	0.0198553	0.0150599	0.00901484	0.00756054	0.00585009	0.00663523	0.00791598	0.00500676	0.0059086	0.010128	0.0151249	0.014058	0.0139324	0.0344156	0.0441558	0.031192	0.105642	0.0348226	0.0457078	0.0399984	0.0487664	0.0423795	0.0395097	0.0260572	0.0213551	0.0120046	0.00532663	0.00614688	0.00806001	0.00689704	0.00703328	0.0061443	0.00741721	0.00737298	0.00889811	0.0121162	0.00932887	0.0136778	0.0179947	0.0204738	0.0305533
bouche	0.17493	0.0529667	0.0248656	0.0161588	0.00944727	0.00625801	0.0139808	0.00735996	0.00744317	0.00784579	0.00757892	0.0148408	0.00941619	0.0180864	0.0148823	0.0147246	0.0112478	0.00933398	0.0130155	0.0178484	0.0220972	0.0193083	0.0485028	0.0213009	0.0312077	0.0338244	0.0354685	0.0293626	0.0225986	0.0194756	0.012861	0.00668735	0.00319478	0.00268275	0.00425374	0.0046478	0.003169	0.00871154	0.00855727	0.00457154	0.00618763	0.00697268	0.0130801	0.0186006	0.0312145	0.0448743	0.0843561
</S>	0.067548	0.0271749	0.0192027	0.0140976	0.0112408	0.00662202	0.0140629	0.00812333	0.00618114	0.00421952	0.00422741	0.00478441	0.00377303	0.00526327	0.00964097	0.00762876	0.0231441	0.0192842	0.01902	0.0385886	0.0573319	0.0434715	0.186245	0.0278	0.0299215	0.0240445	0.0145477	0.0168611	0.0145176	0.0127989	0.0113137	0.00687474	0.0057784	0.00456878	0.00738163	0.00666986	0.00637293	0.0104799	0.0109103	0.00690796	0.00810812	0.0118005	0.0156045	0.0292751	0.0285897	0.0354181	0.0525788
