 	n	ω	l	ó	o	d	z	w	á	o	d	z	a	r	á	a	s	w	é	s	ó	k	y	ε	s	í	</S>
tu	0.0070298	0.0100287	0.0112261	0.0201142	0.0207522	0.0439918	0.0302981	0.0768124	0.0808208	0.0787501	0.0758284	0.0701428	0.0677048	0.0671166	0.0739862	0.0575483	0.0453645	0.0338149	0.0274939	0.0229935	0.0153744	0.00933373	0.0089229	0.0104346	0.00842394	0.0118658	0.0138266
iras	0.0780918	0.0382197	0.0467754	0.0171442	0.0155581	0.0115698	0.00947651	0.0523693	0.0479946	0.067095	0.0737773	0.094382	0.112135	0.121551	0.0667326	0.0225896	0.0204479	0.0193417	0.0136066	0.0122758	0.00798704	0.00597347	0.00872868	0.00591211	0.00723766	0.00732727	0.0156997
pêcher	0.0571952	0.0354494	0.0318762	0.0377424	0.0343839	0.0261115	0.0336403	0.0241859	0.0606286	0.0801118	0.059109	0.0570222	0.0608867	0.0801223	0.0861094	0.0911538	0.0803023	0.0186887	0.00877543	0.00448863	0.00489757	0.00304774	0.0054286	0.00456221	0.00380074	0.00376541	0.0065141
à	0.0102835	0.00961595	0.0122977	0.0128342	0.012154	0.0112434	0.0131576	0.0143166	0.00863901	0.00868489	0.0082391	0.0139876	0.0227183	0.018172	0.0204026	0.0162204	0.0313767	0.0574558	0.0956994	0.102074	0.0716859	0.0905373	0.0785173	0.0398761	0.0663306	0.072757	0.0807228
l'	0.0457589	0.0336849	0.0278998	0.0228339	0.021699	0.0163279	0.0211862	0.025394	0.0247793	0.0280465	0.0244131	0.0219891	0.0194271	0.0343379	0.037313	0.0450627	0.0473484	0.0164815	0.00866934	0.0183561	0.0332093	0.0537772	0.0959749	0.0576472	0.0546397	0.0707583	0.0929847
écope	0.050429	0.0402402	0.0340496	0.0252328	0.0320752	0.0349306	0.0385177	0.0397755	0.0284268	0.0285048	0.0300261	0.0277651	0.0331163	0.0310684	0.017405	0.0257241	0.0314015	0.0340313	0.0159356	0.0221976	0.0359144	0.0384173	0.0350631	0.0605406	0.0523985	0.068432	0.0883808
dans	0.0349685	0.0196556	0.0164757	0.0139711	0.0186	0.0307945	0.0411996	0.0334053	0.0229092	0.0185863	0.021249	0.0216325	0.0177004	0.0290041	0.0159853	0.0269435	0.0340747	0.0335254	0.0332464	0.0366401	0.0526597	0.0618789	0.0593142	0.0786726	0.0659418	0.0727283	0.0882375
la	0.0298343	0.0284463	0.0290937	0.0323775	0.0309735	0.0316312	0.0323091	0.0391566	0.028607	0.0222263	0.0243614	0.0255253	0.028983	0.0393462	0.0362768	0.041554	0.0402274	0.0273922	0.0225628	0.0290152	0.0270134	0.0286905	0.0357711	0.0540358	0.0602509	0.0733444	0.100994
rivière	0.0659895	0.0409416	0.0337751	0.0323698	0.0336218	0.031776	0.0195597	0.0155663	0.0139342	0.0112107	0.00940327	0.0109664	0.0140831	0.0135728	0.00980628	0.00948091	0.0134533	0.0120085	0.0280013	0.0273737	0.0421208	0.0583289	0.0747787	0.060345	0.0925663	0.0975931	0.127373
</S>	0.0593659	0.0417806	0.0348412	0.0265399	0.0241781	0.0133405	0.015898	0.0125005	0.0100897	0.0112499	0.0101438	0.0154915	0.0151445	0.0109359	0.0114331	0.0138085	0.0220263	0.0281675	0.0486851	0.0438417	0.0465364	0.057441	0.0650499	0.0647699	0.0848482	0.084183	0.127709
