 	o	l	o	m	b	i	m	ó	o	d	z	á	á	m	á	m	b	ω	n	y	í	i	</S>
le	0.0143789	0.0208573	0.0186798	0.0151529	0.0143549	0.0232761	0.0248686	0.0356009	0.0236453	0.0352778	0.032413	0.0682616	0.0586595	0.050197	0.102413	0.0497341	0.055339	0.0505825	0.0557055	0.055658	0.0732752	0.0635979	0.058071
poisson	0.0211978	0.0424786	0.0619856	0.0732247	0.0456436	0.0731932	0.0343239	0.0351294	0.0247949	0.0508782	0.0468545	0.0422798	0.0562404	0.0659655	0.0872112	0.0804362	0.050777	0.0242247	0.0219582	0.0259483	0.019676	0.00938369	0.00619457
olombi	0.0371247	0.0289904	0.0268415	0.02956	0.0317373	0.0568731	0.0699948	0.0487874	0.0508618	0.0455067	0.0438987	0.0574021	0.0538906	0.0715622	0.096455	0.0718621	0.0508592	0.0306067	0.0285178	0.0236631	0.0141013	0.0198899	0.0110135
se	0.0513512	0.0539554	0.0583553	0.0576228	0.0522317	0.0536956	0.0523116	0.034015	0.0377994	0.0356745	0.0301314	0.0232054	0.0327335	0.03745	0.0493838	0.0491999	0.0445581	0.0343477	0.0287185	0.0321026	0.0309568	0.0379685	0.0822314
nourrit	0.0485809	0.0381437	0.0392372	0.0347565	0.0229699	0.0278557	0.0148391	0.0167184	0.0192908	0.0283758	0.0275872	0.0395506	0.0442518	0.058692	0.100266	0.12099	0.060341	0.0529054	0.0389444	0.0656807	0.0361288	0.026428	0.0374664
de	0.100556	0.0555336	0.0430754	0.0384043	0.0264177	0.0338821	0.0375439	0.040297	0.0654261	0.0952069	0.104328	0.0775117	0.064635	0.0322751	0.0232296	0.0183263	0.0208799	0.0252391	0.0217509	0.0221433	0.013603	0.0131817	0.0265537
petites	0.100137	0.0465779	0.0348231	0.0344244	0.0244624	0.0316943	0.0282862	0.0251832	0.0323716	0.0337442	0.0266137	0.0278086	0.0323279	0.0368782	0.0393104	0.0357173	0.036225	0.0954184	0.0659021	0.0721402	0.0578556	0.0280299	0.0540686
fourmis	0.193811	0.131512	0.0871392	0.0598699	0.0277596	0.0207907	0.00737079	0.00610014	0.00706143	0.00621148	0.00622798	0.00450592	0.00532699	0.00402699	0.00532981	0.0153715	0.0137931	0.0324109	0.0310975	0.0740331	0.0580467	0.0544608	0.147742
noires	0.151361	0.127672	0.0875904	0.0473895	0.0189165	0.0168405	0.0072552	0.00760513	0.00938262	0.00721051	0.00816877	0.00648154	0.00770847	0.00671616	0.00530081	0.0126699	0.0121819	0.0242003	0.0284803	0.0589344	0.0574438	0.0784554	0.212034
</S>	0.086879	0.0621036	0.0510442	0.0270704	0.0165445	0.0125655	0.0120391	0.0138873	0.00990346	0.00794355	0.00640579	0.00631135	0.00516436	0.0056179	0.008896	0.0272646	0.0503574	0.0782064	0.0671857	0.0661111	0.0786408	0.084874	0.214984
