 	n	g	á	í	m	i	s	á	á	o	l	á	n	g	á	m	w	á	n	a	w	ó	m	é	y	u	ú	e	b	é	</S>
j'	0.16801	0.464506	0.247627	0.0483478	0.00244713	0.00137327	0.00111405	0.00153425	0.00179913	0.00302046	0.00269082	0.00299634	0.00329787	0.00206855	0.00290752	0.00295268	0.00320623	0.00266275	0.00290211	0.00242362	0.00287961	0.00265581	0.00275308	0.00239943	0.00277545	0.0027029	0.00316665	0.00336494	0.00302221	0.00303448	0.00335785
en	0.0346387	0.0122574	0.00906638	0.00749852	0.0166225	0.0124621	0.0544825	0.0591385	0.0451203	0.0613176	0.0723438	0.0757411	0.0662235	0.069384	0.0638625	0.0318728	0.0753564	0.0455609	0.0263186	0.0136551	0.0112987	0.00875922	0.0100208	0.0185851	0.0166267	0.0155424	0.0132333	0.0127318	0.00703564	0.0144597	0.0187831
ai	0.0675432	0.0556082	0.053302	0.0612622	0.0731499	0.034525	0.0298776	0.0332175	0.0398388	0.0292739	0.0308104	0.0260986	0.0277467	0.0135228	0.021117	0.0180998	0.0139072	0.0213144	0.0228007	0.0173192	0.0179989	0.0194083	0.0160077	0.0185794	0.0221655	0.0262908	0.0379279	0.0292977	0.0333596	0.0304021	0.0582271
marre	0.0617932	0.0296521	0.0259649	0.0342991	0.0404345	0.0375442	0.0462222	0.0386451	0.0202417	0.0176711	0.0294316	0.0375239	0.0507762	0.0702844	0.052708	0.0355347	0.0512199	0.0293477	0.0274614	0.0158716	0.0152917	0.0201927	0.0201569	0.0292688	0.0297682	0.0312408	0.0198637	0.0205364	0.0190153	0.0185988	0.0234395
du	0.0205874	0.0159656	0.0136172	0.0110532	0.0206938	0.0171842	0.041041	0.037223	0.0347606	0.0366318	0.0402803	0.0463752	0.0414483	0.0556689	0.0404083	0.0583871	0.0392974	0.0418518	0.0574106	0.059157	0.03982	0.0224027	0.0234011	0.0180207	0.0165469	0.0176893	0.0200383	0.0214224	0.0254293	0.0284081	0.0377786
mauvais	0.0142005	0.0123232	0.011208	0.0144494	0.0170779	0.020252	0.0318725	0.038687	0.0431642	0.0312776	0.0351166	0.0358827	0.0287498	0.0284211	0.0228107	0.0195445	0.0156985	0.0170951	0.0213318	0.0179335	0.016481	0.0201824	0.0243042	0.0272686	0.0251235	0.040131	0.0363236	0.0575364	0.069478	0.0873376	0.118737
comportement	0.00818784	0.00979354	0.00895012	0.00951444	0.0169082	0.024889	0.037797	0.0480335	0.0355625	0.0292091	0.033122	0.0337817	0.0346686	0.0384521	0.0402554	0.0413275	0.0178528	0.0136557	0.0144761	0.00934471	0.0181867	0.0269534	0.0281585	0.0550567	0.0331279	0.0463447	0.0302452	0.0621267	0.0340299	0.076146	0.0838423
de	0.0198011	0.0160322	0.00940544	0.0113344	0.0115946	0.0229538	0.0237724	0.0296091	0.0449723	0.0358213	0.0352028	0.0349286	0.0213656	0.0219946	0.0232552	0.0410011	0.0180569	0.0188627	0.0221726	0.0272106	0.0206659	0.0417321	0.0536535	0.0322395	0.0309484	0.0302119	0.0330579	0.0361102	0.0483089	0.066322	0.117402
cet	0.0334387	0.0219343	0.025312	0.0207826	0.0184229	0.0186075	0.017273	0.0180801	0.0144011	0.0140241	0.0143129	0.0128264	0.0129497	0.0152976	0.0152641	0.0337583	0.0189001	0.0203043	0.0215674	0.0292369	0.0391637	0.0422845	0.0528907	0.0418003	0.0483969	0.0508195	0.0569004	0.0617155	0.0679607	0.0683772	0.0729968
enfant	0.0300608	0.0285713	0.0274493	0.0279044	0.0182944	0.0111362	0.0122104	0.0163783	0.0153512	0.012624	0.017405	0.0191423	0.0209727	0.0240028	0.0191542	0.0295336	0.0253263	0.0195658	0.0197749	0.0224769	0.0288093	0.0293549	0.0343968	0.0288611	0.0331713	0.0397552	0.0446528	0.065276	0.0847147	0.0916181	0.102055
</S>	0.0582675	0.0296253	0.0322209	0.028996	0.0231993	0.0178503	0.0199225	0.0193518	0.0157246	0.0150202	0.0197933	0.0198539	0.0214239	0.0240213	0.0233797	0.0226232	0.0260417	0.0239484	0.0245817	0.0263805	0.0404878	0.0281873	0.023878	0.023485	0.0275455	0.0370865	0.0438955	0.0533059	0.0690881	0.069991	0.0908232
