 	y	é	k	á	s	i	y	ó	m	b	á	n	g	é	y	í	i	y	ó	s	á	á	</S>
celles-ci	0.0230467	0.0310291	0.022767	0.0195066	0.0182421	0.0295736	0.0513074	0.0519298	0.0645936	0.0781659	0.0849209	0.0772283	0.0827677	0.0526955	0.0286661	0.0365308	0.0318174	0.0266139	0.0312544	0.0410052	0.0355132	0.0481101	0.0327147
sont	0.250297	0.112996	0.0694331	0.0733164	0.0623223	0.0479152	0.0386734	0.0251634	0.0227762	0.0214144	0.0162734	0.0149809	0.016719	0.0143386	0.0184645	0.0277801	0.0263984	0.034062	0.0277187	0.0223248	0.00515127	0.0220163	0.029465
des	0.167343	0.124591	0.0912217	0.0677037	0.0646942	0.0524573	0.0322425	0.0236268	0.0325688	0.0258178	0.0160628	0.0124787	0.0203613	0.0325387	0.0555691	0.0356701	0.0374017	0.0228834	0.0215264	0.0196863	0.00763955	0.0178357	0.0180788
feuilles	0.0624751	0.0721997	0.0601977	0.0353407	0.0270653	0.0185012	0.0200287	0.0192353	0.0206984	0.0151751	0.0248378	0.0205748	0.0581273	0.0492379	0.0803781	0.172724	0.0713782	0.0543488	0.0219097	0.0266492	0.0123004	0.0235145	0.033102
de	0.0403588	0.0436283	0.0627096	0.0779488	0.0618313	0.0537866	0.0313202	0.0236217	0.0177835	0.0180071	0.0150874	0.0132546	0.016545	0.0182141	0.0182647	0.0192705	0.0289461	0.0427773	0.0390242	0.0544156	0.0458769	0.071521	0.185807
manguier	0.051317	0.0384996	0.0387166	0.0436513	0.0464264	0.0336674	0.0280982	0.0271074	0.0284515	0.0323657	0.0332517	0.0279733	0.0264332	0.0249643	0.0414527	0.0419367	0.0457563	0.0471119	0.0488579	0.0642089	0.059242	0.0773586	0.0931516
celles-là	0.0634849	0.0416196	0.03278	0.0277367	0.029511	0.0273567	0.0251816	0.0204606	0.0189411	0.0213388	0.0361165	0.0373858	0.0423927	0.0434047	0.0639167	0.0621683	0.0644907	0.0585539	0.0452027	0.0473949	0.0630094	0.0588435	0.068709
sont	0.0348274	0.0270026	0.0366789	0.0342927	0.0299839	0.0350136	0.0403028	0.0425702	0.0380099	0.0399271	0.039074	0.0240813	0.0175284	0.0166036	0.0364042	0.0476717	0.04405	0.0369068	0.0426015	0.0400046	0.0643615	0.0669903	0.165113
du	0.0646731	0.0387938	0.0383097	0.0303944	0.0245583	0.0179833	0.0189115	0.0183142	0.0183069	0.0219072	0.0286388	0.0331033	0.0370619	0.0521773	0.0655816	0.0576586	0.0538209	0.0402202	0.0668035	0.0562415	0.0886837	0.0406991	0.0871573
safoutier	0.0529446	0.0268955	0.0248335	0.0226576	0.0192788	0.0136373	0.0137665	0.0147442	0.00863834	0.00637574	0.0068121	0.00791928	0.00932784	0.0142798	0.0173316	0.0188336	0.0456723	0.0574898	0.0886496	0.0732815	0.125426	0.116069	0.215136
</S>	0.147699	0.0805229	0.0591226	0.0522979	0.0732557	0.0451363	0.0297826	0.0284375	0.0219193	0.0142608	0.0168891	0.0164467	0.0151858	0.0153448	0.0197911	0.0258107	0.032072	0.0305144	0.0315471	0.0326663	0.0456252	0.0429208	0.122751
