 	i	b	a	a	d	í	í	d	í	n	y	i	n	g	a	l	a	n	y	i	n	g	a	t	s	i	n	a	í	m	i	w	é	s	á	m	w	á	s	í	</S>
cet	0.0144287	0.0125982	0.00925611	0.00856489	0.00802207	0.00809533	0.01096	0.0298518	0.0437601	0.0403153	0.0256039	0.0236522	0.0281922	0.0200095	0.0380847	0.0376046	0.0243574	0.0480759	0.0250465	0.0268292	0.0207575	0.0456087	0.0410547	0.0251692	0.0289853	0.0262147	0.023228	0.0151365	0.0142957	0.0181626	0.0155045	0.0124954	0.0217063	0.0228394	0.0322933	0.0235492	0.0183795	0.0343771	0.0242636	0.0309793	0.0216909
homme	0.080986	0.0829771	0.119887	0.267801	0.208982	0.0333489	0.00854316	0.00359852	0.00613478	0.00486569	0.00204257	0.00161541	0.000843213	0.000760318	0.00123658	0.000504666	0.00121854	0.00095973	0.000548132	0.000524501	0.00214769	0.00169837	0.00506517	0.0093824	0.00805468	0.00967475	0.0395916	0.0147658	0.00733556	0.0113216	0.00840429	0.00770047	0.00501702	0.0118841	0.00977113	0.00795712	0.00708881	0.00155442	0.00143699	0.00220594	0.000564281
est	0.0751208	0.0287529	0.0407092	0.0495266	0.0486213	0.0487443	0.0643347	0.05693	0.0258196	0.0186588	0.00899267	0.0122872	0.0127295	0.0095629	0.00965683	0.00717763	0.0089878	0.0183323	0.027457	0.023372	0.0519617	0.0364189	0.0281935	0.0167444	0.0147949	0.0137335	0.0159315	0.0253759	0.019448	0.0281858	0.0155452	0.0129992	0.0206278	0.0242493	0.0310097	0.015487	0.00687113	0.0111353	0.00429441	0.00941312	0.00180555
accablé	0.0167475	0.0446855	0.0450639	0.0350348	0.0340564	0.0189882	0.0275523	0.0165681	0.0107242	0.0104492	0.0106132	0.0117828	0.0119855	0.0121185	0.00903243	0.00740519	0.0122736	0.0165809	0.0229995	0.0183122	0.0251831	0.0228925	0.0254633	0.0473745	0.0590761	0.0697364	0.0765763	0.06216	0.024971	0.0345818	0.018388	0.00796182	0.0122506	0.00938137	0.00870096	0.0166434	0.013846	0.0133764	0.0117586	0.0281236	0.0185803
de	0.0191555	0.0158904	0.0103385	0.0125821	0.0124379	0.0118314	0.0185369	0.0221	0.0220292	0.0179054	0.0112184	0.0195663	0.0178291	0.0162005	0.0267036	0.0206026	0.0300329	0.02329	0.0210327	0.0381497	0.0862402	0.0414295	0.0437451	0.0732239	0.0449307	0.0381741	0.0378488	0.0193461	0.00548895	0.0122528	0.00425241	0.0103522	0.00655609	0.0121144	0.0150616	0.0408735	0.0220522	0.0225517	0.0262972	0.0229081	0.0268674
tristesse	0.0207143	0.024331	0.0186834	0.0249433	0.0277216	0.0393072	0.0296976	0.0288961	0.0161464	0.0186434	0.00661985	0.0152723	0.0131827	0.011059	0.0246504	0.0158232	0.0134932	0.011068	0.0129725	0.0253951	0.034066	0.0346969	0.0493709	0.0478833	0.0467737	0.0420421	0.0457665	0.0355157	0.0110739	0.0218004	0.00703192	0.00979718	0.00711684	0.0109024	0.0199902	0.0309485	0.0309912	0.0203816	0.0226038	0.0326045	0.040022
parce	0.0230675	0.0155197	0.0181167	0.0115314	0.0157793	0.0166158	0.0142196	0.0119326	0.00805775	0.00785316	0.00425391	0.0114946	0.0121666	0.00622064	0.0108549	0.00833552	0.00716394	0.0100497	0.0120685	0.0160474	0.027018	0.02618	0.0310386	0.0430102	0.0387332	0.027493	0.0433306	0.0805836	0.0258988	0.0620718	0.0239194	0.0241555	0.0190382	0.0274178	0.0363944	0.0366525	0.0437258	0.0286546	0.0428416	0.0275417	0.0429513
qu'	0.0311376	0.0172837	0.0187087	0.0159274	0.0223634	0.0280533	0.0199895	0.0119595	0.00768516	0.00989486	0.00635658	0.0103613	0.0101847	0.00756892	0.00973217	0.00873918	0.00991402	0.0216186	0.0258535	0.0256086	0.0386688	0.0253848	0.0355874	0.0427961	0.0570704	0.0508447	0.0438823	0.0408583	0.0283968	0.0397581	0.0305067	0.0194709	0.0240022	0.0247405	0.0155983	0.0212581	0.0222808	0.0208213	0.0323445	0.0203249	0.0464636
il	0.0715231	0.0418681	0.0400608	0.027009	0.0182011	0.011251	0.0104044	0.00446484	0.00179789	0.00232075	0.00283372	0.0042288	0.00483316	0.00524415	0.00621322	0.00682712	0.00609129	0.00909835	0.0132683	0.0130043	0.0123993	0.00776431	0.0115713	0.0210639	0.047807	0.0515278	0.0378946	0.0392845	0.0264963	0.0306204	0.0316249	0.027853	0.0330471	0.0341258	0.0304734	0.0312903	0.0272871	0.0377828	0.0399649	0.031773	0.0878047
a	0.0857417	0.0597836	0.0292977	0.00801997	0.010759	0.0058265	0.00725319	0.00283022	0.00133504	0.00247997	0.00468889	0.00530496	0.00745748	0.00997109	0.00880603	0.0114452	0.0105681	0.0129906	0.0228908	0.0157082	0.0149463	0.0112686	0.0176011	0.0360506	0.0313958	0.0256322	0.0229854	0.0235537	0.0136434	0.0258877	0.0234019	0.0260955	0.031414	0.0330197	0.0330375	0.0292777	0.0337393	0.0352276	0.0414982	0.049196	0.11797
perdu	0.108667	0.0389126	0.0186072	0.00539254	0.00393197	0.00268075	0.00294433	0.00202266	0.0014018	0.00260687	0.00623148	0.00584978	0.00741326	0.00828977	0.00511574	0.00588315	0.0100381	0.0113561	0.0222291	0.0133794	0.0205136	0.0143319	0.0167686	0.0376814	0.0282661	0.0263416	0.0261305	0.0251326	0.0121874	0.0232283	0.0170152	0.0161743	0.0280969	0.0372182	0.0280878	0.0295756	0.0309227	0.0454313	0.0615261	0.0509759	0.14144
sa	0.128258	0.0419673	0.0239876	0.00587987	0.00473994	0.00206377	0.00218047	0.00169105	0.00161898	0.00245824	0.00528597	0.00443373	0.00599165	0.00614713	0.00364339	0.00417616	0.00816046	0.00973851	0.0185071	0.0108891	0.0254044	0.0153204	0.0175306	0.0302025	0.0221434	0.0164364	0.018089	0.0129075	0.0115703	0.0187339	0.0177005	0.014597	0.031334	0.0419886	0.0281449	0.0403167	0.0395682	0.0431019	0.0785043	0.065625	0.118962
femme	0.083772	0.0334193	0.0174509	0.00746121	0.00646787	0.0036184	0.00720103	0.00458773	0.0061147	0.00742395	0.0135417	0.0140868	0.0132853	0.0109268	0.00650034	0.00457462	0.00756344	0.00915566	0.01566	0.00788301	0.0267145	0.0169898	0.0237041	0.0371233	0.0238991	0.0239136	0.0333762	0.0239533	0.0143337	0.0231665	0.0105654	0.0053353	0.0129256	0.0264581	0.0186514	0.0257557	0.0277284	0.0316542	0.0504638	0.0768654	0.185728
</S>	0.0450276	0.0323206	0.0225018	0.00350977	0.00435405	0.00144801	0.00196137	0.00155513	0.00213702	0.00301759	0.0083195	0.00502827	0.00613084	0.00615616	0.00278356	0.00263091	0.00590246	0.00695345	0.0115208	0.00645694	0.0200297	0.0102035	0.0112616	0.019679	0.0133214	0.0118684	0.0183652	0.0123738	0.0108109	0.0240891	0.0171837	0.0164094	0.0342808	0.0593612	0.0407164	0.0572225	0.0562965	0.0563039	0.0874194	0.0809828	0.162105
