 	a	k	á	n	i	b	á	m	b	o	n	d	z	i	á	m	i	d	z	w	á	o	l	o	o	s	ó	n	g	ó	n	d	z	a	</S>
les	0.102621	0.0647366	0.0675302	0.0222767	0.0148944	0.0229339	0.0102374	0.0188696	0.0243305	0.0249579	0.0349509	0.0545673	0.0456563	0.0351371	0.0379608	0.0424174	0.0317195	0.0253797	0.0273901	0.0148827	0.0323692	0.0404874	0.0285449	0.0210729	0.0113305	0.00949798	0.0101751	0.00952775	0.015634	0.0164416	0.0194952	0.0195049	0.0154294	0.0149273	0.012112
chefs	0.0265198	0.03177	0.0460312	0.061922	0.0915918	0.0944125	0.0739082	0.0820475	0.0487766	0.0394979	0.0432057	0.0359845	0.022849	0.0232741	0.0138501	0.0267218	0.0176376	0.0150296	0.00968688	0.0171031	0.0139062	0.0104371	0.0133552	0.0151279	0.0191269	0.013931	0.0103597	0.0137706	0.0117942	0.00929634	0.0127171	0.0132469	0.00948134	0.00811629	0.0035134
coutumiers	0.0396587	0.0374306	0.0303313	0.0312497	0.0217054	0.0187526	0.0215886	0.0257183	0.0372051	0.0594119	0.0909846	0.0902281	0.0663371	0.0645358	0.0578394	0.0318659	0.0349874	0.0288635	0.024222	0.028943	0.0138257	0.0103161	0.0115915	0.00998939	0.0111882	0.00855214	0.00532168	0.0069004	0.0123707	0.0127094	0.0146116	0.0142545	0.011843	0.00935414	0.00531239
du	0.0119068	0.0114278	0.0157214	0.0143148	0.0142633	0.0112338	0.0169288	0.0204535	0.0284468	0.0582327	0.0542699	0.0429412	0.044803	0.0392208	0.0524823	0.0493143	0.0519313	0.05177	0.0327197	0.0558938	0.0206579	0.0137027	0.0155266	0.0148191	0.014921	0.0183387	0.0162422	0.0116634	0.0270161	0.0212043	0.0232163	0.0227961	0.0310962	0.0328697	0.0376537
district	0.0287149	0.0256082	0.0252677	0.0278088	0.035449	0.047947	0.0400841	0.0331157	0.0232061	0.0258803	0.0217176	0.0263769	0.0182744	0.0186862	0.0747635	0.098995	0.0493987	0.041698	0.0235299	0.0191912	0.0089457	0.010409	0.016193	0.0134066	0.0130373	0.0145107	0.0174342	0.0194866	0.0168355	0.0175057	0.0206012	0.0149451	0.0321966	0.0256396	0.0531397
de	0.0579832	0.026511	0.0177917	0.0194819	0.0201718	0.0230738	0.0265528	0.027989	0.0305646	0.0345667	0.0413267	0.0265368	0.0332488	0.0339456	0.0340333	0.0427098	0.0224654	0.0221121	0.00766649	0.0302424	0.0106562	0.0100494	0.0159683	0.0110817	0.0133887	0.029981	0.0188649	0.0196223	0.0140245	0.0177328	0.0180983	0.0281335	0.0396668	0.0396121	0.134146
boundji	0.0128125	0.0115717	0.00963191	0.00959005	0.0192184	0.024051	0.0225966	0.0219692	0.0266606	0.029465	0.0354969	0.032948	0.0354666	0.0348844	0.0444633	0.0603449	0.0467386	0.0475945	0.0294204	0.0376657	0.0138509	0.0166167	0.0225066	0.0181649	0.0196031	0.0278743	0.0227903	0.0249163	0.0278859	0.0351499	0.0345157	0.0332014	0.0356941	0.0317783	0.0428614
sont	0.020053	0.0194579	0.0192486	0.0189169	0.0205585	0.0224905	0.0211739	0.019427	0.0212394	0.019178	0.0144751	0.0139288	0.0113954	0.00663653	0.0114082	0.00905419	0.0130467	0.0173865	0.0186565	0.0291282	0.0165401	0.0174771	0.02869	0.0243168	0.0305817	0.0381937	0.0484809	0.0494316	0.0453448	0.0456708	0.052984	0.0551279	0.0623385	0.0653613	0.0726009
partis	0.0158852	0.0161336	0.0173586	0.0186701	0.0187589	0.0260745	0.0205138	0.0121019	0.0103692	0.0080233	0.0107358	0.00922619	0.00927126	0.00913718	0.0129211	0.0168916	0.0161155	0.0181252	0.0194645	0.0327137	0.0244172	0.0299507	0.0326531	0.0339168	0.0398018	0.0442094	0.0473674	0.0496321	0.04861	0.0513583	0.0542548	0.0548254	0.0541331	0.0599439	0.0564347
en	0.0238663	0.0233951	0.0235637	0.0231302	0.0243183	0.027365	0.0243893	0.017969	0.0148068	0.0097227	0.00956477	0.00832673	0.00770695	0.00474342	0.00684121	0.00687095	0.00687734	0.0105611	0.0123971	0.0224554	0.0105066	0.0141179	0.0255635	0.0210758	0.0303323	0.0364979	0.0503923	0.045983	0.055018	0.0568944	0.0611581	0.0621776	0.0705205	0.0671085	0.0837822
