 	e	k	ώ	b	h	í	l	í	y	é	é	m	i	k	ώ	b	h	ώ	m	w	á	n	a	w	ó	a	d	í	l	a	n	d	z	a	a	</S>
la	0.00701542	0.0103111	0.0132745	0.0182947	0.0122214	0.00849353	0.015432	0.0214902	0.0254471	0.0280581	0.032031	0.040686	0.0445633	0.0414164	0.0194023	0.0172764	0.0486898	0.0476926	0.0593818	0.0300523	0.013558	0.0184695	0.0234539	0.0147651	0.0226572	0.0155085	0.0144458	0.02179	0.0191716	0.0407011	0.0571844	0.0579316	0.0370754	0.041608	0.0305319	0.0299179
manière	0.0109651	0.0118497	0.0190705	0.0209369	0.0230718	0.0297146	0.027392	0.0163155	0.0254285	0.0238467	0.0264737	0.071141	0.0246785	0.0301227	0.0235814	0.0290165	0.0453686	0.0199384	0.0218214	0.0713595	0.0307581	0.0437299	0.0288821	0.021461	0.0118392	0.0280414	0.0206078	0.0471661	0.0229711	0.0639858	0.0606402	0.0212966	0.00677346	0.00816944	0.00468978	0.00689511
dont	0.127593	0.0456677	0.0252336	0.0198976	0.0289851	0.0306755	0.0221682	0.00874231	0.00819048	0.0106772	0.0174082	0.0278693	0.0179388	0.0132907	0.0123323	0.0219444	0.0224247	0.039754	0.0429462	0.0427625	0.0473335	0.0343153	0.0359306	0.0719121	0.0315292	0.0201364	0.0211429	0.0119021	0.0143671	0.00903676	0.0102372	0.0136549	0.00814068	0.0162588	0.0223821	0.0452187
cet	0.0437029	0.0633685	0.0679803	0.0432288	0.032246	0.0237534	0.0197902	0.0159537	0.0160185	0.0182235	0.030199	0.0334447	0.026018	0.00717782	0.00803348	0.013522	0.0152352	0.0218012	0.0128243	0.0156413	0.0279436	0.0290607	0.0337793	0.046256	0.0458607	0.017403	0.0354095	0.0238214	0.0411477	0.0272526	0.0360491	0.0222104	0.0135038	0.015644	0.0183013	0.0381942
enfant	0.0476552	0.0463531	0.036661	0.0384211	0.0578818	0.0789948	0.0455321	0.0402352	0.0353988	0.0233883	0.0179095	0.0206048	0.0145619	0.0092958	0.016088	0.0130126	0.00958902	0.00746186	0.0103926	0.0161997	0.0208046	0.0248345	0.0139108	0.0132184	0.0149038	0.0222371	0.0263143	0.0280941	0.0398249	0.0262234	0.0276696	0.0273013	0.0160303	0.0312439	0.0298846	0.0518672
est	0.0761755	0.0586818	0.0617038	0.0702743	0.0966988	0.0866861	0.0518418	0.047928	0.0278663	0.015533	0.0112836	0.0149264	0.00474268	0.00443145	0.00732617	0.00740105	0.00517965	0.00489895	0.00358147	0.00700688	0.0167578	0.0145198	0.0066714	0.00680656	0.0101329	0.0136866	0.024221	0.0222259	0.0227638	0.0139696	0.0187398	0.0164687	0.0105353	0.0236831	0.030704	0.0839461
fatigué	0.0792747	0.0488176	0.0328106	0.0358254	0.0433392	0.0690501	0.0373882	0.0388776	0.0337141	0.0279768	0.0258985	0.0264878	0.024922	0.0254529	0.0328813	0.0341487	0.0213773	0.02316	0.0168095	0.017228	0.030483	0.0158773	0.0112408	0.00349946	0.00259759	0.00456304	0.00756786	0.0229267	0.00907573	0.0135521	0.0194629	0.0185178	0.0227045	0.0336569	0.0340125	0.0548215
montre	0.100167	0.060137	0.052553	0.0522932	0.0568312	0.0609589	0.0509356	0.0508562	0.0382074	0.0307663	0.0207996	0.0254958	0.00962313	0.0119476	0.0143972	0.0109216	0.0138929	0.0137672	0.0101294	0.0175436	0.0194961	0.0186517	0.0105084	0.00491688	0.00585068	0.0105553	0.0150297	0.0153465	0.00896305	0.0087103	0.0125074	0.0123313	0.0126229	0.0232909	0.0486836	0.0703113
qu'	0.0405955	0.021168	0.0231158	0.032919	0.0496609	0.0741974	0.105935	0.124872	0.115274	0.063281	0.039617	0.0330817	0.0237769	0.016009	0.0188954	0.0125817	0.0109708	0.0141973	0.0200431	0.00785021	0.0172458	0.0190916	0.0123569	0.0116472	0.0121865	0.00542043	0.00642267	0.00628323	0.00573541	0.00297808	0.00485622	0.00342456	0.00503634	0.00657841	0.00944059	0.0232542
il	0.109057	0.0794786	0.0717898	0.0518617	0.0444976	0.0383325	0.0400967	0.0391097	0.0430294	0.0271453	0.0220883	0.0187991	0.0134333	0.0125944	0.0142152	0.00806007	0.0127246	0.0127061	0.0267318	0.0140621	0.0209066	0.0368598	0.0139992	0.0142311	0.0194663	0.0100339	0.0103443	0.0105603	0.0136957	0.00750785	0.00924097	0.00864035	0.00873519	0.0136502	0.0237642	0.0785507
a	0.153621	0.0992323	0.0666862	0.0486786	0.0482654	0.0266878	0.0154095	0.0139976	0.0121188	0.0171039	0.0171652	0.0138673	0.00850157	0.0119977	0.0122975	0.0157051	0.0207565	0.0192971	0.0160035	0.0202196	0.0260775	0.0316687	0.0074518	0.00274139	0.00181165	0.00336451	0.0063743	0.0200097	0.00597072	0.0155764	0.0174672	0.0200978	0.0183861	0.0266869	0.0351679	0.103535
vraiment	0.340145	0.123728	0.0560044	0.0359977	0.0269657	0.0118236	0.0101152	0.00792019	0.00642121	0.00676484	0.00711195	0.00655633	0.00586555	0.00830729	0.00855642	0.0135274	0.0160136	0.02038	0.0118917	0.0199018	0.0203765	0.0190857	0.0105187	0.00266207	0.00343769	0.00328698	0.00417095	0.0067438	0.00375186	0.00604957	0.00798893	0.0102966	0.0105395	0.0147524	0.0242227	0.108118
faim	0.104672	0.0640704	0.0257677	0.0214651	0.0226262	0.0176531	0.0135941	0.0178743	0.0176568	0.0160966	0.0181256	0.0156328	0.00665246	0.0100581	0.00945031	0.0135885	0.0152582	0.0152948	0.0117009	0.0192417	0.0192319	0.0221314	0.00773984	0.00205592	0.00366714	0.00821847	0.0113787	0.0183565	0.0078884	0.0223603	0.0239731	0.032057	0.0300279	0.040208	0.0404413	0.253784
</S>	0.153412	0.099291	0.0702944	0.0542646	0.0501186	0.0482531	0.0456305	0.0428309	0.0312511	0.0173404	0.0226854	0.0218172	0.00809054	0.00747661	0.00604901	0.00599007	0.00562502	0.00613386	0.00656891	0.00798597	0.0141071	0.0240465	0.0051694	0.0038685	0.00510401	0.0145018	0.00870017	0.0139422	0.0145197	0.0165061	0.0163054	0.0189092	0.017658	0.0214526	0.0298811	0.0642186
