 	ω	b	v	έ	l	a	w	a	á	d	z	a	i	t	á	a	l	á	b	á	n	a	b	á	a	b	h	í	n	g	á	w	a	</S>
son	0.0122871	0.015689	0.0139838	0.0240262	0.0418079	0.0350488	0.0344621	0.0462884	0.0420997	0.0441748	0.0675497	0.0448474	0.0270316	0.0322023	0.0261162	0.029474	0.0199998	0.0238029	0.0216559	0.0219906	0.0208704	0.0214127	0.0187714	0.0193251	0.0223162	0.0210363	0.0277272	0.0324516	0.0532143	0.0412846	0.0336463	0.0225046	0.0198158	0.0210855
bonheur	0.0154998	0.078317	0.0752705	0.0505465	0.0717098	0.0511565	0.0299545	0.0293125	0.0238265	0.0188559	0.0241464	0.0252108	0.0219612	0.0247765	0.0130274	0.0151731	0.0178737	0.031942	0.0253812	0.0346068	0.0298097	0.0337521	0.0212572	0.0187883	0.0406921	0.0144657	0.0492784	0.0282137	0.016067	0.0352451	0.019141	0.0093676	0.00429495	0.00107818
était	0.105108	0.0286589	0.0346062	0.0359973	0.0365268	0.0511898	0.0432349	0.0273378	0.0232348	0.0258263	0.0157013	0.0263446	0.0246468	0.0216952	0.0139598	0.0153137	0.0347311	0.0548319	0.03504	0.040863	0.0282784	0.0164101	0.0301317	0.0215281	0.0297139	0.0190336	0.0373063	0.0240349	0.0334989	0.0173382	0.0206768	0.00918713	0.0107584	0.00725568
d'	0.0187481	0.0200794	0.0291216	0.0226301	0.0229226	0.023967	0.0222358	0.0193557	0.0145284	0.0119296	0.0107046	0.00990052	0.00809242	0.0158304	0.0100699	0.012425	0.0220377	0.0223433	0.0226878	0.0220133	0.0342269	0.0382844	0.0324443	0.0523385	0.0484427	0.0550067	0.0565763	0.0618638	0.0445836	0.0382926	0.0612419	0.0391305	0.0397614	0.0361833
avoir	0.02138	0.0176331	0.0163773	0.0135101	0.0169954	0.0204168	0.0177669	0.0155528	0.0168741	0.0195643	0.0284576	0.028301	0.0355795	0.0376071	0.0165829	0.0213466	0.035192	0.0256888	0.0307954	0.0244263	0.0326087	0.0487399	0.0326508	0.0439156	0.0698726	0.0573995	0.040317	0.0571055	0.0244331	0.0253116	0.031424	0.0261828	0.0262017	0.0237892
tous	0.0620128	0.0452499	0.0441561	0.0368574	0.049129	0.0427022	0.0375409	0.0419737	0.042602	0.0444228	0.0433585	0.0304422	0.0293842	0.0244383	0.00780101	0.0065632	0.00969012	0.0164977	0.00822316	0.00808532	0.012349	0.018292	0.0306661	0.0288149	0.0270938	0.0281573	0.0265207	0.0235427	0.0196922	0.0230377	0.0250606	0.02615	0.033204	0.0462887
ses	0.0536802	0.0365989	0.0332386	0.0300341	0.0443072	0.043031	0.0288746	0.0319066	0.0276797	0.0187492	0.0208672	0.0246636	0.0281603	0.0199582	0.0156077	0.00901258	0.0205728	0.0321343	0.0210955	0.0243222	0.0307232	0.0301466	0.0340011	0.02983	0.0356746	0.0390316	0.0369461	0.0276658	0.0346529	0.0329956	0.0184211	0.0252612	0.0269831	0.0331728
enfants	0.047073	0.034831	0.0298979	0.0342798	0.025563	0.0156158	0.0131821	0.0138159	0.0118534	0.0165969	0.0197048	0.022442	0.0356226	0.0488377	0.043449	0.0444673	0.0494658	0.0309461	0.0480737	0.0409472	0.0333649	0.0171993	0.00582198	0.00613766	0.00600909	0.0127055	0.00602476	0.0213295	0.0106178	0.0204624	0.00575264	0.0393511	0.0660249	0.122534
autour	0.164307	0.0633077	0.0603083	0.0526006	0.0367465	0.0220466	0.0196527	0.0123422	0.0115026	0.0122021	0.0100739	0.0119653	0.0159564	0.0322087	0.0198145	0.0204869	0.0281122	0.0166034	0.0194511	0.0173261	0.0212898	0.0099798	0.00338832	0.00461174	0.005286	0.00874254	0.00712721	0.0201282	0.0112189	0.0216256	0.00887168	0.0395673	0.0568006	0.134347
d'	0.0365148	0.019938	0.0209318	0.0241214	0.0146259	0.0154472	0.0120682	0.0130025	0.012299	0.00871871	0.00896195	0.00638648	0.00547488	0.00741132	0.00600078	0.00557605	0.00989987	0.00883902	0.00911591	0.00828155	0.0174412	0.0196568	0.0199498	0.0304844	0.0240672	0.0552181	0.0308098	0.0788476	0.0551562	0.0567666	0.0683319	0.0927594	0.0911174	0.105778
elle	0.0407337	0.0256418	0.0242218	0.0213498	0.01242	0.00829261	0.00881794	0.00747161	0.00764209	0.00817243	0.00842551	0.00849778	0.00918379	0.0150881	0.0192224	0.0199964	0.0248479	0.0215645	0.023213	0.0225493	0.0274488	0.0270408	0.0251035	0.0292013	0.0263484	0.0405039	0.038855	0.0643718	0.0518534	0.0516214	0.0420692	0.0712429	0.0800701	0.0869169
</S>	0.127392	0.0559814	0.0365344	0.0333438	0.0175622	0.0070299	0.00970497	0.00684315	0.0049392	0.00620815	0.00290456	0.00378797	0.00466351	0.00944875	0.0138818	0.0154149	0.0132585	0.00837694	0.0116326	0.0143471	0.0143042	0.0105215	0.0133981	0.0145246	0.0235202	0.024656	0.0240177	0.0952498	0.0128258	0.036429	0.0291449	0.0665354	0.104497	0.12712
