 	e	k	y	ε	m	í	l	í	y	é	é	k	y	ε	m	í	m	w	á	n	a	w	ó	o	n	g	o	n	g	a	á	m	i	b	í	á	l	o	n	y	w	á	m	á	a	</S>
la	0.00572898	0.00914243	0.0115198	0.0111333	0.010978	0.0105313	0.0130793	0.0190898	0.0250262	0.0335006	0.0442895	0.0455877	0.0773867	0.0367891	0.0371279	0.0440277	0.0290732	0.0394427	0.0241994	0.0296934	0.0141984	0.0346684	0.0271587	0.0235962	0.0141294	0.0172722	0.011402	0.0124329	0.0115567	0.00641278	0.00612148	0.00626652	0.00488295	0.00631731	0.00631419	0.00758228	0.0104014	0.0151507	0.0250242	0.0258665	0.0216209	0.0303497	0.0291431	0.0327619	0.0255571	0.016465
manière	0.0205264	0.036767	0.0425648	0.0560162	0.0266297	0.0210734	0.0234173	0.0179084	0.0174789	0.0264574	0.0642649	0.0710431	0.0812683	0.0419499	0.0563243	0.0470239	0.0317956	0.0897141	0.0318358	0.0454411	0.00782243	0.0386197	0.0170703	0.00963267	0.004953	0.00362238	0.0045426	0.00292727	0.00643903	0.0043909	0.00252591	0.00140891	0.00490292	0.00230907	0.00365711	0.00434363	0.00307784	0.00475922	0.00247213	0.00399657	0.00264096	0.00297427	0.00251648	0.00446809	0.00238543	0.00204076
dont	0.0790591	0.0362326	0.0177995	0.0122955	0.00579573	0.00945455	0.00857065	0.00574101	0.00635246	0.00718177	0.0126696	0.0109081	0.012524	0.0177546	0.0265106	0.051581	0.0740005	0.126584	0.040268	0.030181	0.0123917	0.0292628	0.0259321	0.0199511	0.00930469	0.0069328	0.0138228	0.011541	0.0173707	0.0177497	0.0430475	0.0382973	0.0426429	0.0185885	0.0237824	0.0173744	0.0145075	0.00762249	0.00444558	0.00335091	0.00422197	0.00569272	0.00255037	0.00299141	0.00599115	0.00916913
sa	0.0124344	0.0150597	0.0164684	0.0147255	0.0180648	0.0137267	0.0159505	0.0127558	0.0115721	0.0170764	0.015658	0.0213167	0.0154398	0.0187455	0.0401258	0.0305896	0.0240876	0.0187174	0.0317451	0.0201848	0.0209172	0.0270168	0.046883	0.0689132	0.0326989	0.0434391	0.0297395	0.0247509	0.0285058	0.0101115	0.048381	0.025079	0.0334743	0.0401411	0.0200678	0.0243666	0.0182836	0.00768349	0.0115678	0.00403852	0.00565869	0.00447465	0.00565897	0.003554	0.00672331	0.0234264
gorge	0.0310897	0.0258552	0.0246005	0.0217634	0.0253883	0.0251087	0.0258268	0.0228163	0.0157556	0.0129266	0.00868457	0.0114106	0.0122987	0.0082904	0.0129937	0.0125715	0.0109689	0.01474	0.0148785	0.0181177	0.0138579	0.029725	0.0219944	0.0306614	0.00865869	0.0104584	0.0240796	0.0105768	0.0583026	0.0357889	0.0549272	0.0759946	0.0833327	0.0496649	0.0409653	0.0301098	0.015798	0.00870292	0.00564427	0.00260961	0.0038332	0.00431078	0.0025242	0.00301837	0.00650829	0.0118664
a	0.0454881	0.0330091	0.0279028	0.0269371	0.0176617	0.0174199	0.0146508	0.011881	0.0148784	0.0127172	0.00799637	0.00626523	0.00734708	0.00858897	0.016624	0.0175887	0.0142486	0.0107864	0.0221486	0.0157061	0.0166366	0.0173901	0.0342081	0.0489173	0.0376405	0.0252984	0.0516214	0.0425061	0.030654	0.0315969	0.0268068	0.0362595	0.0341291	0.0297958	0.0239438	0.0231904	0.0160853	0.0110587	0.0128733	0.00583184	0.00475012	0.00807747	0.006212	0.00498181	0.0106906	0.0589977
seché	0.014214	0.0109686	0.0154675	0.0145115	0.0180082	0.0222315	0.0177214	0.019015	0.0165255	0.0150545	0.0091928	0.0115582	0.0100896	0.00910332	0.00996806	0.0154031	0.0106902	0.00922327	0.018569	0.0108872	0.016925	0.00813652	0.0241197	0.0358539	0.0251416	0.0341924	0.0561926	0.0304969	0.0263367	0.0316282	0.0448817	0.0471331	0.0488285	0.0509044	0.0382411	0.0301586	0.0254376	0.0205774	0.0135892	0.0079739	0.00414903	0.0108431	0.010021	0.0107742	0.0160446	0.0530169
il	0.0304946	0.025046	0.0205114	0.0126902	0.00993042	0.0196746	0.017016	0.0152844	0.0201323	0.0164907	0.0152894	0.0129946	0.0155716	0.0179337	0.0242706	0.0359913	0.023438	0.0172944	0.0307131	0.0183409	0.0290227	0.00855595	0.0413753	0.047222	0.0439223	0.0378807	0.0484578	0.0475482	0.0129063	0.0148501	0.0128083	0.0102975	0.0137847	0.011996	0.00742103	0.00869358	0.0114461	0.0204865	0.0135053	0.00776477	0.0029171	0.00689165	0.00892496	0.00792217	0.0163668	0.107924
n'	0.0552074	0.027094	0.0187136	0.0159879	0.0175065	0.0138428	0.0121074	0.00815312	0.00655958	0.00815372	0.00785278	0.00789095	0.00553938	0.00489944	0.00708478	0.0101019	0.0120016	0.0118855	0.0222955	0.0154577	0.0184146	0.0171098	0.0279439	0.031029	0.0233836	0.0253898	0.0295419	0.0350702	0.0176045	0.0267075	0.0397244	0.0280856	0.0339274	0.0483802	0.0255174	0.0191327	0.0251092	0.0151637	0.0132297	0.0210979	0.0131349	0.0255453	0.0256929	0.0244975	0.0307359	0.070495
a	0.0842759	0.0504831	0.0294853	0.0171731	0.00841615	0.0117636	0.0141366	0.00837927	0.00769592	0.00827644	0.0089658	0.00784012	0.00576822	0.00709658	0.00929916	0.0137851	0.0133068	0.0141625	0.0279357	0.0186702	0.0160065	0.00786609	0.0361894	0.0309653	0.026433	0.0239991	0.0256982	0.0375738	0.0108999	0.0208287	0.0238936	0.0193146	0.0268531	0.0379622	0.0187275	0.0202546	0.0262607	0.0175572	0.0117506	0.0122644	0.0114611	0.018595	0.0120974	0.0146022	0.02228	0.10275
