 	m	w	á	n	a	w	ó	a	d	í	l	a	p	ó	r	á	m	í	b	o	ó	</S>
ce	0.00645472	0.00471548	0.00643695	0.00422757	0.00444735	0.00260908	0.00347786	0.00448832	0.0154608	0.0453742	0.0429616	0.0901402	0.0903928	0.0616927	0.154037	0.135545	0.0801273	0.0695346	0.0391558	0.0331469	0.0602491	0.0453244
jeune	0.0563155	0.0643328	0.131277	0.126577	0.176516	0.130616	0.110224	0.0878327	0.0600536	0.0211836	0.0174596	0.00389944	0.00427699	0.00380647	0.00132447	0.00111249	0.000839579	0.000879712	0.000503338	0.000620643	0.000274296	7.52596e-05
garçon	0.0860394	0.0668216	0.078263	0.100589	0.122395	0.12053	0.039892	0.0748672	0.0473931	0.0283671	0.0453734	0.0395905	0.0127214	0.0243008	0.0126558	0.0130305	0.0110283	0.00779625	0.0110699	0.016193	0.0219984	0.0190839
a	0.110171	0.177756	0.113323	0.0457456	0.0201922	0.011804	0.0329996	0.0151751	0.00762042	0.0123805	0.0258387	0.0250982	0.0366032	0.0456552	0.0514828	0.0403184	0.0432257	0.0574854	0.0384392	0.0392104	0.0256612	0.0238147
une	0.1683	0.128887	0.0637854	0.0563433	0.0347693	0.0415589	0.0282606	0.0268106	0.0226562	0.0203057	0.0226313	0.0197431	0.0178945	0.0202366	0.0229251	0.0288699	0.0260519	0.0379038	0.0434869	0.0493771	0.0447948	0.0744084
plaie	0.0601491	0.0867856	0.0588764	0.0520067	0.0416959	0.0273687	0.0239188	0.0131884	0.0138919	0.0242399	0.0464295	0.026431	0.0557335	0.0569163	0.0404911	0.0399679	0.0416574	0.0415527	0.0479005	0.0478303	0.0556666	0.097302
à	0.0886656	0.112788	0.0535252	0.0702863	0.0308418	0.034231	0.0262757	0.0225639	0.0219171	0.0152068	0.0342852	0.0401331	0.0877631	0.0320435	0.0166049	0.0224201	0.0336031	0.0388586	0.047006	0.0371018	0.0397403	0.0941392
la	0.070502	0.0408398	0.0507984	0.0278478	0.0216587	0.0155438	0.0231894	0.0119958	0.0120999	0.00784478	0.0138161	0.0139292	0.0237701	0.0398477	0.0496557	0.047063	0.084724	0.0842458	0.0777276	0.092763	0.0669552	0.123182
tête	0.0737559	0.0575838	0.0585337	0.0365677	0.0183927	0.014056	0.0124486	0.00781465	0.00650597	0.00458434	0.00865241	0.0167695	0.0462518	0.0183989	0.0150868	0.0211581	0.0634156	0.0615138	0.081616	0.100675	0.11488	0.161338
</S>	0.164543	0.176535	0.122649	0.0562115	0.0309643	0.0321463	0.0256587	0.0208187	0.00810462	0.00401137	0.00800277	0.0135016	0.0235576	0.0366369	0.02796	0.0196629	0.033569	0.0260202	0.0268601	0.03983	0.0376538	0.0651017
