 	n	g	a	n	g	a	o	t	w	ε	r	ε	á	m	i	s	á	á	o	p	f	a	s	é	s	ε	l	ε	</S>
le	0.0497404	0.132442	0.166216	0.0564265	0.0577396	0.0471766	0.0240317	0.0247837	0.028858	0.0115724	0.0405208	0.0314914	0.0505202	0.0484293	0.0361902	0.0262461	0.0149697	0.019538	0.0215866	0.0180898	0.0159761	0.0140083	0.0117632	0.0085453	0.00666924	0.0068322	0.00656166	0.00627963	0.0167953
prophète	0.0605862	0.0473937	0.0454352	0.211467	0.0626817	0.123553	0.148945	0.0489132	0.0450443	0.0467215	0.0395029	0.0118431	0.0123553	0.0252992	0.0103307	0.00634209	0.004453	0.00319549	0.00490152	0.00500512	0.0060327	0.00449484	0.00653541	0.0045074	0.00747814	0.00381114	0.00212787	0.000548891	0.000493763
traditionnel	0.00751198	0.0140557	0.0142962	0.0213413	0.0233251	0.0697806	0.080519	0.0797853	0.0598489	0.056732	0.0313495	0.0316459	0.0182867	0.010486	0.0175869	0.0327276	0.0516736	0.0448634	0.0561264	0.0560599	0.0399886	0.0210382	0.0239036	0.0145942	0.0283109	0.0301616	0.0341019	0.0196137	0.0102853
est	0.112452	0.0446642	0.0251312	0.0412202	0.0306398	0.0386696	0.0324331	0.0260265	0.0416237	0.058969	0.0364892	0.0764705	0.0853805	0.0489819	0.0334857	0.0138661	0.0168373	0.0154687	0.0131033	0.0123514	0.0112294	0.00948143	0.0102444	0.0127836	0.0140852	0.0149943	0.0257349	0.0400256	0.0571571
déjà	0.0500729	0.0210567	0.0204338	0.0228028	0.0200846	0.0276678	0.0224761	0.0245681	0.0234516	0.0273051	0.0207075	0.0160626	0.0169473	0.0106299	0.0160104	0.0216829	0.0242539	0.0410784	0.0430449	0.0425228	0.039194	0.0363297	0.0422261	0.0527866	0.0543501	0.0601949	0.0636117	0.0597976	0.0786492
arrivé	0.0319913	0.0160688	0.0126358	0.0145266	0.0134812	0.0212188	0.0200098	0.0250656	0.0344163	0.0287507	0.0334409	0.0236247	0.0297276	0.0185224	0.0189189	0.024136	0.0274271	0.0398675	0.044117	0.054597	0.0573618	0.0591286	0.0577342	0.0499018	0.0502376	0.0474774	0.0410783	0.0338387	0.0706976
dans	0.0721772	0.0556196	0.0317311	0.025712	0.0243214	0.0268127	0.0283557	0.0351849	0.0488256	0.0334654	0.0407763	0.03086	0.0333402	0.0245364	0.0193753	0.0133338	0.0244768	0.0224337	0.0235068	0.0344959	0.0315641	0.0353236	0.0363253	0.0384964	0.0326389	0.0254101	0.0424955	0.0415159	0.0668891
le	0.0419725	0.034187	0.0217976	0.0262797	0.0170151	0.0208009	0.0307169	0.025923	0.0217481	0.0193263	0.0216762	0.0121485	0.0135121	0.0115441	0.0113016	0.0114548	0.0160264	0.0202239	0.0181449	0.0336276	0.0400707	0.0415365	0.078493	0.0573262	0.0556582	0.0593446	0.0610076	0.0673819	0.109754
sanctuaire	0.0290034	0.0160657	0.0118657	0.00968246	0.00936629	0.00756583	0.00467467	0.00503773	0.00718876	0.00604177	0.00549119	0.0116962	0.00882576	0.0127775	0.0176857	0.0161014	0.0195805	0.0321509	0.0383363	0.0609752	0.0344489	0.0443704	0.0745768	0.0865233	0.0706377	0.0769603	0.0949351	0.0879207	0.0995136
</S>	0.0443475	0.0286468	0.0134206	0.0364009	0.0141468	0.0188042	0.0159974	0.0198937	0.0286029	0.0221726	0.0145446	0.0176974	0.020285	0.0152952	0.0138974	0.0131278	0.0115657	0.0205519	0.0172916	0.0194029	0.0170599	0.0172588	0.0226803	0.0360345	0.0514181	0.0625514	0.0819508	0.0996307	0.205322
