 	i	l	á	l	a	d	í	í	s	á	a	e	b	v	u	l	u	d	í	i	í	m	i	s	á	á	o	b	ε	n	g	ε	</S>
cet	0.017199	0.012693	0.0127753	0.0117047	0.0116311	0.00947104	0.012218	0.0861282	0.0796305	0.0639452	0.0819568	0.0821919	0.08637	0.115282	0.06793	0.0735783	0.0424221	0.0133683	0.011087	0.00495459	0.0112764	0.01021	0.0119726	0.00736955	0.00881204	0.00633273	0.00551002	0.00627634	0.00500125	0.00680431	0.00712042	0.00833962	0.00843803
agrume	0.0515795	0.081398	0.128836	0.151198	0.0776134	0.0872221	0.0203624	0.00973221	0.00269767	0.00296212	0.00425331	0.00209433	0.00817071	0.0161316	0.0186291	0.0123255	0.0124721	0.00712578	0.0149189	0.0204369	0.0257269	0.015514	0.0271749	0.050926	0.0267723	0.0365949	0.0383229	0.019288	0.0135774	0.00923626	0.00342571	0.0023687	0.000912635
est	0.00584511	0.00929368	0.0172113	0.0184751	0.0152754	0.0132152	0.015314	0.015069	0.0115165	0.0111829	0.0080233	0.0112589	0.0130284	0.018319	0.0173773	0.0258516	0.010901	0.0118774	0.0261785	0.0361771	0.0864369	0.121091	0.0961719	0.0730268	0.0735026	0.0596727	0.038391	0.0459432	0.0303587	0.0172232	0.0215659	0.0162017	0.00902371
encore	0.0321944	0.0528465	0.0503814	0.0378514	0.0339152	0.0234471	0.0126483	0.020354	0.0250007	0.0130254	0.0208397	0.0282338	0.00976468	0.0281142	0.0161261	0.0113228	0.0265959	0.0305524	0.0397554	0.0430513	0.0396363	0.0350133	0.0342104	0.029708	0.0257579	0.0234977	0.0239548	0.0237112	0.0394781	0.0317587	0.037906	0.0438552	0.055492
immature	0.0188178	0.0299676	0.0309952	0.0312908	0.0248214	0.0172887	0.0173297	0.0191127	0.0272867	0.0173551	0.0185792	0.0205172	0.0141453	0.0172876	0.0143677	0.021651	0.0227543	0.0277059	0.0349021	0.0375678	0.0384013	0.0486483	0.0567441	0.0319828	0.0399313	0.0329777	0.0266287	0.0251469	0.0321708	0.0412301	0.0421884	0.050737	0.0694689
celui-là	0.078862	0.0983726	0.107803	0.0447558	0.0340096	0.0279391	0.0292392	0.0291377	0.0276672	0.0430139	0.0454385	0.0505391	0.0383037	0.0686804	0.0315793	0.0209336	0.0042087	0.00534913	0.00535898	0.00639541	0.00624854	0.0104812	0.0083786	0.00500737	0.00792331	0.0122176	0.00792897	0.00667926	0.0121637	0.0147278	0.0133271	0.0233191	0.0740105
est	0.0345138	0.0339592	0.0473102	0.0510278	0.038929	0.0166541	0.0211364	0.0180525	0.0174913	0.0196565	0.0286359	0.0307894	0.0155126	0.029188	0.0434366	0.0261037	0.0157995	0.0177186	0.0149782	0.0221792	0.026935	0.0441605	0.0245958	0.0198516	0.0168673	0.0341848	0.0261706	0.0220937	0.0283315	0.0250026	0.0365835	0.0469293	0.105221
déjà	0.0456543	0.039798	0.0288538	0.0218705	0.00932143	0.0055799	0.00615708	0.00528071	0.00812521	0.00491857	0.00740164	0.0109525	0.00522874	0.0061116	0.00702164	0.00775208	0.0124083	0.0139535	0.0129826	0.0215506	0.0234782	0.0272305	0.0147178	0.0291225	0.0177234	0.0384284	0.0507027	0.0421249	0.0550688	0.0692415	0.0791455	0.105618	0.166475
mûr	0.0615476	0.0575289	0.0327451	0.015601	0.00567281	0.00296053	0.00343576	0.00315455	0.00514354	0.00326671	0.00416831	0.00802613	0.00274631	0.00421608	0.00428392	0.00561401	0.00705292	0.0043499	0.00330635	0.0102346	0.00820919	0.0114515	0.00478717	0.00899595	0.00599894	0.0198356	0.0317646	0.022924	0.0323855	0.0549094	0.0868268	0.154755	0.312101
</S>	0.0909759	0.0909835	0.0718945	0.0485084	0.0291387	0.0110107	0.0107447	0.00649459	0.00546715	0.00485528	0.00638262	0.00675697	0.00427695	0.00563023	0.00572578	0.00475892	0.00885176	0.00720687	0.00489893	0.00703862	0.00543649	0.0136465	0.0132448	0.0143307	0.0155341	0.0174131	0.0301704	0.0192234	0.0342189	0.0386286	0.0792858	0.0851586	0.202107
