 	e	m	a	a	l	í	y	é	é	m	a	í	b	á	a	w	a	a	d	í	o	b	í	a	k	a	á	</S>
de	0.00769195	0.0100689	0.0145495	0.0237234	0.0571744	0.0586887	0.0207788	0.0280133	0.0267486	0.0455025	0.0371005	0.0532818	0.07469	0.0692969	0.0412211	0.0167659	0.0167247	0.0155356	0.0199814	0.0258361	0.0502521	0.0430774	0.0421752	0.0531882	0.0335341	0.0324676	0.0383547	0.0435766
la	0.142089	0.111147	0.0467516	0.0161133	0.0181153	0.0131307	0.0154102	0.00992936	0.0125246	0.0220419	0.0117687	0.00937119	0.0132473	0.0164109	0.0257252	0.0168125	0.00957033	0.00819865	0.0409805	0.115828	0.0512772	0.0762012	0.06535	0.0391619	0.039912	0.0347446	0.00864551	0.00954029
manière	0.041619	0.0612047	0.0419316	0.0248765	0.0199344	0.0158403	0.0163047	0.0156197	0.0247032	0.0397016	0.0153653	0.0232262	0.0448699	0.0679199	0.0483097	0.0229172	0.042699	0.033808	0.0614909	0.0436981	0.0946849	0.067167	0.0331218	0.0268355	0.0267264	0.0220365	0.0112503	0.012138
dont	0.0865813	0.0835394	0.0567014	0.0259427	0.0222808	0.00879737	0.0130668	0.00969729	0.0167526	0.0174944	0.0231143	0.0250581	0.0405573	0.0521071	0.0439073	0.0212736	0.101749	0.0906612	0.0501816	0.0330469	0.0307237	0.0159127	0.0193933	0.00799851	0.0168647	0.0245902	0.0165943	0.0454117
on	0.0314467	0.0416146	0.0598136	0.0823234	0.0929642	0.0876484	0.0809373	0.09355	0.106082	0.0550016	0.0319884	0.0222951	0.0132812	0.00936639	0.00701266	0.00242629	0.00484966	0.0112107	0.0113323	0.00940675	0.00837344	0.00688808	0.00891994	0.00718633	0.0101443	0.0249695	0.0200341	0.058933
l'	0.0429631	0.0405521	0.0546594	0.0410416	0.0257143	0.0258197	0.0243728	0.02532	0.025508	0.0218828	0.0217184	0.0192964	0.0170295	0.0188679	0.0138129	0.00766779	0.0177112	0.0295023	0.0313629	0.0268114	0.0236407	0.0403431	0.0432801	0.0579465	0.0539268	0.0735686	0.0801265	0.095553
a	0.0790787	0.0438692	0.0717184	0.0625136	0.0567681	0.0582603	0.0479057	0.0569063	0.0631532	0.0345564	0.0381916	0.029222	0.0263581	0.0281648	0.0243084	0.0197477	0.0263062	0.0192984	0.0164692	0.0203679	0.0178012	0.0129937	0.016426	0.0126412	0.0160452	0.0286912	0.0251428	0.0470944
poignardé	0.0984855	0.0684826	0.0964244	0.0560225	0.0602222	0.0566367	0.0522643	0.0615982	0.0949487	0.0562334	0.037259	0.0258117	0.0197842	0.0161089	0.01027	0.00709859	0.00864221	0.00662325	0.00794209	0.00841931	0.00965692	0.00882558	0.00931671	0.0106485	0.0104811	0.0204991	0.0286548	0.0526395
il	0.141212	0.0874763	0.0812305	0.0601344	0.0537922	0.0311492	0.0252124	0.0327759	0.0399204	0.0287753	0.0184086	0.0142844	0.0102864	0.0150124	0.0186396	0.0170457	0.0159358	0.00508025	0.00909785	0.0122484	0.0214915	0.0107219	0.0140368	0.0124794	0.015326	0.0398212	0.0521402	0.116265
ne	0.108474	0.0685131	0.0517279	0.0358001	0.0198146	0.0124454	0.0130133	0.0161202	0.0192848	0.0150283	0.0119608	0.0103986	0.00952127	0.0113746	0.017405	0.0161265	0.0200205	0.0143381	0.0191678	0.0193804	0.0345123	0.0424005	0.0451665	0.0571452	0.0534647	0.0719545	0.0740834	0.111358
survivra	0.0749022	0.0611748	0.0517229	0.0465795	0.0316419	0.0245382	0.0215391	0.0190384	0.0192102	0.0174059	0.0137825	0.0112294	0.0117609	0.0168953	0.017933	0.0173552	0.0146488	0.0115738	0.0220877	0.0199708	0.0381093	0.0578385	0.0479327	0.0716363	0.0657419	0.0619637	0.0646945	0.0670926
pas	0.0733179	0.0454458	0.0397738	0.0272606	0.0200625	0.0150224	0.0166751	0.0181452	0.0222098	0.0187415	0.0161874	0.0134249	0.0118041	0.0127789	0.0187647	0.0131834	0.0217123	0.0183796	0.0288845	0.0228448	0.0436947	0.0617926	0.0758438	0.0631852	0.0529226	0.0642822	0.0797741	0.083886
</S>	0.0458603	0.0324929	0.0297325	0.0221734	0.0124337	0.0113504	0.0110192	0.011838	0.0123797	0.0114934	0.0131307	0.0117413	0.0163336	0.0224411	0.0298419	0.0238431	0.0335344	0.035553	0.0393061	0.0369798	0.0546858	0.0613365	0.0598496	0.0658951	0.0541158	0.0657236	0.0843082	0.0906069
