 	n	g	á	l	í	i	d	i	n	g	á	m	w	á	n	a	w	ó	t	s	i	n	a	w	a	l	á	a	d	z	w	á	á	i	t	ó	m	á	</S>
j'	0.113313	0.242736	0.353837	0.158108	0.0625723	0.0223059	0.0171596	0.00917062	0.00362075	0.00186614	0.00110264	0.000715355	0.000491654	0.000692263	0.000667805	0.000712984	0.000498399	0.000429367	0.000397253	0.000730103	0.000538801	0.00050682	0.000499461	0.000720901	0.000439309	0.00066368	0.000590671	0.00060498	0.000502893	0.000430688	0.000315662	0.000503537	0.000309197	0.000254237	0.000535404	0.000362137	0.000368556	0.000436096	0.000290013
aime	0.0309709	0.015056	0.0211278	0.0752877	0.0294103	0.0294917	0.0147766	0.0154133	0.0496898	0.0683777	0.136662	0.106577	0.0463573	0.0480112	0.0551434	0.0555695	0.0556366	0.0112579	0.00962665	0.00621355	0.00771744	0.0128787	0.0101788	0.00872822	0.00799203	0.00747686	0.00831767	0.0104456	0.00314209	0.00326537	0.00286704	0.00359818	0.00491705	0.00234948	0.00918733	0.00261415	0.00257574	0.00228897	0.00880295
bien	0.0467033	0.0659935	0.040257	0.0395038	0.031165	0.0201034	0.00704653	0.00653009	0.00720915	0.00811832	0.00857146	0.00923936	0.0182602	0.0396051	0.0318495	0.024742	0.0139919	0.0322835	0.0511947	0.0218217	0.0576081	0.0461801	0.0311121	0.0189086	0.0399447	0.0403825	0.0255971	0.0231226	0.0269498	0.0208009	0.0230429	0.0212414	0.00911495	0.0110234	0.00800419	0.014511	0.0179057	0.0201234	0.0202371
cet	0.0231464	0.0191737	0.0198415	0.0292082	0.0209334	0.015123	0.00922806	0.00879248	0.00884888	0.013459	0.0132624	0.00982602	0.0150949	0.0228819	0.0183467	0.0213707	0.0143402	0.0344001	0.0251268	0.0378388	0.0422628	0.0304128	0.0439226	0.0304561	0.0504785	0.0581872	0.0431668	0.0306321	0.0222959	0.0157362	0.0225572	0.0195606	0.0431035	0.0143413	0.0200893	0.0196655	0.0211132	0.0279327	0.0638424
enfant	0.01905	0.0239671	0.0358328	0.0256247	0.0352821	0.0166554	0.0106079	0.00993163	0.010666	0.0218864	0.03677	0.031338	0.0190531	0.0182694	0.0153142	0.0135708	0.0252607	0.0161377	0.0585098	0.0502997	0.0306709	0.0259816	0.0353836	0.021784	0.018456	0.0135364	0.0190532	0.0207451	0.0238011	0.0244196	0.0214361	0.0211139	0.0315689	0.0240702	0.0238958	0.0295577	0.0314372	0.0266008	0.0624602
car	0.0793983	0.0220945	0.0182983	0.0120588	0.0282528	0.0238382	0.020514	0.0122469	0.00922103	0.0106315	0.0213511	0.0203249	0.0157501	0.0133047	0.0166523	0.0169416	0.0155457	0.0144373	0.0468205	0.0397944	0.033085	0.0338762	0.0336261	0.0276842	0.0227516	0.0234151	0.0264419	0.0276492	0.024111	0.0268785	0.0211242	0.0234595	0.0270051	0.0174381	0.0235288	0.0246838	0.0288043	0.0298053	0.0671553
il	0.164732	0.0607112	0.0301819	0.0135898	0.030108	0.0337472	0.0139871	0.0186942	0.0175671	0.0127916	0.0262757	0.0339233	0.0221717	0.020595	0.029577	0.0249352	0.0271361	0.0268286	0.0434672	0.0263295	0.0153525	0.0217395	0.023421	0.0117079	0.0159954	0.0139739	0.01339	0.0156725	0.0136627	0.0165099	0.0149662	0.014663	0.0132	0.0100756	0.0121209	0.0143985	0.0167825	0.017205	0.0478137
est	0.11883	0.0337074	0.0122755	0.0449397	0.0272002	0.0365295	0.0388359	0.0371781	0.0400562	0.0363901	0.0391686	0.0339299	0.0132811	0.0207811	0.0210978	0.0337554	0.0240497	0.0248451	0.0279691	0.0251854	0.0265108	0.0218614	0.0235309	0.0187708	0.0154559	0.0183181	0.0136886	0.0103678	0.0108043	0.0105229	0.006758	0.00770409	0.0124594	0.0038418	0.0139894	0.0104271	0.00695003	0.014011	0.0640223
toujours	0.0331658	0.0230146	0.0134321	0.0314343	0.0260569	0.0400918	0.0303548	0.0286021	0.0265766	0.0201854	0.0203185	0.0204526	0.0115543	0.015904	0.0161292	0.0200882	0.0193873	0.0202515	0.0355026	0.0355076	0.0350686	0.0311642	0.0216614	0.0191147	0.0393758	0.0420188	0.0358184	0.0295643	0.0216894	0.0202446	0.018036	0.0204433	0.0187658	0.0114173	0.0307398	0.0160795	0.017295	0.0260745	0.0574185
prêt	0.0237434	0.0152124	0.0157475	0.0466936	0.0402986	0.0660479	0.067573	0.0371244	0.0373796	0.018921	0.0144434	0.0124475	0.00695743	0.00779401	0.0056605	0.00540112	0.00907686	0.0080168	0.0142696	0.00784721	0.00742415	0.00747757	0.0068945	0.00481594	0.0124446	0.019535	0.0235209	0.0339946	0.0316039	0.0335159	0.031088	0.0391345	0.063531	0.0313739	0.0373824	0.035384	0.0376097	0.0398111	0.0428024
à	0.0639187	0.0241282	0.010579	0.0307568	0.0295173	0.056138	0.0423129	0.0254077	0.0250921	0.0126413	0.0103285	0.0106805	0.0086791	0.0146295	0.0121518	0.0155243	0.0208491	0.0154899	0.0332107	0.0142609	0.0121303	0.0230141	0.0238779	0.0113183	0.0304974	0.0268628	0.0285775	0.0353306	0.0300867	0.0526117	0.0150858	0.0226484	0.0332278	0.00927167	0.0198196	0.02463	0.0284939	0.0370322	0.059187
faire	0.0639601	0.0228467	0.0152645	0.0206241	0.0233535	0.0348399	0.0215665	0.025694	0.0177062	0.014811	0.014533	0.0141321	0.00694743	0.0110798	0.00731099	0.00909543	0.0102285	0.0100226	0.0223148	0.0169811	0.0096148	0.010577	0.0100382	0.00842744	0.0172076	0.0201605	0.0286283	0.0425826	0.0353677	0.0407241	0.0265329	0.0431376	0.0388642	0.0254769	0.0467446	0.0446994	0.0511354	0.0550396	0.0617292
des	0.0854523	0.0248183	0.0170635	0.030298	0.032378	0.035822	0.0278361	0.0283501	0.0209875	0.0180551	0.0148151	0.0116138	0.00514146	0.00638107	0.00625533	0.00980153	0.00817378	0.0101512	0.0147642	0.0126037	0.0101043	0.011535	0.0111299	0.0091878	0.014438	0.0159401	0.0171128	0.0244448	0.0211998	0.0324102	0.0210546	0.0384817	0.0444557	0.0232685	0.0437868	0.0493906	0.0545882	0.0630013	0.0737077
commissions	0.0549265	0.0304754	0.0256043	0.0232918	0.0315039	0.0250177	0.0301301	0.0243775	0.0143592	0.0159515	0.0086651	0.0107558	0.00530056	0.00751071	0.00628872	0.0144385	0.0110073	0.0206557	0.0197943	0.0156636	0.0100171	0.0154303	0.0158278	0.0093091	0.0282819	0.0269333	0.0330484	0.0264104	0.0304947	0.0260723	0.0163858	0.0173025	0.0449764	0.0100397	0.0321922	0.0331015	0.0341578	0.0493847	0.144916
</S>	0.0107742	0.00630307	0.00812235	0.00873021	0.00931172	0.012671	0.00923543	0.010002	0.00697376	0.00736099	0.0049358	0.00515389	0.00394571	0.00458499	0.00416797	0.00431058	0.0134885	0.00786396	0.0231006	0.0129985	0.0066722	0.0124766	0.0123805	0.0053888	0.0219836	0.0136598	0.0155239	0.0326048	0.0291253	0.0620461	0.0420429	0.0397522	0.115425	0.0430064	0.0472888	0.0824567	0.0885569	0.0746898	0.0808847
