 	o	y	ú	r	u	w	ó	á	b	o	m	i	e	l	ω	l	ώ	m	é	s	έ	έ	</S>
cette	0.0167366	0.0170207	0.0170305	0.0119391	0.0151034	0.0165776	0.0100937	0.0171177	0.0242911	0.020178	0.0205013	0.027688	0.0378435	0.0561352	0.0605097	0.0622118	0.0527839	0.086956	0.0777526	0.0875513	0.0847715	0.0633684	0.115838
femme	0.119462	0.101772	0.150793	0.158865	0.0493147	0.0455406	0.0815536	0.0360755	0.0460503	0.109312	0.0184215	0.0313643	0.00598581	0.00787164	0.00633585	0.0109949	0.00989188	0.00606851	0.00221545	0.00125862	0.000572134	0.000154231	0.000125948
a	0.0203305	0.0190134	0.0331249	0.0534821	0.112099	0.0751001	0.0738789	0.155031	0.0899503	0.0595642	0.0548567	0.0319097	0.0250992	0.0319807	0.0272461	0.0222764	0.021342	0.0161458	0.0143252	0.0132169	0.013509	0.0186729	0.0178444
tué	0.0239479	0.028845	0.0467681	0.0585047	0.0667899	0.053262	0.0287525	0.0408026	0.0589267	0.0680795	0.0873856	0.0466866	0.0517062	0.0424423	0.0577405	0.0396536	0.0389886	0.0196497	0.0174597	0.0224843	0.0285968	0.0314753	0.0410518
un	0.0833332	0.069053	0.0434514	0.034271	0.0193372	0.028326	0.0180162	0.0203104	0.0212989	0.0269403	0.0233403	0.0215096	0.0164142	0.0165298	0.0195527	0.0266239	0.0330696	0.042584	0.0506311	0.0828139	0.0904313	0.0846806	0.127482
serpent	0.0354014	0.0270587	0.022848	0.0180866	0.00900899	0.0157311	0.00708641	0.0114619	0.0137743	0.0137688	0.0245437	0.022847	0.0225313	0.0296291	0.0334148	0.0579242	0.0587038	0.0716022	0.0772843	0.0942598	0.111721	0.098725	0.122588
noir	0.048001	0.0368237	0.0220983	0.0207252	0.0176497	0.0178988	0.0128734	0.0139493	0.016653	0.0146651	0.0452644	0.0603617	0.0510105	0.0595712	0.0490209	0.0754527	0.0804462	0.0494959	0.0411015	0.039619	0.0518037	0.0653233	0.110191
avec	0.0330887	0.0354409	0.0382063	0.0411511	0.0335413	0.0167005	0.00633322	0.00497096	0.00475449	0.00404856	0.00654381	0.0154297	0.0217521	0.0323831	0.0397759	0.0520655	0.0503376	0.0456588	0.0632225	0.0626942	0.0790533	0.102765	0.210083
la	0.0555679	0.0503637	0.0456659	0.0389265	0.0168571	0.0164453	0.00968423	0.00803794	0.00882092	0.00825429	0.00801155	0.0140796	0.023684	0.0280005	0.0274887	0.0341849	0.0287739	0.0407382	0.0601126	0.0821642	0.0946883	0.12603	0.17342
houe	0.0601415	0.0572251	0.046799	0.0360297	0.0185693	0.0113049	0.00562214	0.00345392	0.00378029	0.00643006	0.00650276	0.00680631	0.00825365	0.00975289	0.0104642	0.0198847	0.020863	0.0263219	0.0409237	0.0662514	0.0884743	0.17285	0.273295
</S>	0.0628736	0.0510044	0.0622129	0.0599765	0.0468633	0.0407835	0.0279669	0.0168234	0.0231391	0.0327732	0.0315818	0.0293937	0.0223636	0.0138929	0.0157739	0.0161349	0.0195237	0.0222115	0.0367282	0.0500894	0.0619471	0.0828354	0.173107
