 	n	g	ó	o	y	a	b	í	s	í	l	á	a	b	h	é	m	b	á	o	t	í	i	t	í	t	s	í	n	a	a	d	í	l	a	d	z	é	m	i	</S>
notre	0.0451813	0.0271556	0.0125745	0.00910324	0.0055114	0.00875429	0.00520064	0.00679118	0.0116189	0.0119811	0.0235743	0.0269064	0.0363074	0.0410838	0.0470569	0.0657038	0.0601711	0.0561881	0.0318211	0.0445686	0.0227171	0.00718609	0.00939084	0.0159968	0.0117094	0.0165633	0.0437379	0.0452182	0.0252821	0.0284149	0.0306963	0.0224493	0.0185488	0.0177253	0.0177186	0.0183018	0.0134973	0.0119565	0.0150677	0.016787	0.013781
maman	0.188606	0.245715	0.137269	0.113171	0.148991	0.0838942	0.0367467	0.0156086	0.00531852	0.00200337	0.00303342	0.00158337	0.00145808	0.00156489	0.00168699	0.000815045	0.000488442	0.000823744	0.000672545	0.000772213	0.000702735	0.000716827	0.00126058	0.000474525	0.000178738	0.000262722	0.000213022	0.00023455	0.000316595	0.000536242	0.000550403	0.000399321	0.000357784	0.00055712	0.000479816	0.000429509	0.000848836	0.000248423	0.000373304	0.000310415	0.000326607
marche	0.020466	0.0189259	0.0278743	0.0167059	0.0199508	0.0318984	0.0270782	0.0282194	0.0476208	0.039193	0.0173039	0.0195431	0.0282732	0.0212326	0.0195517	0.0213228	0.0213677	0.0248473	0.0255712	0.0130752	0.00906496	0.0138651	0.0264435	0.034316	0.0371861	0.0423334	0.0562075	0.0418548	0.0333279	0.0280576	0.0342567	0.0275245	0.0414173	0.0176178	0.0163412	0.011762	0.0110526	0.00393192	0.00861581	0.00843184	0.00637029
lentement	0.0109467	0.00914938	0.00820396	0.0118334	0.0161862	0.0184468	0.0132309	0.0195629	0.0198845	0.0156537	0.00917513	0.0150152	0.0191483	0.0236357	0.0242898	0.0380704	0.0348332	0.0279068	0.0270558	0.0162734	0.0157659	0.0180741	0.0212223	0.0292177	0.0286296	0.0424914	0.0509699	0.0421456	0.0547769	0.0579142	0.062872	0.0387006	0.0297727	0.0165514	0.020456	0.0195855	0.0112508	0.00760118	0.0126719	0.0197988	0.0210292
parce	0.0924832	0.0286525	0.0130086	0.0159195	0.0159728	0.024684	0.0236419	0.0304291	0.0397305	0.0652349	0.047476	0.0609439	0.0503355	0.0421764	0.0554246	0.0699065	0.0326811	0.0164636	0.0109707	0.00978203	0.00825768	0.00775951	0.00752771	0.00602998	0.00785119	0.0052458	0.00479579	0.00438813	0.00601572	0.00556309	0.00531178	0.0102408	0.0208869	0.0192438	0.0197542	0.0144677	0.0218685	0.021386	0.016881	0.0134371	0.0271705
qu'	0.0794012	0.0259197	0.0203023	0.0367678	0.037295	0.0465431	0.039989	0.039339	0.0451702	0.0672025	0.0442256	0.0434693	0.047955	0.0386014	0.0269678	0.0430736	0.0183305	0.0125844	0.010824	0.0172762	0.0128446	0.00869341	0.0112601	0.00716571	0.0130448	0.00996278	0.0124602	0.0152228	0.013848	0.00945984	0.00782681	0.0101987	0.0165511	0.0117426	0.0118076	0.00738986	0.0140914	0.0093696	0.0156829	0.0165545	0.023585
elle	0.0397238	0.0261618	0.020442	0.0342493	0.03419	0.0485528	0.027419	0.0390799	0.0567674	0.0490361	0.0280751	0.0387056	0.0454878	0.0405341	0.0266721	0.0513868	0.0287285	0.0143529	0.0106458	0.010453	0.00768781	0.008001	0.0113955	0.00658064	0.0077232	0.00715285	0.00793391	0.00776889	0.0108188	0.0116923	0.0142502	0.0159164	0.0173275	0.0170204	0.0214113	0.0225006	0.0246268	0.024192	0.0336783	0.0207924	0.0308655
porte	0.0184698	0.0143926	0.0146942	0.018465	0.0181085	0.0216463	0.0120547	0.0121696	0.0180582	0.0149383	0.01496	0.0121931	0.0106092	0.0100749	0.00878342	0.0111561	0.011881	0.0123781	0.014028	0.0161921	0.0265994	0.0319875	0.0245831	0.0186589	0.02436	0.020617	0.0175941	0.0204671	0.0278124	0.0297914	0.0338742	0.0377078	0.0407075	0.04569	0.0421183	0.0341086	0.0379243	0.0428547	0.0476944	0.0488388	0.0607575
une	0.0418272	0.0160129	0.0155332	0.0166356	0.0245218	0.0292911	0.0101115	0.0133335	0.0136966	0.0157625	0.0107585	0.00797097	0.00746074	0.00699488	0.00722893	0.00949685	0.00911073	0.00978758	0.0113264	0.013775	0.0241778	0.0280072	0.0324689	0.0231364	0.0279194	0.0220071	0.0166067	0.0178428	0.0228645	0.019027	0.02408	0.0277071	0.0398615	0.0406964	0.0386185	0.0324553	0.055616	0.0433629	0.0474524	0.0475638	0.0778916
grossesse	0.0343054	0.0213497	0.0202398	0.0149318	0.0101944	0.010005	0.00705904	0.00704302	0.0075009	0.00701315	0.00592466	0.00676917	0.00699625	0.00722067	0.00764244	0.0124744	0.0140787	0.0200258	0.025642	0.0335583	0.0377512	0.0356103	0.0420908	0.0295142	0.027121	0.0322849	0.0354255	0.0290475	0.0351379	0.0451943	0.0459843	0.0305576	0.0317958	0.0245829	0.0391097	0.0501644	0.0248888	0.0268222	0.0356742	0.0310062	0.0302617
</S>	0.143584	0.075908	0.0409396	0.0260053	0.0262135	0.0140357	0.00689779	0.00661793	0.00921318	0.00853854	0.0055855	0.00801652	0.00598053	0.00612139	0.00585951	0.00936834	0.00937912	0.0108962	0.0108037	0.0120139	0.0123455	0.0121434	0.0111055	0.00904014	0.00992972	0.00817148	0.0101773	0.00811595	0.0117999	0.0134892	0.0186543	0.0188601	0.0236116	0.0417541	0.0297147	0.0302914	0.021185	0.0282254	0.0539556	0.0711705	0.114281
