 	i	k	a	n	a	l	á	b	á	n	a	m	á	l	e	k	ώ	ώ	l	i	í	d	í	e	t	s	έ	n	έ	l	a	n	g	á	</S>
inscrire	0.025162	0.0182943	0.0176114	0.016873	0.0239734	0.0162557	0.0193137	0.0351869	0.0437591	0.0389798	0.0442332	0.042663	0.0341705	0.0347707	0.035314	0.0376602	0.0401152	0.0327139	0.0359657	0.0430627	0.0424416	0.0315162	0.0364811	0.0328546	0.0286284	0.0280648	0.020591	0.021049	0.0198725	0.0178001	0.013171	0.0236371	0.0144492	0.0162565	0.0171084
les	0.0316707	0.0227506	0.016093	0.0172478	0.0466756	0.0685682	0.0716506	0.0611649	0.0548471	0.0589424	0.055687	0.0615417	0.0749604	0.060955	0.0680433	0.0435648	0.0457598	0.0118215	0.00482281	0.00346568	0.00111154	0.00129038	0.000704263	0.000796198	0.00128675	0.00176741	0.00426462	0.00686278	0.0112547	0.0126428	0.0286866	0.00469518	0.00952572	0.0187281	0.0161501
enfants	0.0473754	0.0358145	0.0362589	0.024383	0.0236208	0.0234064	0.0326274	0.0252419	0.0268895	0.0174234	0.0211289	0.0258392	0.0187891	0.0169214	0.0200599	0.0192453	0.0176693	0.0198711	0.0183706	0.0206793	0.0163434	0.0292747	0.0435561	0.0437335	0.0501678	0.0479241	0.0437749	0.0480675	0.0529499	0.0322829	0.0240519	0.0145032	0.0167425	0.0183447	0.0266678
à	0.0720698	0.0474642	0.0368602	0.0358215	0.0333939	0.0344655	0.0443787	0.0277572	0.0293892	0.0310241	0.0387979	0.0350911	0.0292198	0.0272609	0.0248213	0.0205261	0.020626	0.022879	0.0181631	0.0105195	0.0122273	0.0177559	0.0171054	0.0218155	0.0262105	0.0199294	0.0177354	0.0148025	0.0125751	0.0125126	0.0210143	0.0197892	0.0296996	0.0351525	0.0811459
l'	0.0234279	0.0133787	0.01336	0.0174999	0.0228955	0.0265804	0.0241737	0.0195847	0.017499	0.0148372	0.0152155	0.0190045	0.0163631	0.0157502	0.0193866	0.0219789	0.0167813	0.0229962	0.0232945	0.0262554	0.0219901	0.0233648	0.0238913	0.0200339	0.0235602	0.0254636	0.0279365	0.0412979	0.0578244	0.0591379	0.0697034	0.0332916	0.0644687	0.0519601	0.0658124
école	0.0458705	0.0372701	0.0329429	0.038743	0.0342438	0.019945	0.0216129	0.0141361	0.0150433	0.0152862	0.0152509	0.0160011	0.0222311	0.0246862	0.0216451	0.0196155	0.016605	0.0189293	0.0172094	0.0156876	0.0181728	0.0171834	0.0191905	0.02319	0.0199223	0.0226223	0.0350915	0.0364333	0.0474463	0.040587	0.045436	0.0340003	0.0468034	0.0492064	0.0817597
me	0.0211172	0.015877	0.0161707	0.0202812	0.0195298	0.0230924	0.0195008	0.022644	0.0249456	0.0235824	0.0250307	0.0276962	0.0308502	0.027613	0.0357564	0.0452631	0.0448029	0.0401179	0.0335321	0.0171881	0.02079	0.0248512	0.0172109	0.0186306	0.0201808	0.0172572	0.0179549	0.0261589	0.0333557	0.0303327	0.0381966	0.0230275	0.0431143	0.0405123	0.0938346
parait	0.0594147	0.04897	0.0438121	0.0443617	0.0409677	0.0299395	0.0296848	0.0178787	0.0164807	0.0167918	0.017977	0.0185227	0.0195524	0.0200426	0.0235557	0.0308057	0.036004	0.0309387	0.0229989	0.0161285	0.00629197	0.0126805	0.0103318	0.0118843	0.0100676	0.0116444	0.0227821	0.0342306	0.0347522	0.0279247	0.0459493	0.010864	0.0454907	0.0544608	0.0758173
simple	0.0762302	0.0450111	0.0274197	0.0240641	0.0143214	0.00782927	0.00845378	0.00628485	0.00649931	0.00610277	0.00813046	0.00939111	0.0111757	0.0138831	0.0185549	0.0194347	0.0204516	0.0225255	0.0229047	0.0139131	0.0223908	0.0425634	0.0274402	0.0277385	0.0247817	0.0274178	0.0374508	0.0438059	0.0455233	0.04178	0.0570405	0.0247077	0.0554805	0.0629285	0.076369
</S>	0.0392182	0.0298316	0.0243587	0.0224938	0.0159369	0.011245	0.0114123	0.00576795	0.00521901	0.00514017	0.00610881	0.00771846	0.00765087	0.00953518	0.0136876	0.0189769	0.0216692	0.0234725	0.0197339	0.020547	0.0164737	0.0355368	0.0181768	0.0340107	0.0258157	0.0337014	0.0312899	0.0500877	0.0491989	0.0504121	0.0619056	0.0603084	0.0684752	0.0698223	0.0750607
