 	o	t	i	i	s	á	n	d	é	e	y	á	n	z	a	m	b	é	p	á	b	h	a	n	d	z	á	á	l	í	n	ω	</S>
c'	0.00819692	0.0111047	0.0105525	0.00973876	0.00838646	0.0115894	0.0137184	0.0132176	0.0190763	0.018402	0.0267223	0.0301547	0.0365301	0.0541101	0.0530024	0.0568693	0.0323591	0.0298245	0.0226238	0.0252213	0.0396386	0.0339447	0.035113	0.0418962	0.040018	0.0274324	0.0364201	0.0282419	0.033932	0.0549381	0.0506359	0.0385706	0.0478179
est	0.0551296	0.0870383	0.110953	0.0968735	0.0387021	0.0165744	0.0129996	0.0156463	0.015291	0.0164595	0.0154102	0.0153674	0.0138656	0.0129637	0.0164908	0.0180199	0.0476712	0.0407065	0.0409525	0.0482793	0.0463426	0.046253	0.0393042	0.0261551	0.0237695	0.0145154	0.0141477	0.0119992	0.00822316	0.00876652	0.00551027	0.00973816	0.00988114
donc	0.107128	0.0876507	0.0601292	0.0468543	0.0448436	0.0308322	0.0212611	0.00775677	0.0121037	0.0207648	0.0182323	0.0154961	0.0191091	0.0331155	0.0366628	0.0385266	0.024871	0.0398307	0.0346759	0.026176	0.0114828	0.0165721	0.0170283	0.0168814	0.0211221	0.0167821	0.021181	0.0253117	0.0189034	0.0152359	0.0175352	0.0217456	0.054198
toi	0.0133682	0.0219705	0.0258015	0.0210309	0.0367248	0.0280951	0.017749	0.0135575	0.0114079	0.0166168	0.0165143	0.0193887	0.0184575	0.0216377	0.0313902	0.0251069	0.0158742	0.0245214	0.0282895	0.0298012	0.0333137	0.0313394	0.0381643	0.029698	0.0376968	0.0325904	0.039703	0.0535239	0.0497015	0.025228	0.0410053	0.0610584	0.0896736
l'	0.013698	0.028392	0.0320806	0.0510447	0.0384712	0.0408188	0.0287604	0.0147868	0.0116255	0.015384	0.0264813	0.0386356	0.0448854	0.0564444	0.0574126	0.0394934	0.0364874	0.0248204	0.0397662	0.0334504	0.034633	0.0291316	0.0208916	0.0158276	0.01721	0.0164374	0.0143936	0.0165481	0.0168673	0.00825489	0.02002	0.0348165	0.0820293
orateur	0.0144472	0.0308968	0.0442047	0.0432078	0.0155241	0.00760628	0.0189417	0.0189368	0.0247	0.050037	0.0717208	0.09134	0.0995472	0.0937715	0.0699403	0.0378813	0.0414017	0.0348951	0.0253718	0.0208322	0.0145147	0.00938282	0.00605609	0.00523045	0.0056395	0.00614824	0.0054072	0.00826157	0.00762803	0.00521625	0.00883722	0.0143342	0.0481394
du	0.0609614	0.0783291	0.0660946	0.0600613	0.0327118	0.0290459	0.0255182	0.0129013	0.0162657	0.0183452	0.0217312	0.026521	0.0247631	0.0332411	0.0469458	0.0283839	0.0396368	0.0226717	0.0194481	0.0202676	0.020904	0.0212844	0.0192938	0.0180324	0.0185023	0.0166825	0.023036	0.025108	0.0210648	0.0221121	0.0202792	0.0304976	0.0593582
jour	0.0354187	0.0501771	0.0443094	0.0490882	0.0299587	0.0223455	0.0260384	0.0198657	0.026436	0.025267	0.0376009	0.0378609	0.0434726	0.036996	0.034217	0.024291	0.0222031	0.0221075	0.0175656	0.014945	0.0145439	0.0128895	0.0133474	0.0168231	0.0185383	0.0197048	0.0191661	0.0263535	0.0268647	0.0320559	0.0361994	0.0590594	0.08429
à	0.132328	0.0843989	0.0578178	0.0334588	0.0219172	0.0169194	0.00734859	0.00481727	0.00365804	0.00350891	0.00518215	0.00658	0.00774634	0.0140862	0.020598	0.0190848	0.0159364	0.0129521	0.0219548	0.021942	0.0223852	0.0196466	0.0210736	0.0270732	0.0206446	0.03226	0.036818	0.0450924	0.0444872	0.0449352	0.046046	0.0576478	0.0696547
l'	0.129366	0.0667782	0.0288719	0.0189951	0.0125787	0.00454319	0.00647821	0.00685441	0.00728948	0.00782252	0.00680462	0.00708308	0.00695277	0.0108631	0.0133048	0.0203239	0.0183104	0.0145515	0.026597	0.0239679	0.034406	0.0363253	0.0336245	0.0320135	0.0300068	0.0228274	0.0168734	0.0212968	0.0182162	0.0404917	0.0591263	0.0607614	0.155694
église	0.130256	0.0796723	0.0405934	0.0200633	0.0107984	0.00247309	0.00361239	0.00361141	0.00401009	0.00430748	0.00447468	0.00476784	0.0059508	0.0078212	0.00901774	0.0162372	0.0138864	0.012982	0.0139301	0.0120576	0.01611	0.0215112	0.0217369	0.0241543	0.0363763	0.0210487	0.0163938	0.0242381	0.0219206	0.0562163	0.0796346	0.082484	0.177652
</S>	0.0376513	0.0332212	0.0319468	0.0281877	0.0201191	0.0188249	0.0249041	0.0293707	0.0290309	0.0330757	0.0283672	0.0291986	0.021863	0.0205439	0.0230723	0.0252988	0.035152	0.0279395	0.0274067	0.0211619	0.0212782	0.0210224	0.0240745	0.0217106	0.0237348	0.0238848	0.031192	0.0348928	0.0326523	0.0457696	0.0405189	0.0528266	0.0801061
