 	t	á	á	á	p	έ	ε	m	w	á	n	a	i	t	é	b	h	i	m	í	t	ώ	ω	l	á	m	w	á	s	í	y	a	p	o	o	</S>
le	0.00419896	0.0120326	0.0254999	0.0368266	0.0239738	0.0212966	0.00950363	0.0124391	0.0166536	0.0123871	0.024106	0.0350691	0.0442775	0.0475417	0.0727587	0.114614	0.103777	0.109201	0.0439613	0.0345812	0.0290431	0.0223511	0.0152703	0.0159426	0.0118897	0.0149015	0.0060412	0.00620848	0.00739258	0.00844792	0.0081147	0.00981514	0.0127234	0.00749288	0.00796204	0.0117045
père	0.0943087	0.204907	0.191523	0.0836887	0.110986	0.0593839	0.0663359	0.0644069	0.0343407	0.0240393	0.0214271	0.00824617	0.00293389	0.00360249	0.00110757	0.0012669	0.00118004	0.00166189	0.000516665	0.0029336	0.00145956	0.00178009	0.0010531	0.00249336	0.000819711	0.00175737	0.000830943	0.000643938	0.00131172	0.00170945	0.00147949	0.00162614	0.00119457	0.000906919	0.00120884	0.000928323
a	0.0260455	0.0177107	0.0283082	0.0292501	0.0271917	0.0384121	0.0407743	0.0541135	0.043843	0.0354713	0.0239568	0.0268549	0.018384	0.0381173	0.0511817	0.0356207	0.071954	0.0312352	0.0329714	0.0202729	0.0157788	0.0317737	0.0438933	0.0314857	0.0173442	0.0259444	0.00922013	0.0103873	0.0157256	0.010829	0.0197337	0.0194118	0.0124652	0.0132553	0.017016	0.0140667
conseillé	0.0132798	0.0116239	0.0101746	0.00770128	0.00875599	0.0118034	0.0109737	0.0160235	0.0141379	0.0265306	0.0271872	0.0496079	0.0492144	0.0633148	0.0725994	0.0707363	0.0643335	0.0377495	0.0825077	0.0591301	0.0504975	0.0410812	0.0385929	0.0346016	0.0173575	0.0141015	0.0125092	0.0043341	0.00872954	0.0117714	0.0059674	0.00764114	0.0128055	0.00822622	0.00983417	0.0145637
son	0.0349443	0.0172822	0.0177748	0.014768	0.0161197	0.0252753	0.0156177	0.024519	0.0235179	0.0147311	0.0169751	0.0361278	0.0302242	0.0412138	0.0695747	0.0942385	0.0874173	0.0658595	0.040125	0.018039	0.0158267	0.0146502	0.0167926	0.0141755	0.00982643	0.00821378	0.0120707	0.00563561	0.0070493	0.00908661	0.0112824	0.00828077	0.0118861	0.012205	0.045013	0.0936604
fils	0.106581	0.0706085	0.0819517	0.0754948	0.0475532	0.0827419	0.0456928	0.062023	0.0351739	0.0308893	0.0328534	0.0529426	0.0296008	0.0277531	0.0475774	0.0215074	0.0305465	0.0123596	0.0101154	0.0111067	0.00808779	0.00865239	0.00469454	0.00606166	0.0026372	0.00587461	0.00191364	0.00176164	0.00220439	0.0040576	0.00220628	0.0034876	0.0040023	0.00276842	0.00715221	0.0193644
de	0.0503247	0.0380466	0.0371837	0.036631	0.0353558	0.0312966	0.0293359	0.0276785	0.0109371	0.0143188	0.0124719	0.0158143	0.0115554	0.0126211	0.0182716	0.0207561	0.0324954	0.0329094	0.0366465	0.0350588	0.0302445	0.0393771	0.036042	0.0400556	0.0147828	0.0321633	0.0194409	0.0141122	0.0171418	0.0140484	0.0162337	0.0120765	0.0144992	0.0147361	0.0576206	0.0877163
se	0.0583933	0.0338321	0.0274523	0.0254599	0.0309051	0.0306645	0.0249422	0.0267625	0.0112607	0.0185042	0.0221181	0.0374572	0.0233104	0.0350741	0.0425566	0.0408832	0.0413562	0.0270119	0.040494	0.0212316	0.0199675	0.0286733	0.0214451	0.0257702	0.0140681	0.0263404	0.0132059	0.00939785	0.0145188	0.0134799	0.0156529	0.0147171	0.0208221	0.018723	0.0402039	0.083344
marier	0.0530505	0.0367261	0.0308457	0.0261272	0.0158541	0.0225908	0.0341478	0.0245477	0.0205874	0.025045	0.0275219	0.0352128	0.0272015	0.0391709	0.0519923	0.0503984	0.0538527	0.0433591	0.0247342	0.0370062	0.0212786	0.0338468	0.0243885	0.0150644	0.0165541	0.0188182	0.00138647	0.00334425	0.00423159	0.00449562	0.00810194	0.0099865	0.0119032	0.0090911	0.0557029	0.0818338
avec	0.0506654	0.0253393	0.0184554	0.0100177	0.00799108	0.0116006	0.0122743	0.0126631	0.00818409	0.011457	0.00685568	0.0149565	0.0132815	0.0147567	0.0261545	0.0193066	0.0298938	0.0279096	0.0360012	0.0485086	0.0454439	0.061261	0.0625946	0.0650471	0.0282858	0.0302917	0.0285962	0.00762182	0.013437	0.00804745	0.0207623	0.0105851	0.015875	0.0167848	0.0718157	0.107278
