 	w	á	á	n	ω	o	b	ó	n	d	í	í	y	a	a	m	o	r	é	w	a	l	á	a	y	a	a	</S>
si	0.269152	0.15022	0.116567	0.10045	0.0295733	0.00996633	0.00929032	0.00956438	0.00826179	0.00768835	0.00749499	0.00937551	0.0121866	0.00745615	0.00753647	0.00967887	0.0178053	0.0191904	0.0223518	0.0268527	0.0187015	0.0218619	0.0223212	0.0216687	0.0221356	0.0188026	0.0168453	0.0070007
tu	0.182205	0.119471	0.0691258	0.0584477	0.0561176	0.0796254	0.0672343	0.0439125	0.0293282	0.0267937	0.0203965	0.0144811	0.0201117	0.0292768	0.022641	0.0148452	0.0236059	0.0237141	0.0149647	0.0161028	0.0117205	0.00766317	0.0063148	0.00794658	0.00627633	0.00570196	0.00964613	0.0123297
attends	0.0290009	0.0386979	0.023786	0.0275559	0.0197673	0.056921	0.0323996	0.0284524	0.0396842	0.0304575	0.0462429	0.0329964	0.0178658	0.0387692	0.0760073	0.0530864	0.0491934	0.0302326	0.0248453	0.0431134	0.0361317	0.0193977	0.0311813	0.036309	0.035392	0.0209869	0.041634	0.0398923
encore	0.0234551	0.0322918	0.0316347	0.0407548	0.0568367	0.0700821	0.0715024	0.0590482	0.0578177	0.0654822	0.0745308	0.0512207	0.0141061	0.0264565	0.027677	0.0452174	0.0315941	0.0196484	0.017148	0.0176969	0.0088979	0.0126128	0.014565	0.022238	0.0203009	0.0110599	0.0289901	0.0471338
un	0.00976116	0.0053066	0.00558205	0.0148432	0.0280512	0.0384172	0.0478897	0.0473129	0.057587	0.121914	0.11163	0.0819063	0.0229737	0.047429	0.0148244	0.0152957	0.0115047	0.0117076	0.0127358	0.0214498	0.0198389	0.0196882	0.0315291	0.0451657	0.0216996	0.0238303	0.0471678	0.0629587
peu	0.00987152	0.00797566	0.00849267	0.00695939	0.0123165	0.0222403	0.0325368	0.034788	0.0582815	0.0383351	0.0435299	0.0388484	0.0185139	0.0132497	0.00763197	0.00754643	0.00788815	0.0159678	0.0213623	0.027088	0.0202641	0.0329641	0.0282172	0.0378869	0.0477008	0.0772896	0.112989	0.209264
il	0.01466	0.0175116	0.0135596	0.0102289	0.0166324	0.0446142	0.0765034	0.0791335	0.122214	0.0692302	0.0783759	0.0594664	0.0315368	0.0178634	0.00680926	0.00534821	0.00727618	0.0148725	0.0183641	0.0189514	0.0164904	0.0162978	0.0186394	0.0190383	0.0193809	0.0386522	0.0464386	0.10191
va	0.0138532	0.0212465	0.0222334	0.0152987	0.0248266	0.0560512	0.072892	0.0599557	0.0918717	0.0537464	0.0737005	0.0472221	0.0411949	0.0286967	0.00848357	0.00686695	0.00726272	0.0127213	0.0198883	0.017605	0.0129844	0.0172672	0.0199987	0.0207523	0.0216554	0.0439381	0.0489428	0.118844
venir	0.0138677	0.0163841	0.0175773	0.021018	0.0224677	0.0412156	0.0405658	0.0288903	0.0455705	0.0411985	0.0614442	0.0388884	0.0398763	0.0404528	0.02493	0.0213709	0.0190713	0.0305359	0.0369513	0.0380604	0.0316273	0.0319331	0.0339132	0.0301574	0.0244595	0.0376652	0.0485114	0.121396
</S>	0.0195295	0.0185604	0.0145927	0.0221812	0.0259545	0.0413033	0.0474924	0.0316156	0.0336635	0.0425159	0.0452055	0.0281558	0.0244106	0.0319268	0.0310998	0.0324544	0.0302583	0.0335462	0.0303084	0.0344421	0.0331148	0.0388535	0.0427041	0.0507339	0.0372693	0.0414939	0.0547894	0.0818241
