 	o	l	ω	n	d	i	i	n	g	á	l	á	a	t	ώ	ώ	m	b	ώ	n	g	ω	y	é	é	b	v	é	l	a	n	g	á	</S>
celui	0.0104973	0.0114318	0.0114382	0.00870495	0.00946857	0.00695987	0.00513577	0.00995582	0.0083149	0.0562349	0.062626	0.0618434	0.0696793	0.0931193	0.061651	0.0584552	0.0400699	0.0308205	0.0252234	0.021458	0.0278623	0.0161637	0.0173502	0.0189027	0.0197433	0.0204944	0.0177586	0.0108132	0.0266039	0.0364687	0.0311728	0.0288537	0.0458537	0.0188711
qui	0.0672555	0.0923413	0.0351125	0.0481504	0.0177779	0.0250922	0.0236133	0.0526191	0.0475878	0.0185571	0.0222715	0.0370363	0.0513857	0.0646819	0.0749846	0.0592353	0.046192	0.0296556	0.0436825	0.0244638	0.0172074	0.0165947	0.00391669	0.00551601	0.00569988	0.00420558	0.00628515	0.00496595	0.0114147	0.00761612	0.00858989	0.00658308	0.0102556	0.00945309
vient	0.0231768	0.033405	0.0135967	0.0376591	0.075763	0.060602	0.0408099	0.0292934	0.0273148	0.0348213	0.0377984	0.0337084	0.0402704	0.0475291	0.0322484	0.0363609	0.0503471	0.0279143	0.0307613	0.0237616	0.0163947	0.0133047	0.0151908	0.0147646	0.0106183	0.0125575	0.0161318	0.0137035	0.0163255	0.0218063	0.0256101	0.0219959	0.0403958	0.0240586
après	0.0111635	0.0137473	0.00748436	0.0170767	0.0476722	0.0914266	0.0827125	0.0649672	0.0480205	0.0508345	0.0433417	0.0492649	0.0628014	0.0385395	0.0256059	0.018115	0.0310898	0.0157914	0.0163198	0.0178469	0.00599032	0.0147964	0.0100693	0.00826123	0.00984115	0.0110782	0.00997618	0.0114224	0.0125218	0.0131252	0.0189633	0.0197412	0.0270768	0.0733147
moi	0.0104747	0.0117967	0.0140897	0.0181219	0.0185712	0.021985	0.022822	0.0393955	0.0475828	0.0515265	0.0513028	0.0455644	0.0268549	0.0201474	0.016589	0.0146379	0.0196851	0.0107719	0.0199085	0.0237772	0.00913093	0.016256	0.00934854	0.010089	0.0146507	0.0239312	0.0268608	0.01861	0.0428218	0.0306658	0.0502239	0.0621947	0.0852829	0.0943287
va	0.0229281	0.0236688	0.0206691	0.0304991	0.033181	0.0282028	0.0311703	0.0201879	0.0346717	0.0442409	0.0353989	0.0372207	0.0158402	0.0120117	0.0132111	0.0231125	0.0357959	0.0196142	0.0368684	0.0296853	0.0168375	0.0249385	0.0120181	0.0158055	0.025692	0.0273622	0.0343365	0.0267837	0.0504589	0.0269577	0.0402329	0.0382906	0.0515142	0.0605933
ramasser	0.0242412	0.0229142	0.0198026	0.0254061	0.0209595	0.00774036	0.00986407	0.00930093	0.00777722	0.00616362	0.00725514	0.0092248	0.00652196	0.00644695	0.00828293	0.0188771	0.0306942	0.0269172	0.038581	0.0391899	0.0304761	0.036574	0.0233075	0.0301181	0.0466838	0.0499461	0.0685084	0.0508912	0.0554648	0.0397787	0.0470416	0.0479428	0.0471387	0.0799674
l'	0.0161387	0.0158733	0.0170343	0.013283	0.0155995	0.0106638	0.0109593	0.0096905	0.00438798	0.00718564	0.00675327	0.00928481	0.00887071	0.0116009	0.0160197	0.0258052	0.0363789	0.0282263	0.0292246	0.0370305	0.0302125	0.0214392	0.0180056	0.0127664	0.0205103	0.0210157	0.0162294	0.0208701	0.0441195	0.0571154	0.0789541	0.0659223	0.113584	0.149245
argent	0.0375229	0.0468503	0.050054	0.0538548	0.0384125	0.0122381	0.00981488	0.0102567	0.00852157	0.00605849	0.00791813	0.0145619	0.0151005	0.0090428	0.00983298	0.0165059	0.0241231	0.0283277	0.0443941	0.0349704	0.0225008	0.0387929	0.0135256	0.0213145	0.0317007	0.036446	0.0585524	0.0358143	0.0457699	0.0274005	0.0414073	0.0376679	0.0308489	0.0798966
que	0.0405968	0.0329707	0.0406293	0.0324393	0.0252814	0.0102037	0.0115531	0.0141579	0.00826756	0.00679224	0.0102933	0.00572486	0.0044153	0.00387856	0.00438936	0.00910503	0.0233975	0.023628	0.0314829	0.0353682	0.0286275	0.0328179	0.0317234	0.0317072	0.034487	0.0327552	0.0351258	0.0358909	0.0438695	0.0383633	0.046752	0.0737319	0.0668183	0.0927552
