 	m	w	á	s	í	y	e	é	k	o	b	h	í	n	ω	a	d	i	s	í	k	ó	r	a	l	á	n	d	a	</S>
la	0.0026844	0.00477865	0.00547683	0.00869373	0.0124954	0.00462433	0.0130484	0.0184325	0.0178387	0.0353024	0.0404118	0.0786077	0.126522	0.124287	0.0557289	0.0523459	0.0409666	0.0267462	0.0343375	0.0216785	0.0231633	0.0250645	0.025172	0.0248768	0.0319945	0.0251079	0.0354574	0.0341564	0.0253996	0.0246002
femme	0.109135	0.0901046	0.210226	0.0834319	0.123015	0.146106	0.0385307	0.0356215	0.0175844	0.00892089	0.00509034	0.00288419	0.00223529	0.00253694	0.00212365	0.00595688	0.00572404	0.00839982	0.0122593	0.0175691	0.0127925	0.00884311	0.00750321	0.0172325	0.00773845	0.00218829	0.00590619	0.00774609	0.00188841	0.000705349
que	0.0228683	0.0325201	0.0288925	0.0275329	0.0653306	0.0191055	0.0165619	0.0205897	0.023647	0.022279	0.0213362	0.020142	0.0272105	0.0344283	0.0470335	0.0475182	0.0532601	0.0418885	0.086007	0.0456031	0.0551763	0.037958	0.0375334	0.0357883	0.0320414	0.0261985	0.0260151	0.0173322	0.0189382	0.00926358
tu	0.0319756	0.0281219	0.0331302	0.0283406	0.0260214	0.0192924	0.0172309	0.0175236	0.016433	0.0288704	0.0294588	0.0404021	0.0533168	0.0550261	0.0492164	0.0562044	0.0393465	0.0450215	0.0289511	0.0287452	0.0309859	0.0350876	0.0334579	0.0209687	0.0282191	0.0336482	0.0195923	0.0244689	0.0380615	0.0628813
as	0.0843155	0.0333932	0.0203115	0.033062	0.0215532	0.0217104	0.0215852	0.0272341	0.0271058	0.0339617	0.0378971	0.0394421	0.0390491	0.0312424	0.0557872	0.0402298	0.0356523	0.0414332	0.0433004	0.0477667	0.0372659	0.0297978	0.0231163	0.0148413	0.0147813	0.0200678	0.0134058	0.0116325	0.0260498	0.0730085
prise	0.0936188	0.0439907	0.0224654	0.0609558	0.0242757	0.0319662	0.0152941	0.0220166	0.0234509	0.0189878	0.0275794	0.0242149	0.0209747	0.0278925	0.0255091	0.0249508	0.0269543	0.0295223	0.0396742	0.032252	0.0328642	0.041906	0.0339814	0.0373337	0.0313326	0.0279212	0.0360153	0.0302121	0.0259176	0.0659697
en	0.0918573	0.0417032	0.0318934	0.0394899	0.0298837	0.0283296	0.0174492	0.0218171	0.028049	0.0263715	0.0208332	0.0107993	0.0086526	0.00827646	0.0183942	0.0185706	0.0223108	0.0251194	0.027159	0.0304168	0.0328222	0.0376024	0.03239	0.0532559	0.0349471	0.0229184	0.0506485	0.0582472	0.0598806	0.0699113
mariage	0.0263546	0.0377585	0.0271952	0.0357461	0.0206187	0.0141323	0.0111985	0.0132646	0.00993892	0.0115473	0.0111535	0.00887882	0.0080944	0.0111269	0.0160376	0.0191677	0.0325221	0.0398821	0.0587803	0.0408292	0.034072	0.0229221	0.0246491	0.0419492	0.0426777	0.0363304	0.0482655	0.0445335	0.103658	0.146715
est	0.0310981	0.0360993	0.0302401	0.04937	0.0396155	0.0490798	0.029361	0.0337429	0.0337991	0.0441463	0.057356	0.0362709	0.0264216	0.0217327	0.0257112	0.0205467	0.0173134	0.0212065	0.0339053	0.0272289	0.0301584	0.0240513	0.0239792	0.0210426	0.0243221	0.0271466	0.0166274	0.0158005	0.0437268	0.1089
de	0.0643919	0.0572743	0.0559212	0.0560568	0.0491671	0.0330418	0.0244537	0.0254074	0.0267882	0.0295342	0.0242886	0.0227618	0.0259975	0.0309782	0.0388235	0.0328324	0.0300921	0.0298163	0.0262074	0.0122327	0.0115767	0.0191386	0.0189175	0.0239026	0.0216714	0.0285587	0.0328523	0.0383354	0.046072	0.0629077
quelle	0.0624011	0.0543236	0.0560787	0.0511023	0.041587	0.0342262	0.0220283	0.0247583	0.0192713	0.0174609	0.0136258	0.0100776	0.00983814	0.0105627	0.0117004	0.0119	0.014868	0.0174038	0.0215596	0.0287426	0.0276649	0.023896	0.0596852	0.0425707	0.0546366	0.0365375	0.0373428	0.0353551	0.0524852	0.0963097
famille	0.0760955	0.0523365	0.0528604	0.0458748	0.045311	0.0315019	0.0212733	0.0272322	0.0194408	0.0224624	0.0181106	0.0138399	0.0124362	0.0114424	0.0121885	0.0099206	0.00886404	0.0109084	0.0164861	0.0227496	0.0277668	0.0389744	0.0466322	0.0341196	0.0451577	0.0466729	0.042954	0.0447543	0.0447772	0.0968558
</S>	0.132756	0.0684691	0.0513557	0.0451135	0.0287157	0.0164543	0.0111709	0.0113367	0.0110797	0.0126195	0.00956118	0.00934187	0.012574	0.0183805	0.0203921	0.0217875	0.0203745	0.0166635	0.0126095	0.0143798	0.0134338	0.0190721	0.0236415	0.041275	0.0458952	0.0383152	0.0462377	0.0615594	0.0616682	0.103766
