 	b	a	r	e	á	k	o	í	d	z	e	n	d	z	é	ó	s	w	έ	b	h	έ	y	á	p	o	o	m	í	b	ó	n	d	a	l	á	t	s	a	n	g	e	y	á	n	z	a	m	b	é	</S>
des	0.0561546	0.045401	0.0318597	0.0402294	0.0131733	0.0284401	0.0244434	0.0175039	0.0339197	0.0447816	0.0461477	0.0505597	0.0355072	0.0230468	0.01545	0.0113991	0.0105811	0.0060976	0.00900496	0.00837376	0.00715664	0.0070866	0.00592296	0.00535049	0.00599318	0.00508683	0.0050742	0.00508501	0.00512231	0.00613357	0.00615429	0.0063802	0.00734079	0.007327	0.0109426	0.0138996	0.0160533	0.0205242	0.0223327	0.0209777	0.0299144	0.0251738	0.0196325	0.0268891	0.0261793	0.0232732	0.0226987	0.0214066	0.0212887	0.0239999	0.017525
gens	0.0308146	0.0523917	0.0473591	0.12015	0.107259	0.133175	0.158602	0.0275339	0.0236041	0.0188406	0.0169184	0.0158959	0.0104015	0.00665911	0.00518165	0.00764097	0.00542614	0.00190511	0.00195391	0.0014814	0.00110921	0.00116667	0.0013615	0.00264866	0.00277566	0.00650736	0.00699167	0.0062776	0.00396156	0.00219934	0.00235085	0.00277572	0.00326477	0.00432756	0.00461822	0.00536786	0.00708486	0.0107355	0.012943	0.0112647	0.0131894	0.0152697	0.0143175	0.0123533	0.0111854	0.0142002	0.00625528	0.00646766	0.00545134	0.00612103	0.00226266
se	0.0221961	0.0182946	0.0236843	0.0252	0.0329579	0.0303388	0.0214502	0.0348566	0.064717	0.0452156	0.0584516	0.0460809	0.034205	0.0285383	0.0237005	0.00830884	0.00369527	0.00637185	0.00394823	0.00301596	0.00252777	0.00354075	0.00591868	0.00536212	0.00815605	0.00734806	0.00720587	0.00667655	0.0114407	0.0129202	0.0152322	0.0126146	0.0228348	0.0162189	0.0181236	0.0148629	0.0186819	0.0194634	0.0227192	0.0188795	0.0259079	0.0264355	0.0250882	0.0333557	0.0264206	0.0267522	0.0171638	0.011161	0.00861236	0.00861517	0.0045322
sont	0.00861291	0.0155646	0.0166881	0.022962	0.0222854	0.0218556	0.0212471	0.0224834	0.0208271	0.0187311	0.0122023	0.0107795	0.0100713	0.00726786	0.0114874	0.0126551	0.0190076	0.0159196	0.0245979	0.0233175	0.0170518	0.0186055	0.0197791	0.0226645	0.0163674	0.0148987	0.0156036	0.0120131	0.0138996	0.0136964	0.0129512	0.0151379	0.0153458	0.0180891	0.0151511	0.0144775	0.0220436	0.0174744	0.0242063	0.0244915	0.0207654	0.0460688	0.0383572	0.0352732	0.055227	0.0375802	0.0229786	0.0173247	0.0159226	0.0145109	0.0134797
réunis	0.0155344	0.0115093	0.0125436	0.0145996	0.0128463	0.0136003	0.016329	0.0227286	0.0269929	0.0283688	0.0278935	0.0310831	0.0372805	0.0305791	0.0356648	0.0252232	0.0363276	0.023274	0.0240757	0.0264308	0.0237138	0.0260354	0.0224574	0.0257242	0.0194023	0.0206211	0.0193632	0.0154292	0.0176467	0.0202219	0.019656	0.0221141	0.0203659	0.0224344	0.0182515	0.0155939	0.0159049	0.0122123	0.01211	0.0137114	0.00735251	0.0184923	0.016466	0.00728607	0.00872457	0.0161103	0.0069232	0.0133472	0.011239	0.0177539	0.0204504
en	0.0136606	0.0105931	0.0115532	0.00986402	0.0117054	0.00943669	0.00889991	0.012532	0.0162862	0.0142775	0.020008	0.0187738	0.0196027	0.0135023	0.0184914	0.0236697	0.0200878	0.0292356	0.0408252	0.0430603	0.036957	0.0437018	0.0324555	0.0355489	0.0143935	0.0278477	0.0261639	0.0229198	0.0236165	0.021241	0.0145652	0.0302922	0.02641	0.0245249	0.0204771	0.0167428	0.0168552	0.0151527	0.0148429	0.0151798	0.01302	0.0157667	0.015192	0.0115831	0.0109311	0.0187001	0.00952342	0.0139872	0.0113131	0.0138767	0.0201529
grand	0.0134773	0.00865105	0.00926363	0.00907182	0.00959053	0.00741245	0.00722188	0.00961033	0.0121936	0.00739525	0.0150494	0.0187846	0.0166332	0.0162556	0.0262056	0.0249507	0.025031	0.0273594	0.0199704	0.0202722	0.021321	0.0351369	0.0296027	0.0336205	0.0274356	0.0252436	0.0265075	0.0279487	0.0238958	0.0250274	0.0220503	0.0307849	0.0244097	0.0303305	0.0279456	0.0220707	0.0209963	0.0176055	0.0148398	0.0182287	0.0106199	0.0218758	0.0202735	0.00806932	0.0118163	0.0268621	0.00851069	0.0216923	0.0165252	0.018729	0.0256245
nombre	0.0260279	0.0187774	0.0215819	0.0213018	0.020696	0.0197122	0.0283796	0.0282939	0.0317968	0.0175264	0.0246036	0.0158643	0.0166152	0.0177076	0.0229575	0.0213173	0.0153831	0.0233756	0.0278382	0.0343162	0.0237958	0.0294307	0.0200327	0.0211054	0.0118714	0.0167608	0.0204519	0.0179396	0.0156466	0.0172248	0.0208025	0.026074	0.0169626	0.0210764	0.0215381	0.0253112	0.025586	0.0234129	0.0208587	0.0205419	0.015903	0.0160607	0.0184634	0.00996518	0.00899886	0.0124459	0.00807904	0.00895185	0.00718356	0.00799828	0.0154539
au	0.00416337	0.00368629	0.00446029	0.00578976	0.00696222	0.00707297	0.00662352	0.00556036	0.00603788	0.00580267	0.00725283	0.00566392	0.00524774	0.00901715	0.0124646	0.0105702	0.010856	0.0135152	0.00882379	0.0162399	0.022288	0.016198	0.0412388	0.0423301	0.0569468	0.0616829	0.0579986	0.0507802	0.0497182	0.0448424	0.0532414	0.0308208	0.030346	0.0259675	0.0241531	0.0256963	0.0152118	0.0162601	0.0143022	0.015623	0.0108995	0.0110274	0.0122655	0.00833341	0.007943	0.0103196	0.0109162	0.016082	0.0191102	0.0203008	0.0213455
milieu	0.0140102	0.00963782	0.0105422	0.00995229	0.0118216	0.00986366	0.00567858	0.00543098	0.0065431	0.00483123	0.00806143	0.00822772	0.00897471	0.00789107	0.0101196	0.0128806	0.0133615	0.0146786	0.0214141	0.0253582	0.0249432	0.024317	0.0293137	0.0308044	0.0200533	0.0233487	0.0212597	0.0207752	0.0251935	0.0228154	0.0159801	0.0366678	0.0319459	0.023732	0.0219528	0.017218	0.0149655	0.0183152	0.0121214	0.0135076	0.0164735	0.0214734	0.018137	0.0128952	0.0140519	0.0486093	0.0149497	0.0396899	0.0306516	0.0440435	0.0705158
du	0.016154	0.0142939	0.011679	0.0103758	0.0107354	0.00945941	0.0102324	0.0092578	0.00799029	0.00589285	0.00718233	0.00607066	0.00558789	0.0110823	0.0109149	0.0140814	0.0189944	0.020463	0.0164874	0.0190869	0.023093	0.0263376	0.0319278	0.0336199	0.0336523	0.0269575	0.0306565	0.0270334	0.0375555	0.0371133	0.0424145	0.0348296	0.0313867	0.0293437	0.0264852	0.0342857	0.0286336	0.0290429	0.0207122	0.0147654	0.0138649	0.0123252	0.0126909	0.00686225	0.00861726	0.0103635	0.00731222	0.0112478	0.013767	0.0180349	0.0490457
village	0.0105855	0.00579636	0.0059724	0.00621935	0.00581264	0.00607045	0.00347602	0.00291271	0.00267856	0.00296444	0.00325077	0.00314031	0.00353203	0.00340663	0.00422517	0.0064263	0.0111892	0.0140872	0.0140961	0.0166272	0.0183375	0.0185901	0.0208448	0.0199463	0.0284941	0.0271301	0.0261417	0.0232441	0.0264592	0.0248438	0.028121	0.027452	0.0317417	0.0246677	0.0263683	0.02783	0.0252675	0.0248582	0.0236811	0.0250393	0.0315537	0.024719	0.0259518	0.030478	0.0279898	0.0336209	0.0340953	0.0380255	0.0387715	0.0389633	0.0443031
pour	0.0285846	0.0253319	0.0196351	0.0124275	0.0126332	0.00730999	0.00889107	0.0102754	0.0079451	0.00548951	0.00533299	0.00358562	0.00263498	0.0060773	0.0055605	0.00574394	0.00947839	0.010243	0.00842948	0.00708389	0.00958048	0.0118533	0.0130875	0.0247474	0.0155631	0.021425	0.0313884	0.0221485	0.0333246	0.0312077	0.0286443	0.0251793	0.0334321	0.0257982	0.0225475	0.0242941	0.020966	0.0251408	0.0206876	0.0190431	0.0237989	0.0206568	0.0199685	0.0212366	0.0243583	0.0197953	0.0222592	0.0338183	0.0376214	0.0438718	0.0698623
écouter	0.0159744	0.0124253	0.0106262	0.00967141	0.0107435	0.00854121	0.00826003	0.00443504	0.00400959	0.00414148	0.00478505	0.00345536	0.0033372	0.00536091	0.00587717	0.00776999	0.0126843	0.0209721	0.0178014	0.0193575	0.0206232	0.0217634	0.0174263	0.0222698	0.023945	0.0186092	0.0242835	0.0164695	0.0187923	0.0176224	0.0169291	0.0229357	0.0217541	0.0162115	0.0174197	0.0214903	0.0197242	0.0297202	0.0231568	0.0271249	0.044886	0.0325226	0.0239982	0.0270003	0.032231	0.0300153	0.0358756	0.0401507	0.0396686	0.0454977	0.039654
la	0.0266418	0.0178104	0.0144187	0.0136763	0.018872	0.0117527	0.0149457	0.0143789	0.00921076	0.00736804	0.00648246	0.00456457	0.00410746	0.00505328	0.00701629	0.0059362	0.0109858	0.00899657	0.0119771	0.0109988	0.0122272	0.0145379	0.0114653	0.0202141	0.0129177	0.0156655	0.0174999	0.0110813	0.0142151	0.0135837	0.0142517	0.0213669	0.0186902	0.0177269	0.0176954	0.0257665	0.0256526	0.0334497	0.0245083	0.0300112	0.0340156	0.0279526	0.0245363	0.0259052	0.0249151	0.0329298	0.0294862	0.0354466	0.0413551	0.0399891	0.0857473
