 	s	i	m	b	v	ú	á	á	n	ώ	ω	p	á	b	h	a	n	g	á	l	í	i	d	z	w	a	k	ώ	</S>
même	0.0080594	0.00957182	0.00486524	0.0043309	0.0069703	0.0101416	0.0198539	0.0264343	0.0355932	0.0317158	0.0366668	0.0514018	0.049498	0.0470141	0.0476841	0.0564117	0.0498639	0.0571232	0.0507496	0.037858	0.0545943	0.0596782	0.0486801	0.0397952	0.03169	0.0265866	0.036073	0.0373475	0.0237476
s'	0.106039	0.0289638	0.0194644	0.0215716	0.0189085	0.0167321	0.0154086	0.0140526	0.0220038	0.0247225	0.0221773	0.0274954	0.0322106	0.0643795	0.0708178	0.0816585	0.0706427	0.0663378	0.0687331	0.0306956	0.0595817	0.0293833	0.0252434	0.015621	0.00949426	0.0110139	0.0111052	0.00866278	0.0068793
il	0.0715054	0.0360301	0.0340579	0.020409	0.0194759	0.0226305	0.0285699	0.0200179	0.0115986	0.00806547	0.0107002	0.0178983	0.0213229	0.0265993	0.0846665	0.0610526	0.0457825	0.0700798	0.0382052	0.0618385	0.0558293	0.0509779	0.0515489	0.0354585	0.0212699	0.0145085	0.0204461	0.0205081	0.0189465
pleut	0.0447964	0.0481786	0.0658658	0.0538444	0.0429794	0.0731674	0.0713181	0.0441849	0.032758	0.0239286	0.0285026	0.0237926	0.0332344	0.0203045	0.0393993	0.023941	0.0250601	0.0433066	0.0197704	0.0354509	0.0350275	0.0292357	0.0226969	0.0211775	0.0165233	0.0129677	0.0124582	0.018016	0.0381133
aujourd'	0.0323515	0.0373312	0.032812	0.036087	0.0420948	0.0518308	0.061452	0.0681888	0.049583	0.0443033	0.0476597	0.0357632	0.0493603	0.0359675	0.0343521	0.026883	0.0225048	0.0280796	0.0143449	0.040948	0.0228047	0.0154229	0.016033	0.0206974	0.0124615	0.0157365	0.0208695	0.0260053	0.0580718
hui	0.0367279	0.0364313	0.0327389	0.0303052	0.0302618	0.0293914	0.0283289	0.0305463	0.0309815	0.0337182	0.0461181	0.0360676	0.0515395	0.0387282	0.0451749	0.0389692	0.0345748	0.0391406	0.0323207	0.0530382	0.0292143	0.0272186	0.0250845	0.0276371	0.0202606	0.0254793	0.0262428	0.0308861	0.0528734
j'	0.0383523	0.0359273	0.0307956	0.0309309	0.0350323	0.0355063	0.0367887	0.0442211	0.0436585	0.0428814	0.0535241	0.0395613	0.0639419	0.046208	0.0505859	0.0357478	0.0258125	0.0340965	0.0162924	0.0436517	0.0208214	0.0179134	0.0151689	0.0186797	0.0129098	0.0164498	0.0176632	0.0304043	0.066473
irai	0.0478099	0.037753	0.0265783	0.0246404	0.0251183	0.0208227	0.0160432	0.0158335	0.0166129	0.0171179	0.0209429	0.0216928	0.0458993	0.0495512	0.0610155	0.0542967	0.0577802	0.0828009	0.0510956	0.0817406	0.0596945	0.0278181	0.00704996	0.0108622	0.00568358	0.0091586	0.0224424	0.0156506	0.0664941
en	0.0897388	0.0856129	0.0517715	0.0486809	0.0581658	0.0407371	0.0235915	0.0182086	0.0183831	0.024582	0.0306773	0.0298731	0.0479263	0.057905	0.0435586	0.0324997	0.0241841	0.0302384	0.0134141	0.0279655	0.0150363	0.0163444	0.0101777	0.0176304	0.0104517	0.0199117	0.0256767	0.0258207	0.0612363
forêt	0.0895288	0.0760152	0.0636972	0.0512306	0.0454092	0.0281659	0.0204244	0.0195457	0.0185497	0.0197339	0.0229888	0.018291	0.0194258	0.0116642	0.00743141	0.00620587	0.00657951	0.0103714	0.00640153	0.0124982	0.0105366	0.0118071	0.0144381	0.0285398	0.0180218	0.0410097	0.0500658	0.0427644	0.228658
</S>	0.19919	0.0940095	0.0670616	0.0520891	0.044274	0.0275536	0.0137333	0.00922598	0.00867068	0.00931953	0.0105779	0.0103253	0.0133152	0.0150716	0.0184739	0.0120933	0.0108448	0.0162508	0.00788455	0.0191522	0.0125403	0.0134533	0.0114098	0.0254802	0.0106876	0.0248459	0.0356764	0.0608241	0.145966
