 	e	k	ó	n	d	í	l	í	y	i	n	έ	ε	e	d	i	p	é	r	é	n	á	l	a	y	á	k	á	m	b	i	</S>
la	0.0113222	0.0119372	0.0127015	0.0103268	0.00540046	0.00633694	0.00758939	0.0108387	0.0149215	0.0311033	0.0430133	0.0395111	0.0403054	0.0478464	0.0242122	0.0335149	0.0224749	0.0306104	0.0261602	0.0289407	0.0338821	0.0379297	0.0563866	0.0349154	0.0573065	0.0573402	0.0539726	0.0493601	0.0549813	0.0440513	0.0338923	0.0269142
manière	0.0236874	0.0498839	0.0440049	0.0297079	0.028977	0.0291773	0.0442265	0.0762744	0.0911175	0.129252	0.0769328	0.0811143	0.0432887	0.0234534	0.0100136	0.0176909	0.00961237	0.00522083	0.00775893	0.00542102	0.00472464	0.0163461	0.0116824	0.00628646	0.0106768	0.00993688	0.0289117	0.0407362	0.022611	0.0105951	0.0066314	0.00404552
de	0.12961	0.0889959	0.0147487	0.0110135	0.00622793	0.00594555	0.00598322	0.00978688	0.0117136	0.0161008	0.0152564	0.0278195	0.0776789	0.080533	0.0584056	0.0836792	0.046691	0.0554554	0.0430667	0.0420225	0.0348126	0.021092	0.0141795	0.0181562	0.0115811	0.00849756	0.00895115	0.00930389	0.00811489	0.0120748	0.0093855	0.0131168
gratifier	0.0574332	0.058512	0.0446928	0.0479246	0.0138719	0.00875751	0.00628708	0.0112191	0.00951868	0.0162644	0.0163712	0.0123467	0.0209661	0.0470391	0.033752	0.0650224	0.0603903	0.0517961	0.0500349	0.0366338	0.034144	0.0394829	0.0191506	0.023063	0.0197739	0.0177021	0.0294004	0.0307595	0.0238297	0.0163921	0.0239168	0.0535511
des	0.0233203	0.0210321	0.0191352	0.014936	0.0192353	0.058852	0.0606575	0.0687955	0.0557015	0.0253921	0.0202373	0.0241918	0.0353933	0.030957	0.0187974	0.0332591	0.0244269	0.0325504	0.0426656	0.0332364	0.0437852	0.0588685	0.0381918	0.0431316	0.0192057	0.013775	0.0163858	0.0171591	0.0192988	0.0202591	0.0144611	0.0327054
riches	0.0202286	0.0192936	0.0268079	0.0176302	0.0526401	0.110719	0.0812867	0.0825833	0.053739	0.0162044	0.0127055	0.0108117	0.0217111	0.0154319	0.00841914	0.0136368	0.0115587	0.0163757	0.0204639	0.017494	0.0216852	0.0237414	0.0310164	0.0441641	0.0222298	0.0330839	0.0292662	0.0311918	0.0264252	0.0347441	0.0266748	0.0460361
est	0.0683512	0.0494702	0.0389998	0.032649	0.0479884	0.0784855	0.0740942	0.0722786	0.0491887	0.0324652	0.0296783	0.0229163	0.0244226	0.0205737	0.0197475	0.0268256	0.0245732	0.0217236	0.0232244	0.0181652	0.0117377	0.0121096	0.00898034	0.0132265	0.0084276	0.00432363	0.0111882	0.0122019	0.0199072	0.0248231	0.0287099	0.0685429
différente	0.0276607	0.0324607	0.0482013	0.0428324	0.0525179	0.0580299	0.0473698	0.0277217	0.0290298	0.0167944	0.0141066	0.0140324	0.0202735	0.0176642	0.0179797	0.0214063	0.0237642	0.0240153	0.0247815	0.0133921	0.00898823	0.00785046	0.0104053	0.0111141	0.00982669	0.00676293	0.0118132	0.0168762	0.0273796	0.0456991	0.0919845	0.177265
de	0.0508998	0.0521874	0.0409747	0.0457861	0.0357447	0.0308112	0.0322253	0.0222355	0.0234959	0.0162911	0.0183044	0.0169619	0.020237	0.0191202	0.0235431	0.0191661	0.0280075	0.0385012	0.0274664	0.0209946	0.0112216	0.00902909	0.0112198	0.0082075	0.0105476	0.00654818	0.0132227	0.0169619	0.0370024	0.035709	0.0928831	0.164493
celle	0.0532753	0.0513745	0.0386521	0.0323416	0.0130835	0.0095899	0.0109297	0.00897686	0.00849229	0.00559456	0.00655402	0.00568316	0.0124781	0.0160923	0.0201499	0.0177798	0.0215427	0.0353231	0.0242331	0.0251202	0.0231052	0.0217394	0.0214492	0.019556	0.0220491	0.0150543	0.0245369	0.0288915	0.0366337	0.0721935	0.106492	0.191032
des	0.0438344	0.0390651	0.0214058	0.0274329	0.0207315	0.0249046	0.0349516	0.0403556	0.0326665	0.0280706	0.0213906	0.0175927	0.0181915	0.0182044	0.0213851	0.0196849	0.0198412	0.0191443	0.0152408	0.0154358	0.0146466	0.0137774	0.0130489	0.0175059	0.0152578	0.0132622	0.0218305	0.0271287	0.0397798	0.0653669	0.0957692	0.163096
pauvres	0.0850894	0.0678406	0.0224891	0.010992	0.00427054	0.00421322	0.0088968	0.00888794	0.0101375	0.00910916	0.0100986	0.0125696	0.012503	0.0163484	0.0146831	0.0143353	0.0147387	0.0282489	0.0181765	0.0156375	0.0114601	0.0258026	0.0254536	0.0151983	0.0268526	0.00854059	0.0405539	0.0559369	0.0719023	0.0952118	0.0805179	0.153304
</S>	0.0534147	0.0342858	0.0220644	0.0133132	0.00743349	0.00653339	0.00621089	0.0054788	0.00487802	0.00614674	0.00723118	0.00974135	0.0182183	0.0293152	0.0391962	0.0441608	0.0708989	0.0649472	0.0483624	0.0438	0.0238004	0.0288249	0.0263533	0.0174788	0.0168862	0.00671878	0.0228308	0.0248106	0.0393867	0.0663338	0.08221	0.108735
