 	m	í	á	b	ó	m	í	i	l	o	á	s	á	n	g	o	n	d	a	</S>
le	0.00797357	0.0110029	0.0079164	0.00859971	0.00939167	0.0144987	0.0192447	0.0307213	0.0629773	0.0849629	0.199791	0.110498	0.0958294	0.0471675	0.0659578	0.0425467	0.0751759	0.0404847	0.036956	0.028304
feu	0.0211914	0.13314	0.173635	0.207922	0.115843	0.0560142	0.0872834	0.108139	0.0522665	0.0100023	0.00769142	0.003698	0.00167538	0.00146922	0.00521443	0.00159321	0.00949793	0.00114667	0.00117729	0.00140042
est	0.109267	0.044513	0.052652	0.0652959	0.0474729	0.063524	0.11625	0.123517	0.0463733	0.0286385	0.0271733	0.0323638	0.0343399	0.0330143	0.0412265	0.0379109	0.0392332	0.0239475	0.0226321	0.0106549
en	0.0607538	0.0888476	0.0797471	0.0916135	0.0981729	0.0972064	0.0784564	0.030692	0.0241511	0.0109298	0.0124639	0.0148515	0.0224892	0.0330995	0.0469722	0.0386817	0.0579592	0.0375494	0.0308032	0.0445596
train	0.0440966	0.0409748	0.0505914	0.0793782	0.0728406	0.061691	0.049486	0.0603222	0.0654033	0.0582206	0.0374678	0.0435809	0.0516399	0.0387314	0.0273641	0.0382881	0.0306735	0.0271781	0.0400704	0.0820009
de	0.0551779	0.0823463	0.0730502	0.0573572	0.0404422	0.0316648	0.0310228	0.0354174	0.057093	0.0553167	0.0934048	0.0515584	0.0253487	0.0393221	0.0344254	0.0261744	0.0343717	0.0293376	0.0279272	0.119241
brûler	0.0737923	0.0840474	0.0929746	0.122672	0.110577	0.0839377	0.0444888	0.0209756	0.0117026	0.00849954	0.0120241	0.0224957	0.03793	0.0412803	0.0315643	0.0333998	0.035212	0.0330598	0.0356346	0.063732
dans	0.121208	0.0590966	0.0409702	0.0418969	0.0398353	0.0345645	0.0247895	0.00756701	0.00303517	0.0031346	0.00718433	0.0125405	0.0235613	0.0287166	0.0439004	0.0499538	0.0358348	0.0666234	0.113013	0.242574
le	0.0961844	0.0679538	0.0547399	0.0583973	0.0492717	0.0201572	0.0112255	0.0055364	0.00537051	0.00416443	0.00658478	0.0113715	0.0250407	0.0534291	0.063886	0.0604255	0.0689393	0.0724939	0.0890151	0.175813
champ	0.0609617	0.0583016	0.0533113	0.0328836	0.0129828	0.00591406	0.00374359	0.00286348	0.00409396	0.00343929	0.00461659	0.00465902	0.00881952	0.0171302	0.0207153	0.047106	0.0569142	0.0643017	0.163855	0.373387
</S>	0.228121	0.148141	0.110494	0.0585679	0.0252401	0.0163857	0.0150073	0.00967927	0.00430934	0.00435229	0.00537416	0.00846006	0.0157322	0.0155618	0.0205501	0.0262024	0.0274972	0.0459564	0.0639185	0.15045
