 	n	g	a	n	g	a	á	b	έ	m	b	i	w	a	e	l	ó	n	g	ó	m	í	p	έ	ε	l	á	w	á	p	y	o	n	d	o	</S>
le	0.022418	0.0391472	0.0579678	0.0218333	0.0181343	0.0153604	0.0117859	0.00871425	0.0183246	0.0163958	0.0306759	0.0270838	0.0300245	0.0804834	0.0791929	0.114775	0.0708221	0.0654005	0.0523319	0.0248627	0.0257117	0.018602	0.0174237	0.014707	0.0127336	0.0103342	0.00658023	0.0106709	0.0110741	0.00885678	0.0113247	0.00918006	0.00814995	0.0079175	0.00642897	0.0145707
féticheur	0.153006	0.0877871	0.061388	0.166291	0.132629	0.124217	0.0569547	0.0856866	0.0204677	0.017796	0.0127946	0.00431156	0.0124574	0.00473958	0.00352518	0.000516743	0.0010906	0.00116755	0.00183463	0.00536397	0.00668062	0.00486883	0.00450959	0.00336345	0.00254444	0.0047065	0.00238715	0.00152173	0.00287897	0.00209938	0.0021182	0.00221446	0.00164796	0.00230407	0.00108044	0.00105022
lui	0.0136531	0.0154223	0.0108955	0.0159764	0.0242735	0.0476554	0.0913443	0.140461	0.111297	0.0894102	0.0435363	0.0454711	0.112875	0.0463471	0.027416	0.0157119	0.0134702	0.00721532	0.00536113	0.0269938	0.00770526	0.0082704	0.00849864	0.00446947	0.00349867	0.00493949	0.00205312	0.00330212	0.00336452	0.00234948	0.00497543	0.00525676	0.00493724	0.00668147	0.0105308	0.0143808
a	0.0177282	0.0117162	0.0184264	0.0223632	0.0250322	0.0214099	0.0283003	0.0449655	0.0441527	0.0472645	0.0531218	0.0535388	0.0773347	0.0465698	0.0538578	0.0457638	0.0476694	0.0327902	0.0318738	0.035965	0.0245409	0.0173317	0.0130698	0.0132554	0.012652	0.0124441	0.0127582	0.00960936	0.0114576	0.0132702	0.010155	0.020272	0.0175383	0.0155099	0.0154704	0.0208212
exigé	0.0326917	0.00680529	0.00775107	0.0118342	0.0124484	0.0150515	0.025303	0.0265113	0.0375267	0.0515785	0.050915	0.0431392	0.0638744	0.0332161	0.0415223	0.0302316	0.0406492	0.0380514	0.0284933	0.0311203	0.0242507	0.023583	0.0233738	0.0231692	0.025573	0.026674	0.0132652	0.0144335	0.0131731	0.0152187	0.0163828	0.0200782	0.0215974	0.0245691	0.0277622	0.0581817
un	0.0324012	0.00876467	0.00885659	0.0137681	0.0143041	0.0184163	0.02565	0.0247537	0.026821	0.0338237	0.0367819	0.0371531	0.0435613	0.0214966	0.0279704	0.0220176	0.0315538	0.0289179	0.0287649	0.0315962	0.0287818	0.0297775	0.0299377	0.0311826	0.03024	0.0309932	0.0216464	0.0198373	0.0200474	0.018853	0.0241476	0.0311139	0.0326285	0.0343988	0.038097	0.0609441
sacrifice	0.047644	0.0244386	0.0185997	0.0204689	0.0223004	0.0298472	0.0236541	0.0186389	0.0208888	0.0299231	0.0393834	0.0411114	0.0678239	0.0501951	0.0338368	0.0172361	0.0176665	0.0185938	0.0195382	0.0170261	0.0222915	0.018187	0.02012	0.0211643	0.022012	0.0209601	0.0205739	0.0205313	0.028408	0.0278832	0.0298475	0.0271719	0.026443	0.0262052	0.0286067	0.0607794
avant	0.0145018	0.0105865	0.0115426	0.0116462	0.00960151	0.0124501	0.0133236	0.0140147	0.0114236	0.0127694	0.00881617	0.0116092	0.0157663	0.0130127	0.0234455	0.0306087	0.036321	0.0443435	0.0504246	0.0469942	0.0524879	0.0472572	0.0439964	0.0379018	0.0358148	0.0452349	0.0329846	0.0369548	0.0370864	0.0312531	0.0333874	0.0320452	0.0315294	0.0322548	0.032687	0.0339224
de	0.0261763	0.0169138	0.0297303	0.0177601	0.0224303	0.0293693	0.0193596	0.0212117	0.0194273	0.0270372	0.0216703	0.033976	0.0315532	0.0156529	0.0163602	0.0148609	0.0197623	0.0268486	0.0313059	0.0370365	0.0365202	0.0400148	0.0400497	0.034757	0.0332881	0.0291998	0.0298726	0.0316951	0.0268923	0.0300632	0.0313366	0.0315801	0.0311129	0.0301109	0.0278612	0.037203
lui	0.0677545	0.0252753	0.0180467	0.018952	0.0200263	0.0140945	0.0171935	0.0148383	0.0169091	0.0190627	0.0177219	0.0181983	0.0251924	0.0161547	0.0262902	0.024644	0.0348808	0.0357457	0.0358027	0.0381108	0.0385423	0.0191191	0.0217651	0.0203347	0.0221392	0.0175076	0.0148179	0.0339127	0.034883	0.0276077	0.0459102	0.0254086	0.0286851	0.0384852	0.0332005	0.0727867
donner	0.03825	0.0226242	0.0186605	0.0190939	0.0150577	0.0121663	0.0112215	0.00994859	0.0107756	0.0126124	0.0109173	0.0106117	0.0161796	0.00852972	0.0163206	0.0190895	0.0230322	0.0253763	0.026065	0.0270795	0.0275767	0.0197584	0.0211692	0.0234145	0.0248009	0.0225414	0.0315283	0.043398	0.0473619	0.0462831	0.0612383	0.0472416	0.04726	0.0571613	0.0573838	0.0682704
les	0.0489267	0.0198406	0.0148676	0.0202712	0.0185883	0.017804	0.022926	0.0167599	0.0138849	0.0167898	0.0120676	0.0151102	0.0250675	0.0137959	0.0282527	0.0264678	0.0368798	0.037931	0.0367275	0.0405152	0.0383576	0.0201988	0.0220496	0.0251156	0.0282841	0.0236667	0.0305428	0.0453541	0.0348515	0.0293786	0.0432079	0.0286258	0.0253459	0.0328902	0.0369766	0.0516799
attributs	0.0342081	0.020212	0.0210662	0.0223435	0.0235247	0.0259962	0.0166763	0.0125375	0.011642	0.0104427	0.00905024	0.0145124	0.0232402	0.028101	0.0284141	0.0301948	0.030718	0.0253817	0.0220651	0.0244893	0.0269167	0.0166452	0.0195736	0.0198429	0.0209674	0.0190845	0.0271782	0.0611015	0.0442662	0.0303685	0.0561285	0.0328135	0.0313772	0.0372843	0.0485282	0.0731075
de	0.0344143	0.0195758	0.00996684	0.0172078	0.0114559	0.0104786	0.00901445	0.0160595	0.01796	0.018049	0.0183162	0.0482676	0.0362499	0.0269947	0.0347617	0.0256355	0.0325801	0.0676926	0.0560894	0.0294816	0.0503813	0.0297862	0.0306675	0.0225861	0.0382366	0.0242181	0.0385576	0.0297018	0.0277974	0.0213635	0.0181767	0.0174517	0.0200371	0.0254748	0.0240737	0.0412381
la	0.0269907	0.00853567	0.0097065	0.0101743	0.0130875	0.0122845	0.0184177	0.0187379	0.0146166	0.0148148	0.0120974	0.0100387	0.0134623	0.0115076	0.0122799	0.0179774	0.0205959	0.0297477	0.0354772	0.0313338	0.0415244	0.0225714	0.0254105	0.0263039	0.0327572	0.0236786	0.0326088	0.0587591	0.036975	0.0364216	0.055217	0.0357798	0.0361977	0.0445074	0.0513712	0.098032
sorcellerie	0.0122018	0.0103328	0.0123814	0.0119967	0.0151854	0.0127937	0.0185551	0.011882	0.011738	0.0114292	0.00589061	0.00929403	0.0124564	0.0127017	0.011973	0.0146803	0.0110043	0.0124797	0.0156502	0.0213471	0.0225647	0.0139986	0.0164448	0.0224178	0.0185325	0.0162092	0.0289137	0.0887691	0.0674817	0.0478139	0.0825468	0.0469337	0.0442868	0.0559217	0.0727768	0.0984148
</S>	0.019034	0.00757166	0.00593632	0.00578284	0.00762132	0.00606733	0.0109023	0.0106763	0.0145405	0.0158624	0.0138527	0.0163803	0.0268182	0.0147881	0.0180982	0.0247436	0.0198422	0.0265562	0.0325791	0.0232507	0.0303132	0.0278681	0.0295235	0.0298594	0.0368043	0.0211328	0.0322636	0.0388761	0.0292198	0.0421239	0.0443841	0.0437598	0.0589554	0.0511446	0.0607914	0.102076
