 	b	é	a	b	í	í	b	h	í	s	í	n	ω	ó	t	s	é	y	á	m	é	s	á	í	b	h	í	i	k	ú	n	d	á	k	u	n	d	a	</S>
ce	0.00539815	0.0129521	0.0113956	0.0126439	0.0185508	0.0161345	0.0183127	0.0243101	0.0548791	0.12266	0.0872024	0.10903	0.067496	0.110248	0.0236295	0.0157766	0.0281167	0.00979148	0.0110029	0.0119569	0.00907987	0.0104679	0.0104386	0.00786916	0.00730046	0.00718914	0.0112546	0.00882885	0.00977893	0.0112567	0.0135546	0.0127715	0.0128013	0.0191287	0.0174832	0.023879	0.0119328	0.0119448	0.0115533
que	0.110606	0.277749	0.130267	0.107561	0.0372366	0.0264196	0.0100118	0.00608075	0.00348986	0.00359983	0.00206657	0.0013163	0.00079569	0.000426084	0.000506749	0.000590141	0.00102537	0.000903271	0.00144326	0.00866304	0.00233419	0.00546553	0.0045835	0.00408214	0.00511932	0.00877163	0.0223521	0.0502136	0.0210396	0.0297264	0.0404095	0.0235955	0.0241605	0.00743504	0.00836692	0.00434593	0.00491354	0.00134934	0.00097801
tu	0.0842416	0.0985954	0.136449	0.0647553	0.0154698	0.016062	0.00952501	0.00783069	0.00908584	0.00624389	0.00450848	0.00621828	0.00312854	0.0035546	0.00176154	0.00241075	0.0050472	0.00324985	0.00505344	0.0093768	0.0156032	0.0254197	0.0248442	0.0252848	0.0292802	0.0518924	0.0523903	0.049188	0.0488601	0.0531367	0.0190988	0.0268808	0.015621	0.0193675	0.0131515	0.0129972	0.00699013	0.00838459	0.00904114
cachais	0.0988771	0.14077	0.0372848	0.0597613	0.00966279	0.0110718	0.0103827	0.00770878	0.00728209	0.0151288	0.0177096	0.0273064	0.0272082	0.062057	0.0141232	0.0108034	0.00781001	0.0103548	0.0121284	0.0135055	0.0230868	0.0397289	0.0361611	0.0453731	0.0444531	0.0369504	0.0169368	0.00959221	0.00796648	0.00949925	0.00959951	0.00714258	0.0142432	0.0129068	0.0124409	0.0106346	0.00583155	0.0119308	0.044585
sous	0.0225069	0.0166955	0.0105465	0.00917866	0.0111184	0.018169	0.0175908	0.0149987	0.0149218	0.0100371	0.0119965	0.017671	0.0154318	0.0317484	0.0486311	0.0418255	0.0346805	0.0333829	0.0423373	0.0533879	0.0294006	0.02247	0.0223885	0.0138815	0.0293822	0.0374964	0.0258916	0.0533592	0.0303156	0.027152	0.0335762	0.0358735	0.028586	0.0143056	0.0131649	0.00895341	0.0155411	0.0184137	0.0629919
la	0.0280541	0.0462735	0.019842	0.0181413	0.0202798	0.0346847	0.023178	0.0208538	0.0182402	0.0166416	0.0163664	0.0259966	0.0246049	0.0568723	0.0558904	0.0559425	0.0455405	0.0229173	0.0236629	0.0183725	0.0151889	0.0107124	0.0105801	0.00523024	0.0180314	0.0153041	0.00860617	0.0115477	0.0112651	0.0107185	0.0129421	0.0156089	0.0208779	0.0201172	0.0215844	0.0184153	0.0276754	0.0330586	0.12018
table	0.0382948	0.0396979	0.0379493	0.0278493	0.0152627	0.0174826	0.0149389	0.0124457	0.0104452	0.00888653	0.00451244	0.00944662	0.0157519	0.0146214	0.0351444	0.0153916	0.017483	0.0235832	0.0349725	0.033502	0.0216744	0.0170003	0.020299	0.00613774	0.0227951	0.0233226	0.0178759	0.0188285	0.00602337	0.0107687	0.0153554	0.0200626	0.0423135	0.0217251	0.0415906	0.0198047	0.0419153	0.054445	0.1504
est	0.0342012	0.0221082	0.00806704	0.011618	0.00800464	0.00946817	0.007018	0.00552808	0.00398972	0.00283137	0.0021339	0.00381337	0.00455469	0.00705759	0.0088166	0.00988041	0.0139233	0.0281978	0.0389324	0.0355174	0.0650012	0.0619275	0.0714676	0.0497383	0.0874317	0.0531171	0.042908	0.0342524	0.0224834	0.0335024	0.0206017	0.0147302	0.0152322	0.0100635	0.0125642	0.00901094	0.0174273	0.0270976	0.0857809
découvert	0.0265013	0.0167336	0.00988732	0.0130117	0.0105061	0.00886211	0.00956816	0.0085504	0.00608679	0.00732443	0.00868253	0.0124956	0.0127056	0.0194276	0.0211323	0.0267046	0.0271335	0.0290067	0.0336708	0.0295197	0.0417947	0.038136	0.038087	0.0366007	0.0508558	0.0392565	0.0274045	0.0174223	0.0054333	0.00791834	0.0130951	0.00941157	0.0236463	0.0156438	0.0394942	0.021256	0.0363442	0.0524045	0.148284
</S>	0.0545615	0.0351528	0.0154768	0.0151051	0.0113531	0.0175678	0.0138208	0.0134076	0.0119304	0.00797624	0.00723168	0.00876143	0.00855877	0.0118405	0.0158986	0.0189763	0.0222499	0.0279844	0.0302621	0.0231117	0.0333423	0.0388218	0.0445448	0.039061	0.0513783	0.0339864	0.0268062	0.02113	0.0243939	0.0278932	0.0273597	0.0111862	0.0148598	0.00759126	0.0124945	0.00748189	0.0196017	0.0298024	0.157037
