 	n	g	á	í	l	o	i	m	w	á	n	a	m	o	k	w	é	r	é	</S>
j'	0.110033	0.389932	0.27816	0.0636639	0.0523887	0.0108158	0.00604577	0.00668615	0.00520756	0.00630583	0.00531731	0.00531974	0.00752264	0.00598652	0.0076197	0.00527347	0.00961741	0.00852322	0.0083332	0.00724862
ai	0.16821	0.0453352	0.0520275	0.0558973	0.0546177	0.0361698	0.0286177	0.0701617	0.0443958	0.0627783	0.0956876	0.0539954	0.0282176	0.0171915	0.0141112	0.015318	0.0173026	0.0232901	0.0259016	0.0907737
donné	0.0524932	0.109912	0.0479903	0.0462625	0.0511716	0.0654225	0.0857333	0.0636668	0.0671503	0.0638898	0.0509634	0.0466794	0.0570493	0.0343573	0.0417231	0.0307587	0.030264	0.0220414	0.0175418	0.0149294
à	0.0349792	0.0377494	0.0264134	0.010246	0.0130192	0.0154261	0.0314214	0.0545623	0.024287	0.0282581	0.0629638	0.0904308	0.0935258	0.0790876	0.0737988	0.106856	0.0592141	0.0369369	0.0535919	0.0672321
mon	0.0193484	0.0155337	0.00808183	0.00681484	0.0245029	0.0486054	0.118258	0.100668	0.0874463	0.0565316	0.0537829	0.0541794	0.052273	0.0422057	0.0428362	0.043839	0.0420088	0.0391708	0.0606016	0.0833118
fils	0.0280093	0.0384331	0.0232987	0.0208897	0.0272327	0.0473693	0.0897986	0.106072	0.0922319	0.0410147	0.0395045	0.0342602	0.0488071	0.0341981	0.0344268	0.0346281	0.0460316	0.0569556	0.0573923	0.0994454
le	0.0217039	0.0261957	0.0216563	0.0187229	0.0235631	0.0265198	0.0527088	0.0844248	0.0530551	0.0593065	0.0465873	0.0477354	0.0540546	0.0446213	0.0515532	0.0463963	0.0648547	0.0745865	0.0845074	0.0972465
nom	0.0223632	0.026258	0.0267095	0.0299936	0.0400603	0.0407311	0.0503322	0.0387551	0.0289873	0.0268129	0.0296527	0.035195	0.0514817	0.0328344	0.0431114	0.0351306	0.0482022	0.118958	0.115552	0.158878
d'	0.0744224	0.0638396	0.103588	0.114583	0.0473561	0.0239417	0.0278892	0.0258884	0.0261418	0.0164949	0.0210975	0.0203993	0.0339581	0.0447118	0.0452198	0.0525091	0.054146	0.0611721	0.0724434	0.070198
okwere	0.0327956	0.0263047	0.0302817	0.0327986	0.0222035	0.0182357	0.0336027	0.0420574	0.0288315	0.0422526	0.0438505	0.0415879	0.0592654	0.0493954	0.0601564	0.0658302	0.098923	0.0936645	0.0934318	0.084531
</S>	0.0716306	0.0459809	0.0252163	0.0315789	0.0160683	0.0140803	0.0167349	0.0160028	0.015248	0.0164857	0.0254554	0.0329375	0.0512955	0.0690162	0.0741046	0.0847753	0.102065	0.0882318	0.0899636	0.113128
