 	o	s	ω	ω	ó	d	i	s	é	b	h	e	s	é	</S>
il	0.0339475	0.0546778	0.067424	0.0337583	0.0482383	0.0525114	0.0496653	0.0501771	0.0781575	0.0808655	0.0845552	0.127195	0.0564044	0.0867559	0.0956664
y	0.220767	0.228393	0.127869	0.0420401	0.0235438	0.0179375	0.0237035	0.0371019	0.0279331	0.0370331	0.0360355	0.0240849	0.0339764	0.03871	0.0808705
a	0.182743	0.105365	0.0498945	0.0199703	0.0103444	0.0068706	0.00942879	0.0230935	0.027199	0.0425457	0.0817234	0.111791	0.132808	0.0638697	0.132353
de	0.116143	0.0859449	0.0830263	0.0466578	0.0428201	0.0329491	0.0279757	0.020094	0.0203261	0.0243047	0.04053	0.168703	0.153213	0.0842415	0.05307
la	0.025637	0.0503801	0.0834471	0.0777465	0.0456978	0.0328665	0.0378261	0.0358021	0.0638899	0.0881142	0.133321	0.0935812	0.0661231	0.0731413	0.0924255
moelle	0.0463197	0.0723726	0.112698	0.118464	0.10993	0.0992456	0.079111	0.0497095	0.0524019	0.0616231	0.0372897	0.016927	0.0198997	0.0299198	0.0940882
dans	0.0691564	0.044759	0.0418668	0.0371987	0.0413431	0.0318206	0.0226585	0.0214358	0.0388761	0.0640372	0.0863554	0.111513	0.114421	0.108872	0.165687
l'	0.139823	0.0823487	0.043245	0.0212365	0.0182609	0.0185775	0.0129379	0.0147546	0.0170961	0.0222603	0.040466	0.0804897	0.0579606	0.154249	0.276294
os	0.14959	0.101405	0.0878512	0.0380975	0.0198959	0.00811518	0.00426317	0.00708508	0.0120941	0.0235602	0.0310177	0.0314604	0.0556441	0.162774	0.267148
</S>	0.170422	0.100776	0.0678559	0.0337774	0.029054	0.0144927	0.00917134	0.0108173	0.0147152	0.021706	0.0302733	0.0817965	0.136721	0.116732	0.161689
