 	m	í	á	m	í	í	p	f	u	r	ú	n	ω	í	d	í	m	i	m	í	a	m	έ	n	έ	</S>
le	0.00901231	0.0140389	0.0124564	0.00831452	0.011125	0.0134252	0.0166767	0.0273266	0.0348452	0.0312446	0.0422705	0.0714195	0.113235	0.0933882	0.0762809	0.0544223	0.0416776	0.0243593	0.028266	0.0374488	0.0342314	0.0446535	0.0469931	0.0411434	0.0396225	0.032122
feu	0.0101185	0.0330371	0.113883	0.243661	0.226247	0.114589	0.0814557	0.00855695	0.00753733	0.0150139	0.030535	0.00891093	0.00330411	0.00333777	0.00647014	0.0129229	0.00725966	0.00678196	0.00954778	0.0147647	0.017201	0.0140459	0.00508274	0.00366912	0.00128801	0.0007787
que	0.166789	0.0654018	0.0250004	0.0228871	0.00710239	0.00843354	0.00740081	0.00853661	0.0094475	0.0125997	0.0238438	0.0238849	0.0300732	0.050033	0.0546817	0.0459789	0.062534	0.0398587	0.0632983	0.0625659	0.0560345	0.0259608	0.0279329	0.0389826	0.0454477	0.0152903
tu	0.0333688	0.0328272	0.0709235	0.0948845	0.0573522	0.0242025	0.0319448	0.0303718	0.0368644	0.0410831	0.0801198	0.0750624	0.0563592	0.0394323	0.0528484	0.0467881	0.0145805	0.014944	0.0114522	0.0148074	0.0114914	0.0174075	0.013939	0.0230168	0.0274888	0.0464393
as	0.0494141	0.036973	0.0327112	0.054601	0.0888131	0.0800376	0.0720562	0.0471579	0.123017	0.0910138	0.0942015	0.0131128	0.0100224	0.0118885	0.0164162	0.0176495	0.0190489	0.0207441	0.0129154	0.0162034	0.0100052	0.0102948	0.00887905	0.0100121	0.0109703	0.0418408
allumé	0.0513724	0.0436348	0.0505907	0.0759134	0.110937	0.0579505	0.0472561	0.0301066	0.0216548	0.00711496	0.00719343	0.00209816	0.00207194	0.00383472	0.00666276	0.0149235	0.0260178	0.0290949	0.0346201	0.04887	0.052702	0.0472408	0.0441886	0.0524716	0.0441336	0.0873449
s'	0.0784598	0.0448827	0.0312264	0.0236892	0.00987068	0.00510769	0.00355438	0.00192002	0.00285127	0.00957196	0.0144655	0.0155296	0.0234329	0.0274935	0.0278673	0.033724	0.0653816	0.0685224	0.0488802	0.0442671	0.0460137	0.0626939	0.0476457	0.063866	0.0738522	0.12523
est	0.0703672	0.0950991	0.082507	0.0656711	0.0425636	0.0264011	0.0223412	0.0184435	0.0157604	0.00772522	0.00875382	0.00852471	0.00642793	0.00645547	0.00605542	0.00752512	0.00941781	0.012343	0.0123323	0.0192978	0.0148735	0.0229795	0.0153593	0.0361621	0.063324	0.303289
éteint	0.06694	0.0856454	0.0825322	0.0831214	0.0818511	0.0389295	0.0342776	0.0130813	0.00964683	0.0081808	0.0102283	0.00468752	0.00352704	0.00542591	0.00724513	0.0173987	0.0152721	0.0137209	0.0318823	0.0598479	0.058113	0.0487326	0.0192285	0.0275121	0.0357093	0.137263
tout	0.104521	0.074586	0.0561095	0.042685	0.0160857	0.0131414	0.013356	0.00951738	0.0103047	0.0152885	0.0160575	0.0172744	0.0270251	0.0582771	0.0403183	0.0265741	0.036434	0.0414907	0.0278797	0.0241174	0.0159513	0.0253774	0.0250446	0.050766	0.0547058	0.157111
seul	0.128752	0.0683043	0.0425582	0.0287113	0.0170874	0.00766543	0.00906828	0.00632124	0.00791817	0.0065998	0.00949486	0.00572205	0.00978152	0.0100964	0.0107385	0.016533	0.0200547	0.0182541	0.0191596	0.0206853	0.0306465	0.0695339	0.073036	0.101799	0.113775	0.147704
</S>	0.119817	0.0686559	0.0400231	0.0299804	0.0124196	0.00570532	0.0046426	0.0026851	0.0065771	0.012855	0.0187079	0.0137248	0.0281068	0.052179	0.0355997	0.0526139	0.0529702	0.0592343	0.0560296	0.0519737	0.0258076	0.045504	0.0258718	0.0432326	0.0499672	0.0851163
