 	n	g	á	l	a	n	a	m	í	n	á	i	b	a	a	d	í	m	ó	k	o	n	d	z	i	b	á	p	o	o	</S>
j'	0.195131	0.278895	0.157794	0.0589166	0.0239645	0.00877762	0.00779584	0.00470697	0.0042401	0.00406402	0.00445991	0.00632933	0.00591967	0.0137216	0.0241713	0.0324378	0.0358171	0.0186877	0.0157949	0.0122358	0.0109775	0.0103702	0.0105059	0.0110966	0.00837306	0.00684959	0.00710202	0.00477591	0.00411934	0.00433848	0.00762988
ai	0.0408532	0.0201895	0.0261439	0.0210306	0.0254905	0.0641163	0.0975167	0.112757	0.129459	0.108028	0.0620789	0.0268019	0.0251221	0.0281249	0.0443176	0.0285239	0.0277963	0.0119234	0.00732427	0.00648365	0.00761368	0.00732511	0.00773194	0.0117959	0.00779295	0.00835054	0.00757853	0.00661371	0.00622713	0.00424124	0.0106474
succédé	0.031262	0.0308617	0.0232177	0.0152574	0.0182333	0.0270374	0.0234038	0.032803	0.0324946	0.0255934	0.0564502	0.0512431	0.0537016	0.0774798	0.0650282	0.0528129	0.0525017	0.0308171	0.030299	0.0304546	0.0311531	0.0225149	0.0210784	0.0183551	0.018546	0.0176522	0.0171127	0.018985	0.0190372	0.032981	0.0216322
à	0.0222857	0.00888285	0.00860521	0.00689404	0.00445681	0.0060473	0.0120134	0.0180862	0.0228891	0.0324503	0.0464365	0.0489016	0.0485767	0.0573727	0.0850752	0.0941541	0.0754552	0.0448749	0.0416172	0.0378304	0.0263691	0.0208751	0.01431	0.00924689	0.0109133	0.0101389	0.0145164	0.0186768	0.0273784	0.0434211	0.081249
cet	0.0350757	0.020089	0.0132524	0.00776745	0.00888551	0.0195944	0.0251118	0.030134	0.0350591	0.0339149	0.047607	0.038521	0.0328693	0.0324909	0.0486524	0.0389569	0.0380448	0.0294098	0.0310189	0.0407778	0.0344526	0.0350122	0.0308168	0.029164	0.0348568	0.028807	0.0228371	0.0342675	0.0371274	0.0486859	0.0567395
homme	0.0148164	0.0126289	0.0172424	0.00757199	0.0105626	0.0111241	0.0296898	0.0331269	0.0337715	0.0430471	0.0751639	0.0643077	0.0360312	0.0326477	0.0228213	0.0147446	0.013794	0.0127195	0.0134286	0.016982	0.0221512	0.0235141	0.0308399	0.0348751	0.0370678	0.0356348	0.0276616	0.0457875	0.0587003	0.0627332	0.104812
comme	0.0575702	0.0406374	0.0284798	0.0137158	0.0125036	0.0137746	0.0189453	0.0223397	0.0328159	0.0347032	0.0455978	0.0502039	0.0394391	0.0390429	0.0396101	0.0413112	0.0427996	0.0320736	0.030576	0.0321223	0.0271348	0.0274963	0.0227299	0.0236334	0.0250985	0.025179	0.0251949	0.0274835	0.0323519	0.0337006	0.0617351
chef	0.0748163	0.0315365	0.0213988	0.00946981	0.0113791	0.0181317	0.0196957	0.019845	0.0142515	0.0144069	0.0198153	0.0135617	0.00958805	0.00916877	0.015305	0.0189059	0.0163741	0.0222959	0.0274957	0.0399485	0.0381547	0.0442734	0.0485349	0.0461212	0.0558181	0.0449424	0.0483538	0.0543685	0.0550875	0.0648365	0.0721187
du	0.0310768	0.0176053	0.01483	0.0155305	0.0155064	0.0162078	0.0228279	0.0245259	0.0210631	0.0218361	0.0366437	0.0250883	0.0161277	0.0161992	0.0175302	0.0208458	0.02038	0.0230685	0.0238908	0.0283627	0.027789	0.0319576	0.0366992	0.0426067	0.0513929	0.0563476	0.0572512	0.0603362	0.0606815	0.064585	0.0812064
village	0.0195839	0.0161439	0.0171879	0.0134108	0.0119546	0.0122025	0.0157326	0.020907	0.0246302	0.0279771	0.0340631	0.0258537	0.0145257	0.0146222	0.0152655	0.0210191	0.023705	0.0319341	0.0349393	0.0376126	0.0421029	0.0407689	0.0536323	0.0358297	0.0372818	0.0391229	0.0367566	0.0468744	0.0564822	0.0726042	0.105273
</S>	0.127552	0.0471255	0.010907	0.016016	0.0192089	0.0288924	0.0286977	0.0304866	0.0189117	0.0140181	0.0192816	0.00956973	0.00702784	0.00551667	0.00896074	0.0107327	0.00947688	0.0142977	0.0172146	0.0285337	0.02823	0.0317786	0.0396882	0.0338253	0.0561444	0.0555966	0.035372	0.0515715	0.0493033	0.0701314	0.0759302
