 	n	g	ó	o	á	d	z	a	r	i	m	w	á	n	a	l	e	b	á	m	b	á	l	á	m	í	t	é	b	h	a	l	á	w	a	</S>
la	0.230886	0.131112	0.0523263	0.048699	0.00933247	0.0138688	0.0137887	0.00919572	0.00886045	0.0109383	0.0308854	0.0297155	0.0247782	0.0162873	0.0148296	0.011296	0.022766	0.0296622	0.0432891	0.0280022	0.0143953	0.0190332	0.0109167	0.00751065	0.00853934	0.00702291	0.0065584	0.00989161	0.0126134	0.0173843	0.0210816	0.01756	0.0204045	0.0181837	0.0171806	0.011205
mère	0.270577	0.160446	0.224259	0.136123	0.0666246	0.0429652	0.0193297	0.0154958	0.0125746	0.0120035	0.0029969	0.0042583	0.000769176	0.000272369	0.000145622	0.000270445	0.000252948	0.000380863	0.000382695	0.000332452	0.000988849	0.00144389	0.00389481	0.00283789	0.00545403	0.00344065	0.00252623	0.00201332	0.00111281	0.00243538	0.00072663	0.000507448	0.000799408	0.000806381	0.000314391	0.000236625
a	0.0406327	0.0536664	0.0538067	0.080273	0.049331	0.0308481	0.0228381	0.0244635	0.033881	0.0161586	0.0177165	0.0328763	0.0172715	0.0161909	0.0312069	0.0205494	0.0258484	0.0308674	0.0350453	0.0337731	0.0155228	0.00484606	0.00608788	0.00845979	0.00815839	0.0077787	0.0141912	0.0129622	0.0200378	0.0225435	0.0312863	0.0389995	0.042539	0.0584937	0.0266452	0.0142035
donné	0.0348478	0.0376966	0.0312578	0.0310275	0.0249626	0.0206324	0.0223959	0.0167772	0.0202224	0.0161934	0.0094908	0.0193144	0.0208626	0.0237735	0.0180857	0.0210645	0.0118644	0.0141224	0.0180195	0.0241575	0.0198923	0.00909241	0.0115506	0.00919404	0.0204228	0.0176018	0.0476262	0.0401602	0.0759414	0.0377645	0.0499131	0.0428211	0.027151	0.0450569	0.0546742	0.0543684
une	0.0225278	0.0147358	0.0152595	0.0207332	0.0307719	0.0231807	0.0277245	0.0233822	0.0254097	0.0213461	0.0182686	0.0200381	0.022323	0.0216297	0.0132111	0.0183123	0.0130054	0.0175471	0.0184317	0.0209552	0.0453552	0.0561121	0.0756522	0.0286246	0.0369219	0.0304663	0.034942	0.0254792	0.0291686	0.0243152	0.025121	0.0290034	0.0203757	0.034228	0.0417677	0.0536734
giffle	0.0295893	0.015181	0.0138962	0.0152659	0.0243463	0.0229904	0.0313351	0.0239036	0.0234073	0.0182348	0.0286472	0.0239562	0.0208755	0.0153096	0.0102369	0.0155871	0.020915	0.0254335	0.0240282	0.0265882	0.0450452	0.0356166	0.0470341	0.0314924	0.0445797	0.0440914	0.0403986	0.0485619	0.0364364	0.0400535	0.0167621	0.0212839	0.0159402	0.0138525	0.0328511	0.0562729
à	0.00798065	0.00656588	0.00623085	0.00626798	0.00938365	0.00919453	0.0105392	0.0120595	0.00975446	0.0118235	0.012935	0.00972866	0.0147188	0.0155576	0.0149719	0.0278322	0.0311322	0.0401348	0.0328366	0.0473258	0.0659189	0.0416554	0.0504266	0.0737286	0.0580325	0.0611435	0.0656911	0.0428794	0.0239733	0.0352696	0.0149626	0.0222831	0.0140422	0.0153407	0.0287241	0.0489547
son	0.0181103	0.0111128	0.00984695	0.0156921	0.014506	0.0126103	0.0144377	0.0123569	0.0132088	0.0113829	0.0160409	0.0137882	0.0118663	0.0121839	0.0108816	0.0125558	0.0166083	0.0179806	0.0157718	0.0179463	0.049916	0.0873235	0.102249	0.0413952	0.0360537	0.0320417	0.0267825	0.0168639	0.0289393	0.0256977	0.0264808	0.0302726	0.0444188	0.0502273	0.0517399	0.0707097
enfant	0.021495	0.0199944	0.0170307	0.0180998	0.0129971	0.0103851	0.00971817	0.00935914	0.00747386	0.010457	0.00988816	0.00741583	0.0152635	0.0180516	0.0142133	0.0241852	0.0271958	0.0299278	0.0310253	0.0481098	0.0725043	0.0690266	0.0726632	0.0456311	0.029835	0.0251796	0.0113154	0.00725147	0.00685292	0.00836876	0.0102126	0.0113741	0.0109673	0.0109109	0.0668705	0.17875
comme	0.0251063	0.0220006	0.0220386	0.0228628	0.0220984	0.0179857	0.0146207	0.00958892	0.00965417	0.00581262	0.00443	0.00362334	0.00616504	0.00961892	0.00854362	0.0182441	0.0157446	0.0156018	0.012656	0.0237485	0.0370135	0.0444161	0.0673731	0.0296554	0.0335561	0.031641	0.0432132	0.0295357	0.0403707	0.0306843	0.0344942	0.0458767	0.0272424	0.0378349	0.0582485	0.1187
correction	0.0244826	0.0235258	0.0227851	0.0232771	0.0178328	0.0130159	0.00946328	0.0080025	0.00813155	0.00588593	0.00644839	0.00744738	0.00970728	0.0121181	0.0102599	0.0144517	0.013406	0.0141068	0.0135158	0.0167821	0.0295733	0.035108	0.0490113	0.035085	0.02758	0.0285236	0.0226996	0.0128641	0.0425784	0.0333363	0.0459028	0.0514652	0.0648813	0.0684737	0.0775081	0.100763
</S>	0.0212016	0.0165711	0.0150574	0.0171254	0.0175786	0.0126748	0.0128665	0.0125753	0.0149005	0.00895381	0.00994131	0.00698969	0.00833581	0.0130009	0.0130777	0.0216658	0.0221723	0.0259741	0.0189932	0.027981	0.0359053	0.0532989	0.0489853	0.0451604	0.0457823	0.0492476	0.0572944	0.0345682	0.0373768	0.0369476	0.0316958	0.0381183	0.0245306	0.029744	0.0407498	0.072958
