 	w	á	á	w	a	a	k	á	n	y	í	m	í	k	w	ε	r	ε	ε	l	á	n	ω	w	a	a	d	í	o	s	i	s	a	k	a	á	</S>
s'	0.0908104	0.0806425	0.129936	0.0253548	0.0172147	0.0229733	0.0116693	0.0154989	0.0143602	0.00727373	0.00971203	0.011914	0.0143648	0.0141849	0.0438682	0.0399792	0.0698916	0.0542069	0.0301775	0.0187651	0.0114627	0.0108875	0.00951511	0.0082341	0.00778023	0.00993267	0.00926928	0.00921126	0.0125125	0.0225292	0.0286542	0.0295402	0.0229906	0.0282434	0.0202098	0.0208682	0.0153612
il	0.04982	0.0721977	0.0794789	0.0995031	0.0840809	0.0505846	0.0643496	0.0717822	0.0504118	0.0485696	0.0229688	0.0145535	0.0109009	0.009722	0.0108476	0.0110362	0.0135821	0.00585341	0.0103913	0.00851091	0.00619196	0.00729742	0.00926446	0.00692751	0.00572297	0.00544612	0.0193757	0.0120266	0.00827674	0.0046065	0.0141401	0.0117633	0.0126809	0.0252015	0.031239	0.0133151	0.0173789
décide	0.0410955	0.0276074	0.0179872	0.017977	0.0307524	0.0276529	0.0362969	0.0287399	0.0476787	0.0500942	0.0528613	0.0483933	0.0242234	0.0296393	0.0300129	0.0340025	0.0385633	0.0613865	0.0656495	0.0346314	0.0192728	0.0116536	0.0104345	0.0125809	0.0127675	0.0204061	0.0221299	0.0207869	0.0150669	0.0172532	0.0146238	0.0117647	0.0139521	0.0138213	0.014043	0.0131213	0.0110759
de	0.0225163	0.0251585	0.0173012	0.0181907	0.0195463	0.0173384	0.0176068	0.0154847	0.00695734	0.00813497	0.0169185	0.0183293	0.0199994	0.0216663	0.0145406	0.0205427	0.0173981	0.01945	0.0227694	0.0208493	0.0264881	0.0369791	0.0223958	0.0582351	0.0642315	0.101968	0.0772892	0.0683638	0.0484408	0.0355524	0.0161189	0.0136153	0.012519	0.00996479	0.0111203	0.0145741	0.0214449
t'	0.0261186	0.0305163	0.0100006	0.0138321	0.0184402	0.0194872	0.0413192	0.0424047	0.053957	0.0497691	0.0330523	0.0336849	0.0194191	0.022012	0.0182707	0.0212868	0.0261809	0.0366283	0.0484647	0.0461385	0.0725489	0.0652095	0.0286945	0.0493307	0.0177126	0.0195789	0.0218684	0.018563	0.0153627	0.00893356	0.00672628	0.00455759	0.00401037	0.0054186	0.00633053	0.0119817	0.0321893
assassiner	0.0145535	0.0155318	0.00874568	0.00874256	0.0151348	0.0207545	0.026172	0.0302872	0.0296105	0.029372	0.0208925	0.0231084	0.0204871	0.0330469	0.0197557	0.0167563	0.016285	0.0295872	0.0286488	0.0288795	0.0625993	0.0527572	0.0291898	0.05261	0.0283454	0.045416	0.0446084	0.0221655	0.0261617	0.0244316	0.01244	0.012954	0.00828024	0.0146394	0.014137	0.0365981	0.0763144
il	0.0236003	0.0194829	0.0099584	0.0110626	0.0147492	0.0176435	0.0236281	0.0296716	0.0350301	0.0266821	0.0163666	0.0166554	0.00989398	0.0179324	0.0147191	0.00970478	0.0170955	0.045605	0.0426876	0.0481395	0.0610421	0.0660583	0.03947	0.0639042	0.0465778	0.039092	0.0249755	0.0151732	0.0193423	0.0131027	0.0104028	0.0108693	0.0100467	0.0144358	0.0187126	0.0393743	0.0571118
ne	0.0418027	0.0325283	0.0214374	0.0187815	0.0214033	0.0275579	0.0197902	0.0206301	0.0252385	0.0178535	0.0100899	0.0136292	0.00978145	0.0174096	0.0207265	0.0176631	0.0275675	0.0460827	0.0399616	0.0388826	0.0371328	0.033079	0.0250719	0.0421152	0.0229439	0.0184867	0.0151116	0.00921196	0.00974742	0.0115225	0.0160125	0.0220182	0.0215994	0.0426781	0.0407338	0.0649002	0.0788174
reculera	0.0403048	0.0392293	0.0195529	0.0323375	0.0296038	0.01683	0.0179329	0.0136398	0.013436	0.0124982	0.00640938	0.00696817	0.00420553	0.00572623	0.00791303	0.00750971	0.0141756	0.0257688	0.0278469	0.0375641	0.0556185	0.0517617	0.0268529	0.0494886	0.0493102	0.0401227	0.0353283	0.029942	0.0243355	0.0143657	0.0224984	0.0285209	0.0274402	0.0333208	0.0365408	0.0454118	0.0496885
pas	0.0110097	0.0108344	0.00958127	0.0126911	0.0119702	0.0126386	0.0129416	0.0108223	0.0128838	0.0114506	0.00727566	0.00880529	0.00636643	0.00874699	0.0135657	0.0150035	0.0204989	0.0239676	0.0215899	0.0382824	0.0417279	0.0363392	0.0370166	0.0484068	0.0224455	0.0155482	0.00962408	0.00958133	0.0111983	0.0104818	0.0258817	0.0328236	0.0468503	0.0767282	0.0825633	0.0977392	0.114118
</S>	0.0220916	0.0144112	0.0132822	0.0157837	0.0142914	0.0141469	0.0169747	0.0100123	0.0167367	0.0151169	0.0080247	0.0121845	0.00650387	0.0110676	0.0176475	0.0222393	0.0294023	0.0270657	0.0227929	0.0327977	0.0284758	0.0258981	0.0312689	0.0348145	0.0267421	0.0177001	0.0124734	0.0103207	0.0141106	0.00992224	0.0226155	0.026977	0.0388253	0.0685016	0.0711765	0.103532	0.114071
