 	e	t	á	b	h	e	y	á	n	g	y	e	n	y	a	b	á	a	k	o	b	h	á	á	m	é	k	ώ	</S>
la	0.0089442	0.0105063	0.0117982	0.012164	0.0144171	0.0188041	0.0178057	0.0303962	0.0363944	0.0372721	0.0451908	0.0448874	0.0591812	0.0447929	0.0724345	0.0524541	0.0599332	0.0514362	0.0449784	0.0391816	0.0393895	0.0391879	0.0360924	0.0313631	0.0219893	0.0254891	0.0271349	0.027833	0.0385479
branchette	0.0278291	0.0532641	0.0599747	0.0398866	0.0318599	0.0197185	0.00671695	0.0133572	0.0430103	0.0299928	0.176355	0.114974	0.0681115	0.100425	0.0265298	0.0661993	0.0289749	0.0268982	0.0108702	0.00410135	0.00666521	0.00831811	0.00513202	0.00708093	0.0135697	0.00499073	0.00219738	0.00216873	0.000827862
de	0.0480944	0.0504736	0.0541176	0.0500194	0.0404471	0.0237917	0.0168752	0.0214235	0.0214959	0.018696	0.0202496	0.0221482	0.0210333	0.0277621	0.0341614	0.0319699	0.0457942	0.0478988	0.0393391	0.102978	0.0532	0.0455329	0.0300336	0.0375644	0.0518982	0.0177515	0.00796257	0.00900126	0.00828692
l'	0.0382249	0.0406895	0.0459121	0.0459462	0.0454641	0.0427164	0.0351857	0.0226316	0.0266827	0.0138236	0.0169793	0.0237958	0.0253604	0.0250449	0.0223022	0.0306611	0.0309754	0.0370203	0.0260246	0.0247463	0.0271113	0.0244361	0.0165984	0.0236939	0.0251225	0.0387313	0.0434678	0.0799561	0.100695
arbre	0.070576	0.042598	0.0464794	0.0418987	0.0485844	0.053175	0.0249945	0.0482554	0.0427337	0.0343989	0.037399	0.0352043	0.0297187	0.0556822	0.0213263	0.017414	0.0170428	0.0175372	0.0276826	0.0286542	0.0257798	0.0246005	0.017299	0.0226893	0.0240955	0.023962	0.0262072	0.0383863	0.0556249
ngyenya	0.124851	0.0951182	0.0539981	0.0488359	0.045625	0.0556263	0.0326424	0.0423982	0.0357111	0.0449393	0.0356823	0.0290593	0.0279301	0.0360372	0.0175588	0.00958901	0.00696559	0.00456103	0.00359988	0.0176617	0.0255805	0.0243809	0.0115683	0.0131065	0.021762	0.0152215	0.02157	0.0334766	0.0649432
est	0.0980213	0.112492	0.0913073	0.0809651	0.0738814	0.0671953	0.0467568	0.0530905	0.0460323	0.056916	0.0347697	0.0207291	0.0164256	0.0152935	0.00906584	0.00555992	0.00380044	0.00264082	0.00208056	0.00823689	0.0091726	0.00916359	0.0085845	0.00963213	0.0106523	0.012953	0.0165551	0.0206029	0.0574235
utilisée	0.0774485	0.0950816	0.100429	0.0896985	0.0756577	0.0427551	0.0313298	0.0329612	0.0231868	0.0251659	0.0256186	0.0236597	0.0281241	0.0201691	0.011846	0.00577875	0.00274262	0.00196974	0.00146077	0.00248233	0.0163505	0.0156833	0.0119944	0.0114509	0.0218095	0.0186117	0.0198634	0.0600506	0.10662
comme	0.207511	0.123671	0.0869289	0.0836655	0.0773345	0.0702742	0.0395107	0.0369759	0.0315854	0.0329986	0.0212095	0.0144251	0.0143553	0.00928794	0.00702188	0.00415154	0.00418327	0.00572187	0.00467041	0.00490658	0.00734935	0.00685953	0.00808206	0.00668064	0.00726249	0.00732426	0.00931667	0.015647	0.0510883
support	0.139088	0.0927411	0.0687265	0.0568965	0.0408884	0.018624	0.0143775	0.0191353	0.0186391	0.0219791	0.0244808	0.0187989	0.0175675	0.0125769	0.00911323	0.00494141	0.00231754	0.00145667	0.000880012	0.00225048	0.0118645	0.0150244	0.00941698	0.01556	0.0392542	0.0321001	0.04303	0.107696	0.140575
