 	o	k	w	a	o	d	í	o	k	o	a	k	a	á	s	á	s	ú	b	h	u	d	í	</S>
il	0.0276565	0.0218961	0.031228	0.0528055	0.0297485	0.037748	0.0412359	0.0306359	0.0386326	0.0339814	0.0540814	0.0660902	0.0656154	0.0648298	0.0688749	0.0541543	0.0478633	0.0390694	0.0324122	0.0208293	0.0225754	0.043149	0.0378086	0.0370783
n'	0.0997768	0.117724	0.0782261	0.0947627	0.115884	0.0846808	0.0839474	0.0646043	0.0517567	0.0316541	0.0439342	0.0146502	0.0131397	0.0149024	0.0106059	0.0206713	0.0142923	0.0149193	0.00888376	0.00486197	0.00264379	0.00337921	0.00353015	0.00656871
y	0.0796392	0.0820925	0.0263771	0.033067	0.0618718	0.0591813	0.0553443	0.0744122	0.080932	0.0513897	0.0366357	0.0211645	0.0260444	0.0302262	0.0439631	0.0378422	0.0338213	0.02708	0.037612	0.020708	0.020817	0.0189005	0.0179811	0.0228969
a	0.0674006	0.0436214	0.0322282	0.0247112	0.046359	0.0562278	0.0622961	0.0900934	0.0662772	0.0404938	0.0291228	0.0333407	0.0461687	0.0495229	0.0419444	0.0334771	0.0337116	0.0315232	0.0298962	0.0331544	0.0277558	0.0271394	0.0232986	0.0302355
pas	0.0546086	0.0327874	0.018038	0.0198194	0.0387492	0.0461284	0.0496037	0.0675422	0.0555756	0.0387389	0.0311246	0.0474788	0.0355685	0.050154	0.0658691	0.0663054	0.0354346	0.0259666	0.0291763	0.0398802	0.0395607	0.0357513	0.0418632	0.0342755
assez	0.0473521	0.0431297	0.0230298	0.0192688	0.0517602	0.0549301	0.0579243	0.0865327	0.0796126	0.062255	0.033004	0.0248157	0.0251675	0.0310327	0.0322889	0.0336285	0.0325854	0.0283786	0.0289156	0.0246175	0.0311501	0.0337015	0.0505987	0.06432
de	0.107572	0.0490858	0.0211554	0.0203982	0.0320643	0.0280344	0.0238908	0.0354345	0.043549	0.0333307	0.0239237	0.0295882	0.0417526	0.0468246	0.038701	0.0377444	0.0411319	0.0425558	0.0613255	0.0404424	0.0509881	0.0518845	0.0470014	0.051621
sel	0.143111	0.0726542	0.0325807	0.0284524	0.0296522	0.0199128	0.0177044	0.017985	0.0227577	0.0187682	0.0177565	0.0144139	0.0145212	0.0155039	0.0138893	0.0309883	0.0312916	0.0375868	0.0416222	0.0441674	0.0484454	0.0840757	0.0873046	0.114855
dans	0.0752998	0.0424784	0.0294346	0.0274838	0.0284476	0.0180525	0.0148926	0.018668	0.0250919	0.0178273	0.0131165	0.0142322	0.0139545	0.023377	0.0413255	0.0475559	0.0697601	0.0668048	0.0909896	0.06952	0.0745024	0.0638947	0.0508241	0.0624662
la	0.127536	0.0591988	0.0378247	0.0333986	0.0131339	0.00813743	0.00812563	0.00934866	0.0113841	0.0106559	0.0100713	0.0110299	0.0116448	0.0141755	0.0289216	0.0460887	0.0563537	0.057915	0.0502701	0.0672566	0.0647081	0.0648043	0.0656887	0.132328
soupe	0.051629	0.0325021	0.0242693	0.020469	0.0229356	0.0168407	0.0174863	0.016145	0.0159795	0.0160607	0.0180316	0.0184545	0.0136782	0.0132886	0.00864737	0.0155385	0.0198132	0.0264093	0.0298366	0.0876272	0.0785272	0.128928	0.133044	0.173859
</S>	0.0840381	0.0564588	0.036994	0.0332657	0.0305826	0.0223182	0.0218421	0.0288167	0.0334051	0.0375818	0.0312955	0.0397034	0.0302197	0.0325647	0.0422055	0.0468363	0.0550065	0.0424865	0.0249056	0.0331458	0.0386682	0.0357268	0.028153	0.133779
