 	m	w	á	n	a	n	d	z	é	s	i	l	á	a	k	í	m	á	a	m	b	í	</S>
l'	0.0114311	0.0483028	0.0340465	0.0230971	0.00789481	0.00478523	0.0104121	0.0113813	0.0262444	0.0303114	0.0488411	0.0621547	0.0629678	0.0615216	0.0651549	0.0612143	0.0620696	0.0746544	0.0872652	0.086253	0.0465254	0.03957	0.0339013
enfant	0.126255	0.0526708	0.0381257	0.0793208	0.111318	0.230611	0.162632	0.0780872	0.0348816	0.0266251	0.0161631	0.00802323	0.00408639	0.0037417	0.00273968	0.00390636	0.00276705	0.00306108	0.00361365	0.00520536	0.00282259	0.00217287	0.00116931
fait	0.0288371	0.0348596	0.0254676	0.0172702	0.0245829	0.0184673	0.0150578	0.0135135	0.0215342	0.0347442	0.0625789	0.0461689	0.0691558	0.0756821	0.109699	0.107087	0.104882	0.0834387	0.0521549	0.0234809	0.0104794	0.0104486	0.0104097
un	0.0177596	0.0246981	0.00921278	0.0112917	0.00963101	0.0249357	0.0263002	0.025369	0.0259226	0.0374296	0.0638136	0.0686209	0.0602299	0.0690577	0.0826967	0.0616412	0.0469261	0.066514	0.0862952	0.0559476	0.0499572	0.0449292	0.0308206
effort	0.0324427	0.037199	0.0427769	0.0360074	0.0399374	0.0357073	0.0346067	0.0268899	0.0239474	0.0255804	0.0233438	0.032454	0.0304671	0.0386643	0.0564821	0.0587879	0.0692691	0.0776368	0.0917503	0.0856398	0.0421795	0.0278208	0.0304096
pour	0.0851857	0.0296135	0.0374143	0.0285475	0.0179222	0.0207793	0.0189875	0.0175335	0.0357926	0.0401667	0.0387882	0.0438732	0.031073	0.0174051	0.0292313	0.0293008	0.0474046	0.0603871	0.0648639	0.0811872	0.0867899	0.0516226	0.0861304
faire	0.105832	0.0661687	0.0554866	0.0520814	0.0362635	0.0384925	0.039569	0.0355433	0.0354576	0.0347874	0.0335213	0.0241329	0.0155663	0.0100106	0.0222923	0.0321286	0.0536985	0.0540427	0.0558014	0.0633627	0.0631242	0.0346949	0.0379414
des	0.115928	0.0942568	0.0435128	0.0554294	0.0486653	0.0516577	0.0410744	0.0344309	0.0383749	0.045908	0.0344122	0.041032	0.0260652	0.0267748	0.021859	0.0254829	0.0280661	0.0294391	0.0290694	0.0333227	0.0316743	0.0318696	0.0716942
selles	0.136279	0.105059	0.0481437	0.0473492	0.0343435	0.0320989	0.0234958	0.0182792	0.0231199	0.0199008	0.0136729	0.0189931	0.0132609	0.0210805	0.0307948	0.029696	0.033445	0.0262427	0.0475486	0.0617904	0.0442108	0.0626231	0.108572
</S>	0.138587	0.111805	0.0418349	0.0640971	0.0465851	0.029972	0.0265576	0.0211661	0.0226702	0.0210696	0.0237215	0.0201561	0.0164825	0.0184443	0.0223654	0.0242881	0.0308173	0.0334107	0.039833	0.0314599	0.0259379	0.0300193	0.158719
