 	m	b	ó	s	i	a	d	í	l	a	a	m	b	a	n	g	á	m	b	í	m	á	m	o	r	o	</S>
le	0.0101015	0.0114929	0.0126407	0.0113924	0.0303459	0.0189993	0.0228024	0.0174606	0.00736207	0.0207711	0.0523822	0.0955167	0.174088	0.101728	0.0705628	0.0553462	0.0466882	0.0373616	0.0398956	0.0369319	0.041597	0.0204465	0.0108465	0.0152353	0.0112117	0.0117807	0.0150116
cabri	0.0337479	0.103983	0.178721	0.221149	0.156072	0.0612854	0.0285245	0.02763	0.0166796	0.0177296	0.0194343	0.018944	0.0220388	0.00828063	0.00545421	0.00410662	0.00491005	0.00712373	0.00546658	0.0117292	0.0164035	0.0126915	0.0107565	0.0037693	0.00228148	0.000627248	0.000460211
a	0.021849	0.00993469	0.0121397	0.00940037	0.0233825	0.0219331	0.0270549	0.0391327	0.0427788	0.027817	0.0444745	0.0303204	0.0424172	0.0316123	0.0417027	0.0631991	0.0823715	0.102344	0.0804581	0.0696968	0.0595727	0.0463412	0.0218672	0.0118586	0.0149263	0.0145058	0.00690866
des	0.0363521	0.0653584	0.0826309	0.0949998	0.0428941	0.0280811	0.0290314	0.0355749	0.0751844	0.0765502	0.087562	0.0658175	0.0281152	0.0151937	0.0122663	0.0212784	0.0204667	0.0198107	0.0206708	0.0168362	0.0195379	0.0138139	0.0119721	0.0125243	0.015839	0.0207895	0.0308486
testicules	0.0496727	0.025495	0.0279469	0.0333511	0.0318848	0.0257329	0.0332856	0.0548817	0.0718821	0.0595966	0.056906	0.0285895	0.0237033	0.0162961	0.0190709	0.0285616	0.0360089	0.0377444	0.0337129	0.0369777	0.0431377	0.0493403	0.0540893	0.0452696	0.0324337	0.020566	0.0238629
comme	0.029956	0.0433615	0.0431436	0.0519461	0.0513865	0.0315393	0.0317469	0.0518428	0.0709379	0.06331	0.0737055	0.0653046	0.0580935	0.0246315	0.01815	0.0179749	0.0160334	0.0259092	0.0120752	0.0086862	0.0102217	0.011073	0.0185092	0.0238133	0.0276253	0.0277675	0.0912553
ceux	0.0250313	0.0285714	0.0281978	0.0294414	0.031074	0.0259325	0.0257198	0.042604	0.0638791	0.0645329	0.0711596	0.102198	0.0693796	0.0504155	0.0263377	0.0270621	0.0209524	0.0218253	0.0196694	0.0145662	0.0157278	0.0157978	0.0199384	0.024323	0.0308281	0.0318671	0.0729682
de	0.0435136	0.049671	0.0556983	0.0496843	0.0545716	0.0376797	0.0364185	0.0666279	0.0713268	0.0642056	0.0335497	0.0301085	0.0212138	0.0155245	0.0173431	0.0252223	0.0127995	0.0139202	0.0119471	0.0108062	0.0136269	0.0197349	0.0222982	0.03222	0.0357153	0.0419919	0.112581
l'	0.123737	0.104826	0.0975041	0.0865891	0.0501038	0.00781895	0.00623102	0.0205916	0.0288398	0.0254821	0.0147742	0.015008	0.0105914	0.00603996	0.00465912	0.0121132	0.0127676	0.0195524	0.0169604	0.0231543	0.0313836	0.0425716	0.0425823	0.0339419	0.0336599	0.032896	0.0956207
homme	0.240097	0.161303	0.129383	0.0707788	0.0235686	0.00760426	0.00569182	0.0075968	0.00982261	0.0183361	0.0125431	0.00914341	0.0045982	0.00316649	0.0035202	0.00364548	0.00420257	0.00589803	0.00540501	0.00833105	0.0160308	0.0147689	0.0188446	0.0293345	0.0383485	0.0457339	0.102304
</S>	0.220072	0.0935105	0.0651051	0.0404627	0.0220065	0.0143563	0.00805697	0.00573432	0.00817115	0.0108266	0.00662651	0.00370928	0.0021994	0.00192802	0.00272768	0.00344116	0.00544816	0.0106	0.0149274	0.0152881	0.018337	0.0192099	0.0359393	0.0427176	0.0587686	0.0983997	0.17143
