 	o	l	ó	m	i	y	a	n	g	á	l	á	a	y	é	b	h	á	o	b	h	í	á	a	k	ó	l	ó	</S>
mon	0.00708468	0.00932406	0.00881245	0.00835748	0.0119318	0.00607532	0.00846964	0.00884855	0.0140404	0.0213909	0.0211213	0.0424827	0.0570473	0.0692756	0.0874391	0.0636688	0.0584211	0.0388649	0.0461151	0.0484388	0.0411685	0.0623144	0.0581038	0.0486902	0.0387508	0.0269931	0.0346374	0.030186	0.0219458
mari	0.00888026	0.0386365	0.0373838	0.00820645	0.00988608	0.0117521	0.0208255	0.0173832	0.0195871	0.0158292	0.0170149	0.0714438	0.154851	0.11673	0.100643	0.0808115	0.0564496	0.0404805	0.0348916	0.037835	0.0149613	0.0223789	0.0153636	0.0204219	0.015835	0.00554182	0.00371266	0.00165764	0.000605693
sait	0.0417375	0.0256449	0.0169389	0.0132904	0.0206775	0.033966	0.0766903	0.0548112	0.0648829	0.0802301	0.0850507	0.0667586	0.0524763	0.0313707	0.0306219	0.0276596	0.032268	0.0264102	0.0314348	0.0294634	0.0391702	0.0342971	0.0279876	0.0219334	0.0143824	0.00542909	0.00592423	0.00629235	0.00219961
tendre	0.0324885	0.0597624	0.0652139	0.0598824	0.0825701	0.0905148	0.0766395	0.0219908	0.0201718	0.0246339	0.0240237	0.0290312	0.0200535	0.0175503	0.017696	0.0135071	0.0246697	0.020467	0.0216613	0.0195498	0.0322417	0.0269171	0.0246408	0.0183812	0.0237724	0.0177994	0.0259889	0.0441459	0.0440351
des	0.0339721	0.0450642	0.0528902	0.0530626	0.0439146	0.0418703	0.0239841	0.0181324	0.0202575	0.0204981	0.0114161	0.0216879	0.025858	0.0285835	0.0378729	0.0183922	0.0235111	0.0176584	0.0181782	0.0162433	0.0224186	0.019154	0.0342923	0.0305944	0.0493766	0.0528773	0.0695652	0.0704825	0.0781914
pièges	0.046834	0.0452357	0.0614488	0.0743734	0.0656777	0.0587808	0.0229723	0.0184739	0.015046	0.0157703	0.012631	0.0154146	0.0162694	0.0112684	0.0137958	0.00703958	0.017721	0.0164934	0.0263909	0.019513	0.0426533	0.0286193	0.0445858	0.0237791	0.0377244	0.0415996	0.0583013	0.0662287	0.0753585
pour	0.0831735	0.0679338	0.0729204	0.109636	0.0824807	0.0866324	0.0394368	0.025355	0.0227053	0.0221659	0.0191806	0.0125979	0.0100307	0.00757802	0.00895386	0.00468178	0.0101527	0.0117548	0.0176572	0.0125951	0.0297502	0.0152055	0.0302988	0.0110319	0.0251907	0.0232312	0.0370615	0.0455181	0.0550898
prendre	0.0825723	0.0566399	0.0440197	0.0270416	0.0219563	0.0242971	0.026085	0.016221	0.0154319	0.0176803	0.0156721	0.017574	0.0155972	0.0143943	0.0164049	0.0117504	0.0175338	0.0138678	0.0176384	0.0218169	0.035943	0.0377292	0.0321431	0.0386272	0.035889	0.0513465	0.0616858	0.0891517	0.12329
les	0.0855441	0.0651277	0.060063	0.0781173	0.0442197	0.0340903	0.0163983	0.0103931	0.00716904	0.00723644	0.00757043	0.0122505	0.00732562	0.00839213	0.00792112	0.00352776	0.00935976	0.0115487	0.0162519	0.0183694	0.0254731	0.0220149	0.0306782	0.0232057	0.0566369	0.0660703	0.066064	0.0862922	0.112688
rats	0.0409088	0.0314893	0.0267097	0.0161935	0.0129526	0.0112083	0.00907382	0.00598288	0.00590297	0.0065932	0.00730332	0.00815239	0.00899146	0.00836743	0.00844846	0.00599016	0.0116281	0.00985342	0.0143776	0.015517	0.0280917	0.0501735	0.0493255	0.0664414	0.0825255	0.103244	0.111772	0.117536	0.125245
palmistes	0.169424	0.0868499	0.0653234	0.0442188	0.0300695	0.0288489	0.0230334	0.0156332	0.0106087	0.0098329	0.00929081	0.00532684	0.00344179	0.00417941	0.00427337	0.00290166	0.00530868	0.0062475	0.0093442	0.0136917	0.0204889	0.024381	0.0295985	0.0278809	0.0576715	0.0507942	0.0603737	0.0779624	0.103
</S>	0.0841179	0.052312	0.0408599	0.0206193	0.011048	0.0074434	0.00554268	0.00697112	0.00652782	0.00804647	0.00682317	0.0041856	0.00323527	0.00396636	0.00396239	0.00345503	0.00603861	0.0065678	0.0110216	0.0146019	0.0298151	0.0326044	0.0462795	0.0426309	0.0815134	0.0773057	0.110415	0.121054	0.151036
